Unique study ID	Unique article ID	Authors	Year of publication	Title	Abstract	Journal	Volume	Pages	Study Country	Location	LatDD	LonDD	Intervention	Outcomes measured	Productivity outcome data location	Intervention started	Intervention ended or last sampled	Grazing/growing seasons sampled (years)	Grazing period per year (days)	Experimental design	Spatial replicates	Study validity (critical appraisal score)	Extra calculations performed
2021RGHL006	2021RGHL006	W. F. Cong; J. van Ruijven; L. Mommer; G. B. De Deyn; F. Berendse; E. Hoffland	2014	Plant species richness promotes soil carbon and nitrogen stocks in grasslands without legumes	"Summary: The storage of carbon (C) and nitrogen (N) in soil is important ecosystem functions. Grassland biodiversity experiments have shown a positive effect of plant diversity on soil C and N storage. However, these experiments all included legumes, which constitute an important N input through N2-fixation. Indeed, the results of these experiments suggest that N2 fixation by legumes is a major driver of soil C and N storage. We studied whether plant diversity affects soil C and N storage in the absence of legumes. In an 11-year grassland biodiversity experiment without legumes, we measured soil C and N stocks. We further determined above-ground biomass productivity, standing root biomass, soil organic matter decomposition and N mineralization rates to understand the mechanisms underlying the change in soil C and N stocks in relation to plant diversity and their feedbacks to plant productivity. We found that soil C and N stocks increased by 18% and 16% in eight-species mixtures compared to the average of monocultures of the same species, respectively. Increased soil C and N stocks were mainly driven by increased C input and N retention, resulting from enhanced plant productivity, which surpassed enhanced C loss from decomposition. Importantly, higher soil C and N stocks were associated with enhanced soil N mineralization rates, which can explain the strengthening of the positive diversity-productivity relationship observed in the last years of the experiment. Synthesis. We demonstrated that also in the absence of legumes, plant species richness promotes soil carbon (C) and nitrogen (N) stocks via increased plant productivity. In turn, enhanced soil C and N stocks showed a positive feedback to plant productivity via enhanced N mineralization, which could further accelerate soil C and N storage in the long term. © 2014 British Ecological Society."	Journal of Ecology	102	1163-1170	Netherlands	Wageningen	51.99	5.661	Herbal leys	"HDM, SOC"	Figure 1&S1	2000	2010	11		Blocked	6	High	SOC&yield data extracted from figures
2021RGHL017a	2021RGHL017	T. Kristensen; K. Soegaard; J. Eriksen; L. Mogensen	2015	Carbon footprint of cheese produced on milk from Holstein and Jersey cows fed hay differing in herb content	"The objective of the study was to assess the impact on emission of greenhouse gases (GHG) of cheese production based on milk from different types of hay and breeds of cows in Denmark. An integral part of the study involved estimating GHG emissions from production of hay in a climate less favourable for field drying. The GHG emission was estimated using life cycle assessment (LCA) with kg of milk and kg of energy-corrected milk (ECM) delivered to the dairy and kg of cheese at the retailer as functional units (FU). Allocation at farm gate, between milk and meat, was made according to the biological relation between energy requirement for milk and meat production or as an economic allocation. Allocation at the dairy, between cheese and whey, was made either as an economic allocation or by system expansion. Inventory data were based on farm, herd and crop production data from commercial farms participating in research activities with controlled production of hay, in combination with either production information from cheese processing or literature estimates, all built into a static model. There was no effect on GHG emission per kg cheese of the proportion of herbs in the hay, but an effect of breed was found. The carbon footprint (CF) per kg cheese was lowest - 9.88 kg CO2 eq. - for milk from the Jersey herd compared with 12.1 and 12.7 from the two Holstein herds, although the GHG emission per kg milk at farm gate was highest from Jersey, but this was more than offset by a higher utilisation of Jersey milk for cheese production. The GHG emission from farm to retailer contributed less than 10% to total emissions, with the largest contribution from the energy used for cheese manufacture at the dairy, including storage. Methane was the largest source at approximately 50%, followed by feed production and the rearing of heifers. Use of energy for hay-drying added 7-8% to emissions and soil carbon change on average 3%, with some variation between farms. The sensitivity analysis showed that higher herb content could potentially reduce methane emissions by 6-7%, while the herbs' larger roots had only a marginal effect on GHG emissions from soil carbon at product level. If the feed conversion in Holstein breeds was assumed the same as in Jersey, the difference in emission per kg cheese due to breed was reduced but still lower from Jersey, which illustrates the positive effect of Jersey milk composition on cheese production efficiency. (C) 2015 Elsevier Ltd. All rights reserved."	Journal of Cleaner Production	101	229-237	Denmark	Organic Farm A	54.933	8.867	Herbal leys	Milk yield (MY)	Table 5	2012	2012	1	14	Not specified	1	Low	
2021RGHL017b	2021RGHL017	T. Kristensen; K. Soegaard; J. Eriksen; L. Mogensen	2015	Carbon footprint of cheese produced on milk from Holstein and Jersey cows fed hay differing in herb content	"The objective of the study was to assess the impact on emission of greenhouse gases (GHG) of cheese production based on milk from different types of hay and breeds of cows in Denmark. An integral part of the study involved estimating GHG emissions from production of hay in a climate less favourable for field drying. The GHG emission was estimated using life cycle assessment (LCA) with kg of milk and kg of energy-corrected milk (ECM) delivered to the dairy and kg of cheese at the retailer as functional units (FU). Allocation at farm gate, between milk and meat, was made according to the biological relation between energy requirement for milk and meat production or as an economic allocation. Allocation at the dairy, between cheese and whey, was made either as an economic allocation or by system expansion. Inventory data were based on farm, herd and crop production data from commercial farms participating in research activities with controlled production of hay, in combination with either production information from cheese processing or literature estimates, all built into a static model. There was no effect on GHG emission per kg cheese of the proportion of herbs in the hay, but an effect of breed was found. The carbon footprint (CF) per kg cheese was lowest - 9.88 kg CO2 eq. - for milk from the Jersey herd compared with 12.1 and 12.7 from the two Holstein herds, although the GHG emission per kg milk at farm gate was highest from Jersey, but this was more than offset by a higher utilisation of Jersey milk for cheese production. The GHG emission from farm to retailer contributed less than 10% to total emissions, with the largest contribution from the energy used for cheese manufacture at the dairy, including storage. Methane was the largest source at approximately 50%, followed by feed production and the rearing of heifers. Use of energy for hay-drying added 7-8% to emissions and soil carbon change on average 3%, with some variation between farms. The sensitivity analysis showed that higher herb content could potentially reduce methane emissions by 6-7%, while the herbs' larger roots had only a marginal effect on GHG emissions from soil carbon at product level. If the feed conversion in Holstein breeds was assumed the same as in Jersey, the difference in emission per kg cheese due to breed was reduced but still lower from Jersey, which illustrates the positive effect of Jersey milk composition on cheese production efficiency. (C) 2015 Elsevier Ltd. All rights reserved."	Journal of Cleaner Production	101	229-237	Denmark	Organic Farm B	54.933	8.867	Herbal leys	Milk yield (MY)	Table 5	2012	2012	1	14	Not specified	1	Low	
2021RGHL017c	2021RGHL017	T. Kristensen; K. Soegaard; J. Eriksen; L. Mogensen	2015	Carbon footprint of cheese produced on milk from Holstein and Jersey cows fed hay differing in herb content	"The objective of the study was to assess the impact on emission of greenhouse gases (GHG) of cheese production based on milk from different types of hay and breeds of cows in Denmark. An integral part of the study involved estimating GHG emissions from production of hay in a climate less favourable for field drying. The GHG emission was estimated using life cycle assessment (LCA) with kg of milk and kg of energy-corrected milk (ECM) delivered to the dairy and kg of cheese at the retailer as functional units (FU). Allocation at farm gate, between milk and meat, was made according to the biological relation between energy requirement for milk and meat production or as an economic allocation. Allocation at the dairy, between cheese and whey, was made either as an economic allocation or by system expansion. Inventory data were based on farm, herd and crop production data from commercial farms participating in research activities with controlled production of hay, in combination with either production information from cheese processing or literature estimates, all built into a static model. There was no effect on GHG emission per kg cheese of the proportion of herbs in the hay, but an effect of breed was found. The carbon footprint (CF) per kg cheese was lowest - 9.88 kg CO2 eq. - for milk from the Jersey herd compared with 12.1 and 12.7 from the two Holstein herds, although the GHG emission per kg milk at farm gate was highest from Jersey, but this was more than offset by a higher utilisation of Jersey milk for cheese production. The GHG emission from farm to retailer contributed less than 10% to total emissions, with the largest contribution from the energy used for cheese manufacture at the dairy, including storage. Methane was the largest source at approximately 50%, followed by feed production and the rearing of heifers. Use of energy for hay-drying added 7-8% to emissions and soil carbon change on average 3%, with some variation between farms. The sensitivity analysis showed that higher herb content could potentially reduce methane emissions by 6-7%, while the herbs' larger roots had only a marginal effect on GHG emissions from soil carbon at product level. If the feed conversion in Holstein breeds was assumed the same as in Jersey, the difference in emission per kg cheese due to breed was reduced but still lower from Jersey, which illustrates the positive effect of Jersey milk composition on cheese production efficiency. (C) 2015 Elsevier Ltd. All rights reserved."	Journal of Cleaner Production	101	229-237	Denmark	Organic Farm C	54.933	8.867	Herbal leys	Milk yield (MY)	Table 5	2012	2012	1	14	Not specified	1	Low	
2021RGHL029	2021RGHL029	J. Pijlman; S. J. Berger; F. Lexmond; J. Bloem; J. W. v. Groenigen; E. J. W. Visser; J. W. Erisman; N. v. Eekeren	2020	Can the presence of plantain (Plantago lanceolata L.) improve nitrogen cycling of dairy grassland systems on peat soils? (Special Issue: Role of plants in reducing nitrogen losses.)	"Reactive nitrogen (N) losses, and in particular nitrous oxide losses, from dairy grasslands on peat soils are generally high as a result of relative high soil organic matter contents, potential N mineralisation rates and shallow groundwater levels. Effects of the inclusion of the temperate forage species plantain (Plantago lanceolata L.) (PL), which produces secondary compounds with biological nitrification inhibition capacity, on the fate of soil mineral N were studied in a combined mesocosm and field experiment. The experiments comprised four treatments differing in intentional herbage share of plantain versus perennial ryegrass (Lolium perenne L.) (100%PL, 66%PL, 33%PL and 0%PL). Potential nitrification in the mesocosm experiment was significantly lower at 100%PL versus 0%PL (p=0.018), but soil nitrate concentrations were not. Nitrous oxide fluxes reduced by 39% (p=0.021) in the presence of plantain in the field experiment, without an obvious link to the quantity of plantain. N use efficiency of plantain tended to increase with the quantity of plantain in the sward in the mesocosm experiment (p=0.098), but not in the field experiment. Our results suggest that the presence of plantain can affect the fate of soil mineral N of dairy grasslands on peat soils."	New Zealand Journal of Agricultural Research	63	106-122	Netherlands	KTC Zegveld	52.14	4.838	Herbal leys	Herbage dry matter (HDM)	Figure 5	2017	2018	1.5		Complete randomised block	6	High	Yield data extracted from figure and averaged across harvests
2021RGHL039	2021RGHL039	J. Savage; B. A. Woodcock; J. M. Bullock; J. Peyton; S. Hulmes; L. Hulmes; M. Nowakowski; R. F. Pywell	2019	"Impact of grassland management on biomass production and nutritional quality, invertebrate communities, and soil health in Berkshire (UK) 2009-2012"	"The dataset describes the effects of different management techniques on grassland biomass production (dry matter yield), nutritional quality (herbage nitrogen content), pollinator communities (abundance and species richness), predatory beetle communities (abundance, species richness and biomass), and soil health (bulk density, total soil carbon and nitrogen). Data was collected from a site in Berkshire (UK), where a field-scale, randomised block experiment had been implemented to investigate how the establishment of a variety of plant functional groups (grasses, legumes, and other flowering forbs) using different cultivation (minimum tillage and deep ploughing) and management (cutting, grazing and their intensity) techniques, affected the provision of various ecosystem services. All surveyors and laboratory workers were trained and followed standardised protocols in all cases. Specific forms were used for recording data in the field and in the lab. The data were checked for anomalous entries. Details of the methodologies have been published (see other useful information regarding this dataset). Copyright: This resource is made available under the terms of the Open Government Licence"	NERC Environmental Information Data Centre			England	"Warfield, Berkshire"	51.448	-0.706	Herbal leys	"HDM, SOC"	Downloaded from https://catalogue.ceh.ac.uk/documents/984b1001-82f1-4ba0-aa1e-412f85d9d24f	2008	2012	5	182	Randomised split-split-split-plot	4	High	SOC and yield mean and SE calculated
2021RGHL044	2021RGHL044	K. Steinauer; R. Heinen; R. Jongen; E. Hannula; M. Huberty; J. Delong; M. Wang; M. Bezemer	2020	Above-belowground linkages of functionally dissimilar plant communities and soil properties in a grassland experiment	"Changes in plant community composition can have long-lasting consequences for ecosystem functioning. However, how the duration of plant growth of functionally distinct grassland plant communities influences abiotic and biotic soil properties and thus ecosystem functions is poorly known. In a field experiment, we established identical experimental subplots in two successive years comprising of fast- or slow-growing grass and forb community mixtures with different forb:grass ratios. After one and two years of plant growth, we measured above- and belowground biomass, soil abiotic characteristics (pH, organic matter, soil nutrients), soil microbial properties (respiration, biomass, community composition), and nematode abundance. Fast- and slow-growing plant communities did not differ in above- and belowground biomass. However, fast-and slow-growing plant communities created distinct soil bacterial communities, whereas soil fungal communities differed most in 100% forb communities compared to other forb:grass ratio mixtures. Moreover, soil nitrate availability was higher after two years of plant growth, whereas the opposite was true for soil ammonium concentrations. Furthermore, total nematodes and especially bacterial-feeding nematodes were more abundant after two years of plant growth. Our results show that plant community composition is a driving factor in soil microbial community assembly and that the duration of plant growth plays a crucial role in the establishment of plant community and functional group composition effects on abiotic and biotic soil ecosystem functioning under natural field conditions. The experimental site was established in spring 2015 in a restored grassland site (abandoned from agricultural use in 1996), De Mossel (Natuurmonumenten, Ede, The Netherlands, 52° 04 N, 5° 45 E). The area around De Mossel is characterized by a mean daily temperature of 16.7 °C in summer months and 1.7 °C in winter months and monthly precipitation ranges from 48 to 76 mm (based on open source data from long-term climate models; www.climate-data.org). The soil of the field site is described as a holtpodzol and soil texture is characterized as sandy loam (94% sand, 4% silt, 2% clay, ~5% organic matter, 5.2 pH, 2.5 mg kg-1 N, 4.0 mg kg-1 P, 16.5 mg kg-1 K) (Jeffery et al. 2017). In total, 100 experimental plots (1.66 x 2.50 m) were installed and each plot was divided into two subplots (each 0.83 2.50 m) resulting in 200 subplots (De Long et al. 2019). Experimental plots were randomly arranged in four blocks. To study the effects of the duration of plant growth of distinct plant communities, the top-soil (about 4 cm depth) including the previously existing plant communities of 100 subplots was removed in May 2015 (later referred to as two-year subplots) whereupon experimental plant communities were sown immediately. In May 2016 (later referred to as one-year subplots) the top-soil including the previously existing plant communities was removed of the remaining 100 subplots and experimental plant communities were then sown. In total, 24 predominantly perennial plant communities based on their economic spectrum (fast- versus slow-growing species) and differences in forb:grass ratio were chosen. Fast- or slow-growing grasses or forbs were selected from a pool of 24 grassland species that all co-occur locally at this site. Plants were assigned to fast- versus slow-growing species based on known growth rates (Fitter and Peat 1994, Fry et al. 2014) or after consultation with botanists (Jasper van Ruijven, Henrik Poorter, personal communication). Three fast- (Fast 1, Fast 2, Fast 3) and three slow- (Slow 1, Slow 2, Slow 3) growing plant communities were used in the experiment, each mixture consisted of 3 or 6 plant species (three grasses and/or three forbs) (Table 1). Specifically, sown plant communities differed in forb:grass ratios as per seeding such as a) three fast- or slow-growing forb species (100%); b) three fast- or slow-growing grass species (100%); or c) three fast- or slow-growing forbs and three fast- or slow-growing grasses (25% grass and 75% forb or 75% forb and 25% grass). Sowing density amounted to 12,000 seeds per subplot, representing each plant species in equal amounts of seeds. Seeds were obtained from specialized suppliers that provide seeds collected from wild plants (Cruydt Hoeck, Nijeberkoop, The Netherlands and MediGran, Hoorn, The Netherlands) in 2015. Additionally, after top-soil removal, in each block two experimental subplots were kept bare one from May 2015 onwards, and one from May 2016. These plots served as a control to permit the comparison of ecosystem processes in the absence of vegetation. In 2015 and 2016, during the growth season (May through September) all sown subplots and bare control subplots were regularly weeded to maintain the sown plant community composition. In total, this resulted in 2 temporal treatments (two- and one-year; represented by the level of subplots) and 25 plant community treatment combinations (2 community growth rates (fast, slow) 4 forb:grass ratios (0:100; 25:75; 75:25 or 100:0 % forb:grass; represented by the level of plots) 3 species combinations + 1 bare control), which were replicated across four blocks (200 subplots). The efficiency of the establishment of experimental plant communities was reported previously in De Long et al. (2019). Here, it was shown that the six different plant communities (Fast 1, Fast 2, Fast 3, Slow 1, Slow 2, Slow 3) significantly differed in their composition whereas fast-growing plant communities and slow-growing plant communities were clustering separately. Furthermore, it was reported that the actual percentage cover of both forbs and grasses corresponded well to the treatments. Data collection Above- and belowground biomass - In the beginning of June 2017, aboveground biomass production was assessed within two randomly selected squares (25 x 25 cm; minimum 10 cm distant to the edge) in each subplot by cutting plants just above the soil level. Aboveground biomass of all samples was determined by weighing after drying at 70°C for 72 h and later converted to g per m. After the aboveground biomass was clipped in a subplot, one soil core (diameter 3 cm, 10 cm deep) was taken from the center of the square. The fresh soil weight was determined, and the roots were then washed over a 0.425 mm sieve. Root biomass was then determined after drying at 40 °C for 72 h and later converted to gram per gram fresh weight of soil. Soil sampling - Soil sampling was carried out in two sampling campaigns. First, soil samples were collected in March 2017. Here, 20 soil samples (metal corer: diameter 1 cm, 10 cm deep) were taken randomly per subplot, pooled and homogenized. Approximately 2 g of fresh soil was immediately frozen at -80 °C for DNA-based determination of the soil microbial community composition. In mid May 2017, an additional 20 soil samples (metal corer: diameter 3 cm, 10 cm deep) were taken randomly per subplot. The soil samples were pooled, homogenized and divided into several subsamples. About 50 g of fresh soil for nematode extraction was kept in a fridge (4 °C). Approximately 20 g was sieved (2 mm mesh size) to remove stones, roots, and invertebrates >2 mm, and then stored at -20 °C for measurements of soil microbial properties (soil microbial respiration and biomass), the remaining soil was dried at 40 °C and used to measure soil abiotic characteristics. Soil abiotic characteristics - The soil was dried at 40 °C until the soil weight was stable and sieved (mesh size: 1.4 mm) to remove roots and stones. Three grams of dried soil were mixed with 30 ml of 0.01 M CaCl2 and shaken for 2 h on a mechanical shaker with linear movement at 250 rpm. Samples were then centrifuged for 5 minutes at 3000 rpm. Then, 15 mL of the supernatant was filtered through a Whatman Puradisc Aqua 30 syringe filter with a cellulose acetate membrane and 130 muL HNO3 was added to 12.87 mL of the filtrate. Soil extractable elements (Fe, K, Mg, P, S, Zn) were analyzed using an inductively coupled plasma - optical emission spectrometer (ICP-OES,Thermo ScientificiCAP6500DuoInstrument with axial and radial view and CID detector microwave digestion system). The remaining filtrate (2.13 mL) was used to measure soil pH and to measure nitrite (NO2-N) + nitrate (NO3-N) and ammonium (NH4-N) on a QuAAtro Autoanalyzer (Seal analytical). Soil organic matter - Soil organic matter content was estimated by the loss‐on‐ignition (LOI) method (Heiri et al. 2001). Approximately 5 g of soil was oven dried at 105 °C for 16 h and weighed. The sample was then burned at 550 °C for 5 h and weighed again. Soil organic matter was calculated as the percentage weight loss between the oven-dried and burned samples. Soil microbial respiration and biomass - Approximately 5 g soil (fresh weight) was weighed into 50 mL centrifuge tubes to determine soil microbial respiration and soil microbial biomass. The lid of each tube was sealed gas-tight using an O-ring and a rubber septum in the middle. For basal respiration measurements, the tubes were capped and flushed with CO2-free air to remove any CO2 from the headspace. After 24 h hours of incubation at 20 °C, 12 ml of headspace was sampled using a gas-tight syringe. Microbial biomass was determined after addition of D-glucose-monohydrate using the substrate-induced respiration method (SIR) (Anderson and Domsch, 1978). Next, 2 ml of 75 mM D-glucose solution were added to each soil sample and placed on a horizontal shaker for 1 h. Tubes were capped, flushed with CO2-free air and incubated for 4 h at 20 °C. Again, 12 ml of headspace was sampled. Measurements of the CO2 concentrations were carried out on a Trace CG Ultra gas chromatograph (Thermo Fisher Scientific, Milan, Italy). Gravimetric soil water content was determined by drying the soil samples overnight at 60 °C to constant weight and calculating the difference in weight between fresh and dried soil. Soil microbial community composition - DNA was extracted from 0.75 g of soil using the PowerSoil DNA Isolation Kit (Mo Bio Laboratories, Carlsbad, CA, USA) following the manufacturers protocol. The DNA quantity was measured using a Nanodrop spectrophotometer (Thermo Scientific, Hudson, NH, USA). Approximately 100 ng of DNA was used for a PCR. We used the primers ITS4ngs and ITS3mix targeting the ITS2 region of fungal genes (Tedersoo et al. 2015) and the primers 515FB and 806RB (Caporaso et al. 2012, Apprill et al. 2015, Parada et al. 2016) targeting the V4 region of the 16Sr RNA gene in bacteria. Presence of PCR product was checked using agarose gel electrophoresis. The PCR products were purified using Agencourt AMPure XP magnetic beads (Beckman Coulter). Adapters and barcodes were added to samples using Nextera XT DNA library preparation kit set A (Illumina, San Diego, CA, USA). The final PCR product was purified again with AMPure beads, checked using agarose gel electrophoresis and quantified using a Nanodrop spectrophotometer before equimolar pooling. We pooled all fungal samples (200) in one Miseq PE250 run and divided the bacterial samples in two separate runs (100 samples each; 1st run: block 1 and 2, 2nd run: block 3 and 4). Libraries were sequenced at McGill University and Genome Quebec Innovation Center, Canada. Extraction negatives were also sequenced. A mock community, containing 10 fungal species, was included to investigate the accuracy of the bioinformatics analysis. Bacterial sequences and fungal sequences were analyzed using the PIPITS pipeline and the Hydra pipeline, respectively (Gweon et al. 2015, Hollander 2017). In short, fungal sequences were paired using VSEARCH and quality was filtered using standard parameters. The ITS2 region was extracted using ITSx (Bengtsson-Palme et al. 2013). Short reads were removed, and sequences were clustered based on a 97% similarity threshold using VSEARCH and chimeric sequences were removed by comparing with UNITE uchime database. The representative sequences were identified using the RDP classifier against the UNITE database (Koljalg et al. 2005). For bacterial sequences VSEARCH was used to pair sequences and cluster them or classification, SINA classification was used with the SILVA database. Nematode extraction - Decantation (Cobb 1918) and centrifugal flotation methods (Van Bezooijen 2006) were used to extract nematodes from 50 g fresh soil collected from block 1 and 2 (100 subplots). Briefly, soil samples were weighed, suspended in 3 L water and stirred until a homogenous suspension was obtained. The suspension was settled for 15 sec and the supernatant decanted into a plastic bowl. This procedure was repeated three times and the obtained suspension was passed through one 75 m and three 45 m sieves and collected into a 50 ml centrifuge tube. The nematode suspension was centrifuged for 5 minutes at 3000 rpm and the supernatant was carefully poured off. Sugar solution (484 g/L) was added, fully mixed with the remaining sediment in the tube and centrifuged again for 5 min at 1000 rpm. The supernatant was poured over a 30 m sieve. Nematodes on the sieve were carefully rinsed with water and collected in a beaker for microscopic analysis). All nematodes were counted and classified by microscopy to one of five feeding types (root feeders, fungivores, omnivores, bacterivores, or predators) according to Yeates et al. (1993). However, predatory nematodes were excluded from further analysis because of low abundance. Data analysis We used linear mixed-effects models to test the effects of duration of plant growth (one- and two-year subplots), community growth rates (fast vs. slow), and forb:grass ratios on above- and root biomass, soil abiotic characteristics (pH, Fe, K, Mg, P, S, Zn, NO2-N +NO3-N, NH4-N), soil organic matter, soil microbial properties, and feeding types of nematodes. Thereby, plot and plant community identity (Fast 1, Fast 2, Fast 3, Slow 1, Slow 2, Slow 3) were included as random factors. Above- and belowground biomass, chemical abiotic characteristics and soil microbial properties (respiration and biomass) data were ln- transformed to meet assumptions of ANOVA. Linear mixed- effects models were performed using lme4 package (Bates et al. 2015), whereas p-values and degrees of freedom were estimated with Type III Kenward-Roger approximation using lmerTest (Kuznetsova et al. 2017). We further used comparisons of means for treatment- specific effects (Tukeys HSD test; alpha < 0.05). Tukeys tests were performed using and multcomp package (Hothorn et al. 2016). Bare plots were excluded from analysis, but their values are displayed in graphs. To test the effects of duration of plant growth, community growth rates, and forb:grass ratios on bacterial and fungal community compositions, we first filtered out taxa that were present in less than ten samples and had an abundance of less than 0.01%. ITS sequences derived from other organisms than fungi were further removed and for 16S rRNA data mitochondria and chloroplast sequences were removed. For both bacteria and fungi, samples with less than 1000 reads of more than 80 000 reads remaining were removed from the dataset and read numbers were further normalized using total sum scaling (TSS). Mock communities consisting of 10 fungal species were used to inspect the filtering done for fungi. After filtering, we detected 13 fungal OTUs which shows that we might be slightly overestimating the diversity. Afterwards, we ran permutational multivariate analysis of variance (PERMANOVA) (based on Bray-Curtis dissimilarities, 999 permutations) on both bacterial and fungal OTUs using the adonis function in the vegan package (Oksanen et al. 2016). However, here we only used one- and two-year subplots to test for the differences in plant community effect on soil microbial community composition. Since the basic assumption of PERMANOVA analysis is a balanced design and homogenization of samples, bare subplots were excluded due to lower number of samples than the one-and two-year subplots. For visualization we applied a nonmetric multidimensional (NMDS) analysis of the dissimilarities (based on Bray-Curtis dissimilarities) in microbial community composition using ggplot2 package (Wickham 2016). All statistics were performed within the R statistical environment (Version 3.5.1; R Core Team, 2018). Copyright: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication"	Ecosphere	11	e03246 	Netherlands	De Mossel	52.062	5.76	Herbal leys	Herbage dry matter (HDM)	Figure 1b	2015	2017	2		Randomised block	4	High	Yield data extracted from figure
2021RGHLsnow051	2021RGHLsnow051	F. Nobilly; R.H. Bryant; B.A. McKenzie; G.R. Edwards	2013	Productivity of rotationally grazed simple and diverse pasture mixtures under irrigation in Canterbury 	"Herbage dry matter (DM) production, botanical composition and nutritive value were compared over 2 years under irrigation and dairy cow grazing for simple two-species grass (perennial ryegrass or tall fescue)- white clover pastures and diverse pastures where herbs (chicory and plantain), legumes (red clover and lucerne) and prairie grass were added to the simple mixtures. Averaged over 2 years, annual herbage DM production was 1.62 t DM/ha greater in diverse (16.77 t DM/ ha) than simple (15.15 t DM/ha) pastures, primarily reflecting greater DM production in summer. Diverse pastures had lower metabolisable energy (ME) (12.0 vs 12.2 MJ ME/kg DM) and neutral detergent fibre (301 vs 368 g/kg DM) content than simple pastures, although the total ME produced per year was greater in diverse than simple pastures (202 vs 185 GJ ME/ha). Ryegrass- based pastures had higher annual DM production than tall fescue-based pastures in the first but not second year. The results indicate that including additional legumes and herbs with simple grass-white clover pastures may increase total DM and ME production of dairy pastures under irrigation. "	Proceedings of the New Zealand Grassland Association 	75	165-172	New Zealand	"Lincoln University Research Dairy Farm, Canterbury "	-43.639	172.457	Herbal leys	Herbage dry matter (HDM)	Table 2	2010	2012	2	270	Randomised block	3	High	
2021RGHLsnow060	2021RGHLsnow060	"E.M.K. Minnee, C.E.F. Clark, D.A. Clark"	2013	Herbage production from five grazable forages 	"Maintaining an adequate feed supply throughout the year is an important consideration in dairy systems. Systems based on perennial ryegrass pastures are often limited by poor growth and feed quality when soil moisture is low and temperatures are high. Alternative forage species better adapted to these conditions may provide options for maintaining feed supply. Annual and seasonal dry matter (DM) production, and nutritive value of five grazable forages with and without irrigation were compared under cutting in the Waikato over two successive years. Perennial ryegrass produced the greatest annual DM yield in both years under both irrigation regimes, largely through superior cool season production and mild temperatures with above average rainfall during the experiment. Plantain tended to provide more DM than perennial ryegrass under irrigation in summer and autumn, a time when additional DM is important for maintaining milk production. With the exception of sudan grass, nutritive value of all forages exceeded values expected to limit milk production "	Proceedings of the New Zealand Grassland Association 	75	245-250	New Zealand	"Scott Farm (DairyNZ), Hamilton"	-37.778	175.351	Herbal leys	Herbage dry matter (HDM)	Table 2	2008	2010	2		Randomised block	6	High	"Averaged yield across all years and irrigation treatments, in separate excel spreadsheet"
2021RGHLsnow063a	2021RGHLsnow063	"M.J. Daly,R.M. Hunter, G.N. Green, L. Hunt"	1996	A comparison of multi-species pasture with ryegrass–white clover pasture under dryland conditions	"The performance of three different multi-species pastures (MSP), or mixed herb leys as they are also known, was compared with that of a standard ryegrass–white clover pasture (cvs Grasslands Super Nui–Grasslands Huia), over a 3-year period at two dryland sites. The MSP treatments had grass and legume species selected for compatibility and growth and aimed to provide a contrast in quality and production. The herb species, common to each of the MSP treatments, were chicory, plantain, sheep’s burnet and yarrow. The dry matter pro- duction of the MSP treatments was significantly higher than that of the ryegrass–white clover pasture (P<0.05) in all three years at one site and in one year only at the other site. Seasonal growth com- parisons showed higher summer growth (P<0.05) for MSP treatments compared with ryegrass–white clover and similar autumn growth. Contribution to production of herbage components demonstrated less grass (P<0.05) and more legume and herbs in the MSP treatments. A lucerne-based MSP gave the best overall performance."	Proceedings of the New Zealand Grassland Association 	58	53-58	New Zealand	"Winchmore Research Station, Canterbury"	-43.784	171.692	Herbal leys	Herbage dry matter (HDM)	Figure 3	1992	1995	3	365	Randomised block	4	High	Extracted yield data from figure
