ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	State	LatDD	LonDD	Livestock type	"If other, please specify"	Agroforestry type	"If other, please specify"	Comparator	"If other, please specify"	Productivity measure	"If other, please specify"	Effect on productivity	GHGEs/Carbon	"If multiple or other, please specify"	Effect on carbon/GHG measure	Water quantity	Water quality	Air quality	Soil erosion	Economics
Yeates2000_32	Journal Article	2000	"Yeates, G. W.; Hawke, M. F.; Rijkse, W. C."	Changes in soil fauna and soil conditions under Pinus radiata agroforestry regimes during a 25-year tree rotation	Biology and Fertility of Soils	0178-2762	10.1007/s003749900186	<Go to ISI>://WOS:000088324100006	"Pinus radiata was planted in a grazed pasture at Tikitere, New Zealand in 1973; final tree stocking rates were 0, 50, 100, 200 and 400 stems ha(-1); trees were harvested in 1999. We sampled the loamy sand for chemistry, earthworms, enchytraeids and nematodes during crop growth. There were no visible changes in the soil profile between years 2 and 25 of the P. radiata rotation, but marked changes in soil chemistry with pH declining at all depths. Topsoil pH declined but plant-available P and the soil C:N ratio increased. That similar trends occurred in pasture may have reflected reduced inputs. Lumbricid earthworms declined with increasing time and tree stocking rate; significant populations were found only in pasture at 25 years; no related changes in soil bulk density were detected. Enchytraeids were abundant but declined in the plots with 200 and 400 stems ha(-1). The composition of the nematode fauna at a soil depth of 0-10 cm varied, and there were changes in the ""control"" pasture. Pratylenchus sp. and Pungentus sp. were characteristic of pasture; Diphtherophora sp. appeared at higher tree stocking rates. In addition to changes related to the change in landuse there were temporal changes that affected faunal composition across tree stocking rates: Heterodera sp. and Paratylenchus sp. were rare after year 6; Prismatolaimus sp. was most abundant in years 2, 13 and 25; Axonchium sp. occurred in year 6 and Alaimus sp. mainly in year 25. Overall, the changes in soil chemistry reflected the change from pasture to forest. Parallel changes in soil microfauna and macrofauna also reflected the change in landuse, from fertilised pasture to coniferous forest, and are considered reversible."	31	5			New Zealand	North Island	-36.85	174.76	Mixture of sheep and cattle	Beef cattle	Silvopasture		Baseline from implementation					Soil organic carbon		No effect					
Yates2000_36	Journal Article	2000	"Yates, C. J.; Norton, D. A.; Hobbs, R. J."	"Grazing effects on plant cover, soil and microclimate in fragmented woodlands in south-western Australia: implications for restoration"	Austral Ecology	1442-9985	10.1111/j.1442-9993.2000.tb00005.x	<Go to ISI>://WOS:000087255200005	"This study investigated the impacts of livestock grazing on native plant species cover, litter cover, soil surface condition, surface soil physical and chemical properties, surface soil hydrology, and near ground and soil microclimate in remnant Eucalyptus salmonophloia F. Muell woodlands. Vegetation and soil surveys were undertaken in three woodlands with a history of regular grazing and in three woodlands with a history of little or no grazing. Livestock grazing was associated with a decline in native perennial cover and an increase in exotic annual cover, reduced litter cover, reduced soil cryptogam cover, loss of surface soil microtopography, increased erosion, changes in the concentrations of soil nutrients, degradation of surface soil structure, reduced soil water infiltration rates and changes in near ground and soil microclimate. The results suggest that livestock grazing changes woodland conditions and disrupts the resource regulatory processes that maintain the natural biological array in E. salmonophloia woodlands. Consequently the conditions and resources in many remnant woodlands may be above or below critical thresholds for many species. The implications of these findings for restoration of plant species diversity and community structure are discussed. Simply removing livestock from degraded woodlands is unlikely to result in the restoration of plant species diversity and community structure. Restoration will require strategies that capture resources, increase their retention and improve microclimate."	25	1			Australia		-25.274398	133.775136	Sheep		Forest grazing		Forest without grazing					Soil organic carbon		Negative	Negative			Negative	
Wocheslander2016_47	Journal Article	2016	"Wocheslander, R.; Harper, R. J.; Sochacki, S. R.; Ward, P. R.; Revell, C."	Tagasaste (Cytisus proliferus Link.) reforestation as an option for carbon mitigation in dryland farming systems	Ecological Engineering	0925-8574	10.1016/j.ecoleng.2016.10.039	<Go to ISI>://WOS:000388580200064	"The Agriculture, Forestry and Other Land Use Sector (AFOLU) plays a major role in national and international strategies to manage increasing global greenhouse gas emissions. This study investigated the option of increasing carbon storage in biomass and poorly productive soils in dryland agricultural systems, while avoiding competition with food production, using tagasaste (Cytisus proliferus Link.), a woody N-fixing perennial species. Perennial plants often have deeper and more extensive root systems than annual plants, and therefore may increase soil organic carbon (SOC) stocks deeper than the IPCC standard sampling depth of 0.3m. Above- and below-ground biomass carbon and SOC to a depth of 2 m were measured on a 22-yr-old replicated field experiment in Western Australia (mean annual rainfall, 498 mm yr(-1)) comparing unmanaged plantations of tagasaste with conventional annual crop and pasture rotations. Carbon sequestration was 2.5 Mg Cha(-1) yr(-1) over the 22-yr lifespan for the tagasaste treatments, with a change of 0.9 Mg Cha(-1) yr(-1) in SOC and 1.6 Mg Cha(-1) yr(-1) in biomass. Tagasaste plots contained significantly larger SOC stocks compared with control plots for soil to 0.9 m, however beyond this depth, treatment differences were not significant. It is recommended that soil sampling be extended to depths of 1 m under such perennial systems with no benefit from sampling to depths deeper than this. In contrast to its current use as a fodder supplement for livestock, this study clearly demonstrates the potential of tagasaste for carbon mitigation within dryland farming systems, especially on soils marginal for conventional agriculture. Crown Copyright (C) 2016 Published by Elsevier B.V. All rights reserved."	97				Australia		-25.274398	133.775136	Sheep		Silvopasture		Pasture without trees					Total soil carbon		Positive					
Wilson2013_64	Journal Article	2013	"Wilson, Brian R.; Lonergan, Vanessa E."	Land-use and historical management effects on soil organic carbon in grazing systems on the Northern Tablelands of New South Wales	Soil Research	1838-675X	10.1071/sr12376	<Go to ISI>://WOS:000328733100009	"We examined soil organic carbon (SOC) concentration (mgg(-1)) and total organic carbon (TOC) stock (Mgha(-1) to 30cm soil depth) in three pasture systems in northern New South Wales: improved pasture, native pasture, and lightly wooded pasture, at two sampling times (2009 and 2011). No significant difference was found in SOC or TOC between sample times, suggesting that under the conditions we examined, neither 2 years nor an intervening significant rainfall event was sufficient to change the quantity or our capacity to detect SOC, and neither represented a barrier to soil carbon accounting. Low fertility, lightly wooded pastures had a slightly but significantly lower SOC concentration, particularly in the surface soil layers. However, no significant differences in TOC were detected between the three pasture systems studied, and from a carbon estimation perspective, they represent one, single dataset. A wide range in TOC values existed within the dataset that could not be explained by environmental factors. The TOC was weakly but significantly correlated with soil nitrogen and phosphorus, but a more significant pattern seemed to be the association of high TOC with proportionally larger subsoil (0.1-0.3m) organic carbon storage. This we attribute to historical, long-term rather than contemporary management. Of the SOC fractions, particulate organic carbon (POC) dominated in the surface layers but diminished with depth, whereas the proportion of humic carbon (HUM) and resistant organic carbon (ROC) increased with soil depth. The POC did not differ between the pasture systems but native pasture had larger quantities of HUM and ROC, particularly in the surface soil layers, suggesting that this pasture system tends to accumulate organic carbon in more resistant forms, presumably because of litter input quality and historical management."	51	07-Aug			Australia	New South Wales	-32	147	Unclear		Wood pasture		Pasture without trees					Soil organic carbon		Negative					
Wilson2007_65	Journal Article	2007	"Wilson, Brian R.; Growns, Ivor; Lemon, John"	"Scattered native trees and soil patterns in grazing land on the Northern Tablelands of New South Wales, Australia"	Australian Journal of Soil Research	Apr-73	10.1071/sr07019	<Go to ISI>://WOS:000246571100005	"Over large areas of south-eastern Australia, the original cover of native woodland has been extensively cleared or modi. ed, and what remains is often characterised by scattered trees beneath which the ground-storey vegetation is largely grazed or otherwise managed. This study investigated the influence of scattered Blakely's red gum (Eucalyptus blakelyi) trees on both near-surface and deeper soil layers in temperate grazed pastures on the Northern Tablelands of New South Wales, Australia. A significant canopy effect was observed with elevated soil pH, carbon, and nutrient status inside the tree canopy indicating soil enrichment in a zone around the tree. This effect, however, was largely restricted to the surface (0-0.20 m) soil layers. Chloride concentrations were elevated near to trees but only in the deeper soil layers, suggesting that a modi. ed water use and deep drainage mechanism occurred near the trees. Close to the tree, however, a significant acidification was observed between 0.40-0.60 m depth in the soil, without any obvious depletion in other soil element concentrations. It is concluded that this acidi. cation provides strong evidence in support of a 'biological pumping' mechanism that has been proposed elsewhere. Key questions remain as to the management implications of these results, whether the subsurface acidi. cation that was observed is common among native Australian trees, if it might be persistent through time, and if this might be a soil issue that requires management."	45	3			Australia	New South Wales	-32	147	Unclear		Wood pasture		Pasture without trees					Soil organic carbon		Positive					
Wilson2002_66	Journal Article	2002	"Wilson, Brian"	Influence of scattered paddock trees on surface soil properties: A study of the Northern Tablelands of NSW	Ecological Management & Restoration	1442-7001	10.1046/j.1442-8903.2002.00115.x	<Go to ISI>://BCI:BCI200300437719	"Surface soil conditions were assessed under three tree species on a property near Armidale on the Northern Tablelands of NSW. In both a stocked and adjacent destocked paddock, five trees each of three eucalypt species: Eucalyptus melliodora, Eucalyptus blakelyi and Eucalyptus nova-anglica, were selected. Soil samples were collected (depth 0-10 cm) along transects 20 m in length running from beneath the tree canopy progressively outwards into the open paddock. Six additional transects were also sampled outside the influence of the trees. Soil properties at a distance from the trees differed little between the stocked and destocked paddock with only a slight acidification in the stocked paddock. However, soil properties around the scattered trees showed considerable variation between stocked and destocked equivalents and most notably in a systematic pattern with distance from the trees themselves. For example, bulk density increased significantly, whereas soil pH, carbon, nitrogen and extractable phosphorus contents all decreased significantly with distance from the trees. However, stocking and camping had modified some of these soil properties. In the stocked paddock, the systematic change in nitrogen and phosphorus with distance from the trees was less clear and the degree of dispersion of the data was largest at the most heavily camped site. In this paddock, bulk density was also generally higher whereas pH, carbon and nitrogen contents were lower compared with the destocked equivalent. Extractable phosphorus content was also higher around the trees in the stocked paddock especially where camping activity was most intense. It is concluded that, although animal camping can modify their effects, scattered trees have a beneficial effect on soil properties and in this respect they have value in the grazing system from a soil conservation perspective."	3	3			Australia	New South Wales	-32	147	Unclear		Wood pasture		Other	Wood pasture without grazing				Soil organic carbon		Mixed results (negative and no effect)					
Welsch2016_95i	Journal Article	2016	"Welsch, Johannes; Hale, Roddy J.; Buckley, Hannah L.; Case, Bradley S."	Quantification and comparison of shelterbelt carbon stocks within and between an organic mixed-cropping farm and a conventional dairy farm	New Zealand Natural Sciences	0113-7492		<Go to ISI>://BCI:BCI201800569301	"Although woody ecosystems provide a key carbon sink to compensate for current and future greenhouse gas emissions, the potential utility of such sinks within agroecosystems has not yet been fully investigated. We quantified shelterbelt carbon variability, within above- and below-ground pools, for two contrasting farms: a conventional dairy farm and an organic mixed-cropping farm. Shelterbelts comprised deciduous, evergreen and mixed-native species occurring on silt loams, as well as adjacent paddock soils for comparison. Considering all above- and below-ground components, woody shelterbelts contained up to fifteen times more carbon (>600 t C ha(-1)) than sampled paddock soils (c. 45 t C ha(-1)). Carbon quantities within organic farm shelterbelt soils were 2.5 times higher than dairy farm soils, suggesting a potential land use effect. Soil carbon comprised about 10 % of total ecosystem carbon within shelterbelts. This study indicates that farm shelterbelts can serve a role as relevant carbon sinks within New Zealand agroecosystems."	41				New Zealand	Canterbury	-43.64	172.46	Cattle		Shelterbelt/Windbreak		Pasture without trees					Aboveground carbon	Multiple	Positive					
Welsch2016_95ii	Journal Article	2016	"Welsch, Johannes; Hale, Roddy J.; Buckley, Hannah L.; Case, Bradley S."	Quantification and comparison of shelterbelt carbon stocks within and between an organic mixed-cropping farm and a conventional dairy farm	New Zealand Natural Sciences	0113-7492		<Go to ISI>://BCI:BCI201800569301	"Although woody ecosystems provide a key carbon sink to compensate for current and future greenhouse gas emissions, the potential utility of such sinks within agroecosystems has not yet been fully investigated. We quantified shelterbelt carbon variability, within above- and below-ground pools, for two contrasting farms: a conventional dairy farm and an organic mixed-cropping farm. Shelterbelts comprised deciduous, evergreen and mixed-native species occurring on silt loams, as well as adjacent paddock soils for comparison. Considering all above- and below-ground components, woody shelterbelts contained up to fifteen times more carbon (>600 t C ha(-1)) than sampled paddock soils (c. 45 t C ha(-1)). Carbon quantities within organic farm shelterbelt soils were 2.5 times higher than dairy farm soils, suggesting a potential land use effect. Soil carbon comprised about 10 % of total ecosystem carbon within shelterbelts. This study indicates that farm shelterbelts can serve a role as relevant carbon sinks within New Zealand agroecosystems."	41				New Zealand	Canterbury	-43.64	172.46	Cattle		Shelterbelt/Windbreak		Pasture without trees					Belowground carbon (plant roots)	Multiple	Positive					
Welsch2019_96	Journal Article	2019	"Welsch, J.; Songling, C.; Buckley, H. L.; Lehto, N. J.; Jones, E. E.; Case, B. S."	How many samples? Soil variability affects confidence in the use of common agroecosystem soil indicators	Ecological Indicators	1470160X (ISSN)	10.1016/j.ecolind.2019.02.065	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062374982&doi=10.1016%2fj.ecolind.2019.02.065&partnerID=40&md5=ede2223b83ca9ae393247b264d28c7a3	"There is a need for accurate and easily-measured indicators suitable for characterising and monitoring agroecosystem multi-functionality. This is particularly true in intensively-farmed landscapes where it is of interest to quantify the role of small, woody vegetation features in providing ecosystem services such as carbon sequestration. However, soil variability introduced by natural and management processes can interact with sampling designs to result in inappropriate sampling intensities and high levels of uncertainty in measured indicators. This can have consequences for upscaling of ecosystem quantities and decision making. Here, we present results from a pilot study aimed at quantifying and understanding variation in ten common indicators of soil condition and function, within shelterbelt and adjacent field soils, at four dryland sheep farms in Canterbury, New Zealand. Our results demonstrate a high level of spatially-structured soil variability, driven by (1) the effects of woody vegetation on shelterbelt soils relative to field soils, (2) differences in underlying soil types among sites, and (3) possible effects of grazing animals within fields. This soil variability had clear knock-on impacts for appropriate sampling effort, depending on the soil indicator in question, the original soil sampling density, and whether the aim was to estimate population mean values or to detect differences among sites with confidence. On the whole, confidence in soil indicator estimates was highest for soil condition indicators (pH, soil moisture, bulk density), variable for carbon quantities, depending on the measure used, and lowest for soil biological process indicators (tea bag index decomposition rate, bait lamina probe micro-invertebrate activity, and dehydrogenase enzyme activity); estimation confidence was also mostly lower for shelterbelt soils due to the effect of woody roots and inputs on soil variability. Based on our results, we present indicative sample size requirements to estimate population means for these different soil indicators. Ultimately, we advocate for the use of pilot studies, such as the one presented here, to facilitate understanding of variability in soil function indicators within different agroecosystems, and how this variability is partitioned spatially within and among vegetated features. © 2019 Elsevier Ltd"	102			Agroecosystem; Carbon; Estimation; Multi-functionality; Power analysis; Sampling intensity; Scaling up; Soil indicator; Spatial variation; Woody vegetation; Decision making; Enzyme activity; Forestry; Soil moisture; Vegetation; Agro ecosystems; Multifunctionality; Scaling-up; Spatial variations; Ecosystems; agricultural ecosystem; agricultural soil; carbon sequestration; decomposition; ecosystem service; environmental indicator; environmental monitoring; population estimation; sampling; shelterbelt; soil carbon; uncertainty analysis; upscaling; Canterbury [South Island]; New Zealand; South Island; Animalia; Invertebrata; Ovis aries	New Zealand	Canterbury	-33.9126	151.118	Sheep		Shelterbelt/Windbreak		Pasture without trees					Belowground carbon (plant roots)		No effect					
Walden2017_121	Journal Article	2017	"Walden, L. L.; Harper, R. J.; Sochacki, S. J.; Montagu, K. D.; Wocheslander, R.; Clarke, M.; Ritson, P.; Emms, J.; Davoren, C. W.; Mowat, D.; Smith, A. P.; Gupta, V. V. S. R."	Mitigation of carbon using Atriplex nummularia revegetation	Ecological Engineering	0925-8574	10.1016/j.ecoleng.2017.05.027	<Go to ISI>://WOS:000405512600026	"The use of abandoned or marginally productive land to mitigate greenhouse gas emissions may avoid competition with food and water production. Atriplex nummularia Lindl. is a perennial shrub commonly established for livestock forage on saline land, however, its potential for carbon mitigation has not been systematically evaluated. Similarly, although revegetation is an allowable activity to mitigate carbon within Article 3.4 of the United Nations Framework Convention on Climate Change's Kyoto Protocol, there is a paucity of information on rates of carbon mitigation in soils and biomass through this mechanism. For six sites where A. nummularia had been established across southern Australia four were used to assess changes in soil carbon storage and four were used to develop biomass carbon sequestration estimates. A generalised allometric equation for above and below ground biomass was developed, with a simple crown volume index explaining 81% of the variation in total biomass. There were no significant differences in soil organic carbon storage to 0.3 m or 2 m depth compared to existing agricultural land-use. Between 2.2 and 8.3 Mg C ha(-1) or 0.2-0.6 Mg C ha(-1) yr(-1) was sequestered in above and below ground biomass and this translates to potential total sequestration of 1.1-3.6 Tg C yr(-1) on saline land across Australia. Carbon income and forage grazing may thus provide a means to finance the stabilization of compromised land. Crown Copyright (C) 2017 Published by Elsevier B.V. All rights reserved."	106				Australia		-25.274398	133.775136	Sheep		Silvopasture		Pasture without trees					Belowground carbon (plant roots)		No effect					
