ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	State	LatDD	LonDD	Livestock type	"If other, please specify"	Agroforestry type	"If other, please specify"	Comparator	"If other, please specify"	Productivity measure	"If other, please specify"	Effect on productivity	GHGEs/Carbon	"If multiple or other, please specify"	Effect on carbon/GHG measure	Water quantity	Water quality	Air quality	Soil erosion	Economics
Thorrold1997_192	Journal Article	1997	"Thorrold, B. S.; Knowles, R. L.; Nicholas, I. D.; Power, I. L.; Carter, J. L."	Evaluation of agroforestry options for three tree species	Proceedings of the New Zealand Grassland Association	0369-3902			"Information on tree growth rates, economic returns and the effects of trees on pasture for radiata pine [Pinus radiata], Australian blackwood [Acacia melanoxylon] and Eucalyptus fastigata were analysed to assess the economic returns of using these tree species within a hill country farming operation. Four land use alternatives for a typical North Island hill country farm were compared using published data for costs and returns. Under the assumptions made, all three species options were more profitable in the long run than sheep and beef farming. Radiata pine produced the greatest return, large increases in log prices or yields of other tree species being required to give equal profit. The results of the analysis and market information emphasise the importance of good site selection and silviculture in the production of high quality timber. For some species these requirements may not fit on-farm production systems or be economically attractive."	59		157-158	agroforestry systems; costs; pastures; pines; returns; silviculture; silvopastoral systems; trees; woody plants	New Zealand	North Island	-37.87	176.53	Mixture of sheep and cattle		Silvopasture		Pasture without trees												Positive
Sudmeyer2005_215	Journal Article	2005	"Sudmeyer, R.; Flugge, F."	The economics of managing tree-crop competition in windbreak and alley systems	Australian Journal of Experimental Agriculture	0816-1089	10.1071/ea04155	<Go to ISI>://WOS:000233968000006	"Re-introducing trees and shrubs into agricultural landscapes as agroforestry systems establishes a tension between long-term objectives, such as increasing shelter, water use, nature conservation and harvesting tree products, and the short-term objective of maximising crop and pasture profitability. This paper describes the growth of crops, pastures and trees at the tree - crop interface in agroforestry systems and the economic returns from alley farming and windbreak systems using various tree - crop competition management strategies in the Esperance region of Western Australia. Severing lateral tree roots (root-pruning), harvesting mallees and allowing them to coppice, or thinning trees for sawlog regimes increased the yield of crops and pastures in the competition zone. In some instances, these increases were significant: root-pruning increased the annual return from crops grown in the competition zone of Pinus radiata by up to $548/km of the tree line at 1 site. Conversely, root-pruning reduced tree growth by 14 - 43% across all sites. Therefore, where trees provide benefits, such as shelter from damaging winds, the benefits of reduced tree - crop competition may not offset the consequent reduction in rate of tree growth. For mallee - crop alley systems on agriculturally productive soils, mallee growth rates must be high enough to compensate for crop losses in the competition zone. On less agriculturally productive soils, block-planting mallees may be more profitable than alley systems or crops without competition (sole-crops). This research has shown that competition management strategies can be used to manipulate the relative productivity of trees, crops and pasture at the tree - agriculture interface. The use of these strategies will depend on the relative economic value of tree and crop products and the value placed on other tree benefits, such as shelter and reduced groundwater recharge."	45	11	26-33		Australia		-25.274398	133.775136	Pasture without livestock		Biofuel		Pasture without trees												Mixed results (positive and negative)
Sudmeyer2008_216	Journal Article	2008	"Sudmeyer, R. A.; Simons, J. A."	Eucalyptus globulus agroforestry on deep sands on the southeast coast of Western Australia: The promise and the reality	Agriculture Ecosystems & Environment	0167-8809	10.1016/j.agee.2008.03.003	<Go to ISI>://WOS:000257528100010	"Secondary salinisation is a growing problem in Western Australia, with 1.1 Mha of agricultural and public land now affected to some extent. During the 1980s and early 1990s it was widely believed that agroforestry offered one of the best hopes for reducing the area at risk from salinisation while improving the productivity of conventional agricultural enterprises and providing new sources of income to landholders. This paper details the hydrogeology, tree water use and the productivity of Eucalyptus globulus, crops and pastures in an agroforestry system on the south coast of Western Australia with deep sandy soils and rising groundwater. The tree-belts directly occupied 10% of the catchment and the lateral spread of outer tree roots meant recharge was effectively eliminated over 20% of the catchment. However, groundwater at the site continued to rise for 13 years after the trees were planted. Sapflow and tree growth measurements showed that the trees did not access the brackish groundwater (>500 mg/L) present over most of the site. Consequently, tree growth was relatively poor (5 m(3)/ha/yr for inner trees) and the estimated economic returns from pulpwood production were less than from agriculture. While the outer tree rows grew at 8 times the rate of inner rows, this was at the expense of reduced crop and pasture growth in the adjacent 15-20 m wide competition zone (CZ). If the area of the CZ where agricultural production was less than breakeven is considered, then the outer tree rows grew at a similar rate (expressed on an area basis) as the inner rows. This suggests there was no economic advantage in growing pulpwood in belts rather than blocks at this site. Thinning the trees to 125 stems/ha allowed improved crop and pasture production and reduced wind erosion in the CZ, and facilitated greater growth rates of the remaining trees. It remains to be determined whether increased economic returns from the trees will compensate for the cost of thinning and pruning. This study has shown that E. globulus is not a suitable agroforestry tree species for medium rainfall sites with deep sands and brackish groundwater, other tree species may be more suited to these sites and achieve better economic and hydrological outcomes for landholders. (C) 2008 Elsevier B.V. All rights reserved."	127	01-Feb	668-73		Australia		-25.274398	133.775136	Pasture without livestock		Shelterbelt/Windbreak		Pasture without trees		Understory/pasture production		Mixed results (negative and no effect)								Mixed results (negative and no effect)
Sudmeyer2012_217	Journal Article	2012	"Sudmeyer, R. A.; Daniels, T.; Jones, H.; Huxtable, D."	The extent and cost of mallee-crop competition in unharvested carbon sequestration and harvested mallee biomass agroforestry systems	Crop & Pasture Science	1836-0947	10.1071/cp12129	<Go to ISI>://WOS:000308876900007	"Mallee-based agroforestry has potential to provide farmers with new income sources derived from biofuels, biofeedstocks, and carbon sequestration. Although mallees are planted on >12 700 ha across the south-west of Western Australia, very little commercial harvesting of mallee has occurred to date. The development of biomass processing industries is constrained by lack of robust information regarding the productivity of integrated mallee and agricultural systems. This study addresses this constraint by quantifying the productivity and economics of agricultural crops and pastures growing in the competition zone adjacent to mallee belts at 15 sites across the Western Australian wheatbelt. The sites covered a range of climate and edaphic conditions, three mallee species (Eucalyptus polybractea R Baker, E. loxophleba ssp. lissophloia LAS Johnson and KD Hill, or E. kochii ssp. plenissima (CA Gardner) Brooker), various crop and pasture rotations, and various mallee harvest-management treatments. Mallee-crop competition was negatively correlated with rainfall and positively correlated with mallee age and size, and greater for crops than pasture. Consequently, extent and magnitude of competition were highly variable across sites and years. On average, mallee-crop competition extended 11.3m from unharvested belts and reduced crop and pasture yields by 36% within 2-20m of the mallee belts relative to open paddock yields. This is similar to what has been reported for taller tree species. Harvesting mallees reduced competition such that crop and pasture yield was reduced by 22 or 27% relative to open paddock yields for mallees harvested at 3- or 6+-year intervals, respectively. The economic cost of mallee-crop competition on agricultural enterprises was also highly variable between sites, and between years within individual sites. Averaged across all site-years, the opportunity cost of competition was equivalent to forgoing agricultural production for 14.4m on each side of unharvested mallee belts, or 9-10m on each side of harvested belts. Farmers with mallee agroforestry systems will need to manage the economic impacts of competition by reducing agricultural input costs in the competition zone, timing crop-grazing rotations with mallee harvests, ensuring that the width of alleys is at least 25 times the height of the mature trees, and possibly root-pruning mallees in unharvested or long harvest interval systems. This research has shown that mallee-crop competition presents a significant cost to farmers and must be considered when designing mallee agroforestry systems. The findings have relevance for the development of appropriate biomass and carbon sequestration pricing benchmarks for mallee plantings."	63	6	140-140		Australia		-25.274398	133.775136	Pasture without livestock		Biofuel		Pasture without trees		Understory/pasture production		Negative								Unclear from article
Stewart2011_230	Journal Article	2011	"Stewart, Hugh T. L.; Race, Digby H.; Curtis, Allan L.; Stewart, Andrew J. K."	A case study of socio-economic returns from farm forestry and agriculture in south-east Australia during 1993-2007	Forest Policy and Economics	1389-9341	10.1016/j.forpol.2011.03.004	<Go to ISI>://WOS:000292533700010	"In Australia, a national policy was launched in 1997 to enhance regional wealth and international competitiveness of forest industries through a sustainable increase in plantations. An element of the policy was the development of a commercial forestry and farm forestry culture. In this context, farm forestry was intended to provide the opportunity to integrate smaller-scale plantations into agricultural landscapes on private land. Against this background, a study was undertaken to analyse the socio-economic returns from farm forestry in a case study in south-east Australia. Financial information during 1993-2007 for livestock grazing and 8 ha of blue gum (Eucalyptus globulus) was analysed to compare the profitability of farming and farm forestry. During this period, a full cycle of blue gum (14 years) to produce pulp logs was completed with a forestry company under a tree farming agreement. The blue gum was integrated with the livestock enterprise by planting the trees in belts that were mostly 10 rows or 30 m wide positioned 250-300 m apart and located strategically on productive agricultural land along land-class boundaries. For the blue gum farm forestry, the net present value to the farmer expressed in 1993 dollars was $1236/ha compared to $768/ha for livestock grazing during 1993-2007. The farmer reported they had successfully integrated farm forestry as a land-use, and that the farm forestry had provided important environmental benefits and social benefits. The farmer was committed to farm forestry being part of the diversified farming business into the future, with the management of a second crop of blue gum on the farm underway. (C) 2011 Elsevier B.V. All rights reserved."	13	5	10-pp		Australia	Victoria	-38.22	143.54	Mixture of sheep and cattle		Silvopasture		Pasture without trees												Positive
Sinnett2016_280	Journal Article	2016	"Sinnett, Alexandria; Behrendt, Ralph; Ho, Christie; Malcolm, Bill"	The carbon credits and economic return of environmental plantings on a prime lamb property in south eastern Australia	Land Use Policy	0264-8377	10.1016/j.landusepol.2015.12.023	<Go to ISI>://WOS:000372387900034	"In Australia, an approved farm action under the Emissions Reduction Fund is for farmers to establish permanent tree plantations. For a livestock farmer who is considering establishing environmental plantings of trees for carbon sequestration, the question is 'what are the benefits and costs of growing trees instead of using that land to grow pasture to feed livestock?' In this research, the case study approach and the methods of farm management economics were applied to assess whether growing trees for carbon on part of a prime lamb case study farm in south-west Victoria could be a better use of resources than using that land to graze livestock. The question was investigated for a range of economic and environmental conditions over 25 and 100 years. A condition was that the trees provided no other benefit on farm and the required rate of return on marginal capital was 6% real (10% nominal). The results indicated that the price of carbon would need to be $AUD132/t CO(2)e for growing trees solely for carbon sequestration to be a good investment. Alternatively, if the trees provided benefits in addition to carbon credits, such as shelter for vulnerable young lambs, the investment could be worthwhile to the business at a lower carbon price. Previous research has shown that shelter (in the form of trees, grasshedge rows and other man-made structures) can reduce lamb mortality by reducing wind chill at lambing, through reduced wind speed. The benefits to a farm system from growing trees for carbon depends on the reduction in wind speed the trees create, the weather conditions, the price of lambs, the establishment cost of the trees, the price of carbon, and transaction costs. The results of this research has shown that for the representative livestock farmer, growing trees for carbon is unlikely to be as profitable as alternative uses of their resources. (C) 2015 Elsevier Ltd. All rights reserved."	52		295-306		Australia	Victoria	-37	144	Sheep		Shelterbelt/Windbreak		Pasture without trees												Mixed results (positive and negative)
Sinden1972_282	Journal Article	1972	"Sinden, J. A.; Kingsma, O. T."	Land tenure in the Cypress Pine areas of north-western New South Wales	Australian Journal of Agricultural Economics	0817-8763			"The effect of New South Wales settlement policies and land-use legislation, especially the effect of the existing lease systems on land use (timber production, grazing, or combined use) were studied on farms in the Callitris region of the Inverell area. Management for timber, with or without pasture, never gave the best results, but there was a variety of conditions under which a farmer could manage freehold land for joint production of timber and livestock. Though the existing leases are convenient to the state forest administration, they are considered to be less satisfactory from the point of view of social economics. Policies which would ensure that large areas of leased lands are not left to stagnate unthinned and unused are discussed. [Cf. FA 33, 1857]."	16	1	274-96	farm forestry; farm woodlands; forest policy; grazing; land use; legislation; management; pastures	Australia	New South Wales	-29.77	151.11	Mixture of sheep and cattle		Silvopasture		Forest without grazing		Multiple	"Total productivity, livestock growth"	Positive								Positive
Rundle2002_389	Journal Article	2002	"Rundle, P. J.; Rundle, B. F."	A case study of farm-based solutions to water logging and secondary salinity in southwestern Australia	Agricultural Water Management	0378-3774	10.1016/s0378-3774(01)00154-8	<Go to ISI>://WOS:000173281400004	"The 'Ucarro' farm is located in the upper catchment (33degreesS117degreesE) of the Carrolup River, a tributary of the Blackwood River in southwestern Australia. When the present owners of the farm took over the property in 1975, the stream running through the farm was becoming saline and access to the lower portions of the farm was frequently hindered by water logging in the wet winter months. The paper describes the decision made by the present owners to develop a whole farm plan to ameliorate water logging and prevent the development of secondary salinity, The plan included the grading of interceptor drains with a fall of 1:300 along the contour 150-200 m apart down the slope and the locating of dams along the drains to hold water for the dry summer months. Belts of three or four species of trees were planted on the down-slope side of the drains after leveling the spoil from the drain and deep-ripping the soil. The benefits of this plan included reduced water logging, salinity and wind erosion, and increased yields, stocking rates and lambing percentages. While the costs of the drains, trees and fencing were about US$ 2760 (US$ 1 = AU$ 1.7, June 2000) per km, gross margins have increased by about US$ 2.70 ha(-1) per year as a result of increases in cereal yields from 2.2 to 3.2 t ha(-1). increased carrying capacity of the pastures from 8.5 to 11.0 dry sheep equivalents (DSE) ha(-1), increased lambing percentages from 77 to 86% and increased income from aquaculture (fresh-water crustaceans) produced in the farm dams. (C) 2002 Published by Elsevier Science B.V."	53	01-Mar	403-414		Australia		-33	117	Sheep		Shelterbelt/Windbreak		Baseline from implementation		Multiple	Pasture production AND livestock mortality	Positive							Positive	Positive
Rosenqvist2005_408	Journal Article	2005	"Rosenqvist, H.; Dawson, M."	Economics of willow growing in Northern Ireland	Biomass & Bioenergy	0961-9534	10.1016/j.biombioe.2004.03.001	<Go to ISI>://WOS:000225312000002	"This paper reviews the e economics of short rotation coppice willow as an energy crop in Northern Ireland. Gross margins are presented for willow production and compared with, in the particular circumstances of Northern Ireland, equivalent outputs from grain production, lowland sheep and suckler cow production. The model used indicated a gross margin of pound45 ha(-1) yr(-1) for a 12 tDM ha(-1) annual coppice crop without subsidies where the crop value was placed at pound40 t(-1). This was equivalent to a 7 t winter wheat crop at pound70 t(-1) and compared favourably with both lowland sheep and suckler cows. Currently the industry in Northern Ireland is at a very early stage of development and this imposes cost penalties on the pioneer growers. This situation is compared with the situation in Sweden where there is an established industry of 15,000 ha, where costs are significantly lower. Gross margin for the pioneer grower in Northern Ireland is about pound100 ha(-1) yr(-1) less than for Swedish willow growers. (C) 2004 Elsevier Ltd. All rights reserved."	28	1	637-645		UK	Northern Ireland	54.607577	-6.693145	Mixture of sheep and cattle		Biofuel		Pasture without trees												Mixed results (positive and no effect)
Ramilan2005_486	Journal Article	2005	"Ramilan, T.; Scrimgeour, F."	Modelling Waikato farm nitrogen discharges for policy	AERU Discussion Paper	1170-7607			"This study describes the development of bioeconomic models examining the economic and water quality impact of various proposed policy options in the Upper Waikato catchment, New Zealand. In the first phase, nitrogen emissions are determined for representative livestock farming systems using the Overseer nutrient budget model. The components of this model are then integrated into an economic model, which predicts producer responses to various policy options. The second phase determines catchment-wide costs and water quality impacts of riparian buffers by combining geographic information system, bioeconomic modelling and experimental data. The results of the study signals directions for policy initiatives and further analysis exploring policy design and all costs associated with production adjustment."		152	291-312	costs; economic impact; emission; environmental policy; livestock farming; nitrogen; pollution control; simulation models; vegetated strips; water pollution; water quality; watersheds	New Zealand	Waikato	-37.58	174.57	Mixture of sheep and cattle		Riparian strip		Pasture without trees												Positive
