ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	State	LatDD	LonDD	Livestock type	"If other, please specify"	Agroforestry type	"If other, please specify"	Comparator	"If other, please specify"	Productivity measure	"If other, please specify"	Effect on productivity	GHGEs/Carbon	"If multiple or other, please specify"	Effect on carbon/GHG measure	Water quantity	Water quality	Air quality	Soil erosion	Economics
Zaimes2008_16	Journal Article	2008	"Zaimes, George N.; Schultz, Richard C.; Isenhart, Thomas M."	Total phosphorus concentrations and compaction in riparian areas under different riparian land-uses of Iowa	Agriculture Ecosystems & Environment	0167-8809	10.1016/j.agee.2008.02.008	<Go to ISI>://WOS:000257528100003	"Reducing non-point source phosphorus (P) pollution is often necessary to improve water quality in agricultural streams. Soil total P (TP) concentrations and compaction are soil characteristics that can influence P losses to streams. The objective of this study was to compare these two soil characteristics among riparian forest buffers, grass filters, pastures with cattle fenced out of the stream, intensive rotational, rotational and continuously grazed pastures and row-cropped fields in three physiographic regions of Iowa. Soil TP and compaction for the seven riparian land-uses were determined in stream bank and surface riparian soils. Total P concentrations in stream bed material along the seven riparian land-uses were also measured. Total P concentrations in riparian stream bank soils among land-uses ranged from 303 to 398 mg kg(-1) in the central region, to 432-518 mg kg(-1) in the northeast, to 360-555 mg kg(-1) in the southeast. In the surface riparian soils TIP among land-uses ranged from 434 to 649 mg kg(-1) in the central region, to 493-764 mg kg(-1) in the northeast region, to 428-716 mg kg(-1) in the southeast region. Finally, the TP concentrations in the stream bed sediments among land-uses ranged 194-307 mg kg(-1) in the central region, to 169-461 mg kg(-1) in the northeast, to 389-964 mg kg(-1) in the southeast. Few soil TP significant differences among riparian land-uses within regions were found. Soil compaction under some of the grazing practices was significantly higher than under the conservation practices. Limited differences in soil TP concentrations and compaction were partially due to the young age of the conservation practices and the rotational and intensive rotational pastures. Past land-use on these sites had been either continuous grazing or row-cropping and those uses were still influencing these soil parameters. Within riparian land-uses, surface riparian soils generally had higher TP than the stream bank riparian soils. Stream bed samples had lower TP concentrations than the riparian soils in the northeast and central regions but were higher than the riparian soils in some of the land-uses in the southeast region. Overall TP concentrations in the stream bank, surface riparian soils and stream bed material were high indicating that these areas can potentially be important source areas of P and the focus should be on reducing the transport of P. (C) 2008 Elsevier B.V. All rights reserved."	127	01-Feb			USA	Iowa	42.0751	Ê-93.496	Cattle		Riparian strip		Pasture without trees									Mixed results (positive and no effect)			
Zaimes2008_17	Journal Article	2008	"Zaimes, George N.; Schultz, Richard C.; Isenhart, Thomas M."	Streambank soil and phosphorus losses under different riparian land-uses in Iowa	Journal of the American Water Resources Association	1093-474X	10.1111/j.1752-1688.2008.00210.x	<Go to ISI>://WOS:000258536300010	"Phosphorus and sediment are major nonpoint source pollutants that degrade water quality. Streambank erosion can contribute a significant percentage of the phosphorus and sediment load in streams. Riparian land-uses can heavily influence streambank erosion. The objective of this study was to compare streambank erosion along reaches of row-cropped fields, continuous, rotational and intensive rotational grazed pastures, pastures where cattle were fenced out of the stream, grass filters and riparian forest buffers, in three physiographic regions of Iowa. Streambank erosion was measured by surveying the extent of severely eroding banks within each riparian land-use reach and randomly establishing pin plots on subsets of those eroding banks. Based on these measurements, streambank erosion rate, erosion activity, maximum pin plot erosion rate, percentage of streambank length with severely eroding banks, and soil and phosphorus losses per unit length of stream reach were compared among the riparian land-uses. Riparian forest buffers had the lowest streambank erosion rate (15-46 mm/year) and contributed the least soil (5-18 tonne/km/year) and phosphorus (26 kg/km/year) to stream channels. Riparian forest buffers were followed by grass filters (erosion rates 41106 mm/year, soil losses 22-47 tonne/km/year, phosphorus losses 9-14 kg/km/year) and pastures where cattle were fenced out of the stream (erosion rates 22-58 mm/year, soil losses 6-61 tonne/km/year, phosphorus losses 3-34 kg/km/year). The streambank erosion rates for the continuous, rotational, and intensive rotational pastures were 101-171, 104-122, and 94-170 mm/year, respectively. The soil losses for the continuous, rotational, and intensive rotational pastures were 197-264, 94-266, and 124-153 tonne/km/year, respectively, while the phosphorus losses were 71-123, 37-122, and 66 kg/kmyear, respectively. The only significant differences for these pasture practices were found among the percentage of severely eroding bank lengths with intensive rotational grazed pastures having the least compared to the continuous and rotational grazed pastures. Row-cropped fields had the highest streambank erosion rates (239 mrii/year) and soil losses (304 tonne/km/year) and very high phosphorus losses (108 kg/kmyear)."	44	4			USA	Iowa	42.0751	Ê-93.496	Cattle		Riparian strip		Pasture without trees									Mixed results (positive and no effect)		Mixed results (positive and no effect)	
Zaimes2011_18	Journal Article	2011	"Zaimes, George N.; Schultz, Richard C."	"Stream bed substrate composition adjacent to different riparian land-uses in Iowa, USA"	Ecological Engineering	0925-8574	10.1016/j.ecoleng.2011.06.029	<Go to ISI>://WOS:000295303500011	"Extensive land-use changes in Iowa have increased erosional processes and the amount of fines deposited on stream beds. Large amounts of fines cover the other bed substrate that are essential habitat for invertebrates and fish. In Iowa and other agricultural Midwestern states, riparian conservation land-uses are being established to minimize sediment inputs to streams. This study compared stream bed substrate composition in reaches adjacent to: riparian forest buffers, grass filters, row-cropped fields, pastures with cattle fenced out of the stream and continuous, rotational and intensively grazed rotational pastures, in three regions of Iowa. The objective was to examine the impacts of the adjacent riparian land-uses on stream bed substrate composition. The percentages of fines in this study ranged from: 36 to 63% in the central region; 10 to 31% in the northeast region; and 22 to 85% in the southeast region. The high percentage of fines in most stream bed reaches indicates high embeddedness. The high embeddedness resulted in the few significant differences in substrate percentages among riparian land-uses. Decades of agricultural land-uses have heavily impacted stream beds and only significant reductions in surface and bank erosion at the watershed scale can begin to reverse this trend. There were indications that riparian forest buffers and to a lesser degree, pastures with cattle fenced out of the stream, could decrease fines resulting in a more diverse substrate composition. Overall, more targeted approaches for the establishment of conservation land-uses in combination with other restoration practices (e.g. in-stream enhancements) are required to successfully decrease fines on stream beds. (C) 2011 Elsevier B.V. All rights reserved."	37	11			USA	Iowa	42.0751	Ê-93.496	Cattle		Riparian strip		Pasture without trees									No effect			
Zaimes2011_19	Journal Article	2011	"Zaimes, George N.; Schultz, Richard C."	"Do Randomly Placed Riparian Conservation Land-Uses Improve Stream Water Quality in Iowa, USA?"	Polish Journal of Environmental Studies	1230-1485		<Go to ISI>://WOS:000293497200034	"To improve stream water quality in the United States, government programs subsidize fanners to establish riparian conservation land-uses in agricultural landscapes. This study compared sediment and phosphorus water concentrations from stream reaches adjacent to riparian forest buffers grass filters, row-cropped fields, pastures with cattle fenced out of the stream, and continuous, rotational and intensive rotational pastures in Iowa. In some cases agricultural land-uses had significantly higher sediment and phosphorus concentrations, while in others the conservation land-uses were higher. The few significant differences between conservation and agricultural land-uses suggest that the random placement of conservation land-uses is an inefficient way to improve water quality."	20	4			USA	Iowa	42.62	-92.08	Cattle		Riparian strip		Pasture without trees									Mixed results (positive and no effect)			
Zaimes2012_20	Journal Article	2012	"Zaimes, George N.; Schultz, Richard C."	Assessing Riparian Conservation Land Management Practice Impacts on Gully Erosion in Iowa	Environmental Management	0364-152X	10.1007/s00267-012-9830-9	<Go to ISI>://WOS:000303477700007	"Well-established perennial vegetation in riparian areas of agricultural lands can stabilize the end points of gullies and reduce their overall erosion. The objective of this study was to investigate the impacts of riparian land management on gully erosion. A field survey documented the number of gullies and cattle access points in riparian forest buffers, grass filters, annual row-cropped fields, pastures in which the cattle were fenced out of the stream, and continuously, rotationally and intensive rotationally grazed pastures in three regions of Iowa. Gully lengths, depths and severely eroding bank areas were measured. Gullies exhibited few significant differences among riparian management practices. The most significant differences were exhibited between conservation and agricultural management practices, an indication that conservation practices could reduce gully erosion. Changes in pasture management from continuous to rotational or intensive rotational grazing showed no reductions in gully erosion. It is important to recognize that more significant differences among riparian management practices were not exhibited because the conservation and alternative grazing practices had recently been established. As gully formation is more impacted by upland than riparian management, gully stabilization might require additional upland conservation practices. The existence of numerous cattle access points in pastures where cattle have full access to the stream also indicates that these could be substantial sources of sediment for streams. Finally, the gully banks were less important sediment contributors to streams than the streambanks. The severely eroding bank areas in streams were six times greater than those in the gullies in the monitored reaches."	49	5			USA	Iowa	42.0751	Ê-93.496	Cattle		Riparian strip		Pasture without trees											Mixed results (positive and no effect)	
Zaimes2015_21	Journal Article	2015	"Zaimes, George N.; Schultz, Richard C."	"Riparian land-use impacts on bank erosion and deposition of an incised stream in north-central Iowa, USA"	Catena	0341-8162	10.1016/j.catena.2014.09.013	<Go to ISI>://WOS:000346398600006	"Stream bank erosion and deposition are complex phenomena because of the many factors that influence them. These factors can be spatial such as bank aspect, height and slope or temporal such as seasonal and yearly precipitation and streamflow events. Riparian land-use also has a major influence, This study investigated for two years, spatial and temporal patterns and dominant geomorphologic processes of stream bank erosion and deposition along a 10 km reach of Bear Creek in north-central Iowa, USA. The channel sub-reaches used were adjacent to a riparian forest buffer, a perennial grass filter and a continuously grazed pasture. Two plots were placed in each sub-reach; one on a north-facing outside bank (north-bank) and the other on a south-facing outside bank (south-bank). Each plot had two photo-electronic erosion pins (PEEPS) placed at 1/3 of the bank height (bottom-bank) and the other at 2/3 of the bank height (top-bank). PEEP daily measurements were compared to daily precipitation and streamflow. The continuously grazed pasture banks had the highest erosion rates. The grass area banks had approximately equal rates of erosion and deposition. The riparian forest buffer banks had high erosion rates during the second year. In the continuously grazed pasture, fluvial entrainment was the dominant erosion process, although minor mass failures also caused erosion. In the riparian forest buffer most erosion was recorded after moderate streamflows removed the bank soil loosened by freeze-thaw cycling. This occurred in late winter/early spring, when trees provide primarily mechanical but not hydraulic reinforcement to stream banks and on the lower part of the banks that have less extensive root networks. Overall, stream bank erosion and deposition in each sub-reach occurred during different time periods and under different processes and conditions. This indicates the need for continuous erosion and deposition measurements along with continuous soil moisture, soil temperature and streamflow measurements to fully comprehend these erosion phenomena. (C) 2014 Elsevier B.V. All rights reserved."	125				USA	Iowa	41.92	-93.87	Unclear		Riparian strip		Pasture without trees											Mixed results (positive and negative)	
Zaimes2004_22	Journal Article	2004	"Zaimes, G. N.; Schultz, R. C.; Isenhart, T. M."	"Stream bank erosion adjacent to riparian forest buffers, row-crop fields, and continuously-grazed pastures along Bear Creek in central Iowa"	Journal of Soil and Water Conservation	0022-4561		<Go to ISI>://WOS:000188596100008	"Row-crop agriculture, continuous-grazing, and stream channelization, have accelerated stream bank erosion and increased sediment load. Stream bank erosion rates and total soil loss were compared among riparian forest buffers, row-crop fields and continuously grazed pastures along a continuous 11 km (6.8 mi) stream reach in central Iowa. Exposed erosion pins were measured to estimate stream bank erosion rates, approximately every month from June 1998 to June 1999, except during the winter months. Total stream bank soil losses for each treatment were estimated from the mean bank erosion rate, mean bulk density, and the total stream bank eroding area. Row-crop fields had the greatest stream bank erosion rate and total soil losses followed by continuously grazed pastures while riparian forest buffers had the lowest. If riparian forest buffers had been established along all of the non-buffered segments of the 11 km (6.8 mi) stream reach, total stream bank soil loss would have been reduced by approximately 72%."	59	1			USA	Iowa	41.74	-92.49	Cattle		Riparian strip		Pasture without trees											Positive	
Zaimes2006_23	Journal Article	2006	"Zaimes, G. N.; Schultz, R. C.; Isenhart, T. M."	Riparian land uses and precipitation influences on stream bank erosion in central Iowa	Journal of the American Water Resources Association	1093-474X	10.1111/j.1752-1688.2006.tb03825.x	<Go to ISI>://WOS:000236554000010	"Human alterations to the Iowa landscape, such as elimination of native vegetation for row crop agriculture and grazing, channelization of streams, and tile and ditch drainage, have led to deeply incised channels with accelerated streambank erosion. The magnitude of streambank erosion and soil loss were compared along Bear Creek in central Iowa. The subreaches are bordered by differing land uses, including reestablished riparian forest buffers, row crop fields, and continuously grazed riparian pastures. Erosion pins were measured from June 1998 to July 2002 to estimate the magnitude of streambank erosion. Total streambank soil loss was estimated by using magnitude of bank erosion, soil bulk density, and severely eroded bank area. Significant seasonal and yearly differences in magnitude of bank erosion and total soil loss were partially attributed to differences in precipitation and associated discharges. Riparian forest buffers had significantly lower magnitude of streambank erosion and total soil loss than the other two riparian land uses. Establishment of riparian forest buffers along all of the nonbuffered subreaches would have reduced streambank soil loss by an estimated 77 to 97 percent, significantly decreasing sediment in the stream, a major water quality problem in Iowa."	42	1			USA	Iowa	42.0751	Ê-93.496	Cattle		Riparian strip		Pasture without trees											Positive	
Yunusa1995_27	Journal Article	1995	"Yunusa, I. A. M.; Mead, D. J.; Lucas, R. J.; Pollock, K. M."	Process studies in a Pinus radiata-pasture agroforestry system in a subhumid temperature environment. II. Analysis of dry matter yields in the third year	Agroforestry Systems	0167-4366	http://dx.doi.org/10.1007/BF00711572		"Dry matter yield (DM), and water use and light interception, were determined in an agroforestry trial near Lincoln, New Zealand, consisting of Pinus radiata grown over (1) control (bare ground), (2) ryegrass/clovers (Lolium perenne/Trifolium spp.), (3) ryegrass only, and (4) lucerne (Medicago sativa), during the third growing season between 1992 and 1993. In addition these pastures were grown alone in separate plots in the open. Pasture yields during the one-year period in the agroforestry plots were little affected by the presence of trees although there were seasonal trends: yields were generally unaffected or increased in summer, but reduced in spring as a result of tree shade. Total pasture yield during the one-year period was in the following order: lucerne > ryegrass/clover > ryegrass. This trend was the exact opposite of that shown by the above-ground tree weight which was reduced in the pasture ground covers by 16-52%. The reduction in tree weights was associated with reduced soil moisture availability arising from competition with the pasture species. Thus the relationship between the yields of trees and pasture species in the agroforestry plot was reciprocal. The combined DM for both the trees and pastures in the agroforestry plots during the one-year period was in the following order: lucerne (20 t/ha) > ryegrass/clover (16 t) > ryegrass (11 t) > control (6 t). These results are consistent with the total water used and photosynthetically active radiation (PAR) intercepted. The trees accounted for 55, 44, 34 and 24% of water used respectively in control, ryegrass, ryegrass/clover and lucerne ground covers. The balance was largely accounted for by pasture transpiration, except in the control where soil evaporation was significant. The fraction of intercepted PAR accounted for by the trees followed a similar trend to that of the water used. The crop coefficient for water use efficiency (k) (Pa) was 2.3 for radiata pine, 3.6 for ryegrass/clover, 2.8 for ryegrass and 4.8 for lucerne. The DM produced per unit of water used (kg mm-1 ha-1) during the one-year period was 24.5 for radiata pine, 41.1 for lucerne, 30.0 for ryegrass/clovers and 23.1 for ryegrass. Radiation use efficiency (g DM MJ-1 m-2) was 1.33 for pine, 1.83 for ryegrass/clover, 1.49 for ryegrass and 2.34 for lucerne. The land equivalent ratio (LER, the sum of ratios of DM produced by the plant species in the agroforestry plots to those produced in the sole plots) was 1.95 for ryegrass, 1.71 for ryegrass/clover and 1.46 for lucerne. These results indicate the susceptibility of the pasture species to shading and interception of rainfall by the tree crowns (aboveground interactions), and of the trees to competition for soil moisture (underground interaction)."	32	2		agroforestry; agroforestry systems; biomass production; dry matter; farming systems; ground cover; interception; light; light penetration; lucerne; pastures; pines; plant competition; plant water relations; silvopastoral systems; soil water; transpiration; trees; use efficiency; water potential; water use; water use efficiency; woody plants; yields	New Zealand	South Island	-43.65	172.49	Pasture without livestock		Silvopasture		Pasture without trees		Understory/pasture production		No effect								
Yeates2000_32	Journal Article	2000	"Yeates, G. W.; Hawke, M. F.; Rijkse, W. C."	Changes in soil fauna and soil conditions under Pinus radiata agroforestry regimes during a 25-year tree rotation	Biology and Fertility of Soils	0178-2762	10.1007/s003749900186	<Go to ISI>://WOS:000088324100006	"Pinus radiata was planted in a grazed pasture at Tikitere, New Zealand in 1973; final tree stocking rates were 0, 50, 100, 200 and 400 stems ha(-1); trees were harvested in 1999. We sampled the loamy sand for chemistry, earthworms, enchytraeids and nematodes during crop growth. There were no visible changes in the soil profile between years 2 and 25 of the P. radiata rotation, but marked changes in soil chemistry with pH declining at all depths. Topsoil pH declined but plant-available P and the soil C:N ratio increased. That similar trends occurred in pasture may have reflected reduced inputs. Lumbricid earthworms declined with increasing time and tree stocking rate; significant populations were found only in pasture at 25 years; no related changes in soil bulk density were detected. Enchytraeids were abundant but declined in the plots with 200 and 400 stems ha(-1). The composition of the nematode fauna at a soil depth of 0-10 cm varied, and there were changes in the ""control"" pasture. Pratylenchus sp. and Pungentus sp. were characteristic of pasture; Diphtherophora sp. appeared at higher tree stocking rates. In addition to changes related to the change in landuse there were temporal changes that affected faunal composition across tree stocking rates: Heterodera sp. and Paratylenchus sp. were rare after year 6; Prismatolaimus sp. was most abundant in years 2, 13 and 25; Axonchium sp. occurred in year 6 and Alaimus sp. mainly in year 25. Overall, the changes in soil chemistry reflected the change from pasture to forest. Parallel changes in soil microfauna and macrofauna also reflected the change in landuse, from fertilised pasture to coniferous forest, and are considered reversible."	31	5			New Zealand	North Island	-36.85	174.76	Mixture of sheep and cattle	Beef cattle	Silvopasture		Baseline from implementation					Soil organic carbon		No effect					
