ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	State	LatDD	LonDD	Livestock type	"If other, please specify"	Agroforestry type	"If other, please specify"	Comparator	"If other, please specify"	Productivity measure	"If other, please specify"	Effect on productivity	GHGEs/Carbon	"If multiple or other, please specify"	Effect on carbon/GHG measure	Water quantity	Water quality	Air quality	Soil erosion	Economics
Yunusa1995_27	Journal Article	1995	"Yunusa, I. A. M.; Mead, D. J.; Lucas, R. J.; Pollock, K. M."	Process studies in a Pinus radiata-pasture agroforestry system in a subhumid temperature environment. II. Analysis of dry matter yields in the third year	Agroforestry Systems	0167-4366	http://dx.doi.org/10.1007/BF00711572		"Dry matter yield (DM), and water use and light interception, were determined in an agroforestry trial near Lincoln, New Zealand, consisting of Pinus radiata grown over (1) control (bare ground), (2) ryegrass/clovers (Lolium perenne/Trifolium spp.), (3) ryegrass only, and (4) lucerne (Medicago sativa), during the third growing season between 1992 and 1993. In addition these pastures were grown alone in separate plots in the open. Pasture yields during the one-year period in the agroforestry plots were little affected by the presence of trees although there were seasonal trends: yields were generally unaffected or increased in summer, but reduced in spring as a result of tree shade. Total pasture yield during the one-year period was in the following order: lucerne > ryegrass/clover > ryegrass. This trend was the exact opposite of that shown by the above-ground tree weight which was reduced in the pasture ground covers by 16-52%. The reduction in tree weights was associated with reduced soil moisture availability arising from competition with the pasture species. Thus the relationship between the yields of trees and pasture species in the agroforestry plot was reciprocal. The combined DM for both the trees and pastures in the agroforestry plots during the one-year period was in the following order: lucerne (20 t/ha) > ryegrass/clover (16 t) > ryegrass (11 t) > control (6 t). These results are consistent with the total water used and photosynthetically active radiation (PAR) intercepted. The trees accounted for 55, 44, 34 and 24% of water used respectively in control, ryegrass, ryegrass/clover and lucerne ground covers. The balance was largely accounted for by pasture transpiration, except in the control where soil evaporation was significant. The fraction of intercepted PAR accounted for by the trees followed a similar trend to that of the water used. The crop coefficient for water use efficiency (k) (Pa) was 2.3 for radiata pine, 3.6 for ryegrass/clover, 2.8 for ryegrass and 4.8 for lucerne. The DM produced per unit of water used (kg mm-1 ha-1) during the one-year period was 24.5 for radiata pine, 41.1 for lucerne, 30.0 for ryegrass/clovers and 23.1 for ryegrass. Radiation use efficiency (g DM MJ-1 m-2) was 1.33 for pine, 1.83 for ryegrass/clover, 1.49 for ryegrass and 2.34 for lucerne. The land equivalent ratio (LER, the sum of ratios of DM produced by the plant species in the agroforestry plots to those produced in the sole plots) was 1.95 for ryegrass, 1.71 for ryegrass/clover and 1.46 for lucerne. These results indicate the susceptibility of the pasture species to shading and interception of rainfall by the tree crowns (aboveground interactions), and of the trees to competition for soil moisture (underground interaction)."	32	2		agroforestry; agroforestry systems; biomass production; dry matter; farming systems; ground cover; interception; light; light penetration; lucerne; pastures; pines; plant competition; plant water relations; silvopastoral systems; soil water; transpiration; trees; use efficiency; water potential; water use; water use efficiency; woody plants; yields	New Zealand	South Island	-43.65	172.49	Pasture without livestock		Silvopasture		Pasture without trees		Understory/pasture production		No effect								
Woods1982_40	Journal Article	1982	"Woods, R. F.; Betters, D. R.; Mogren, E. W."	Understory herbage production as a function of Rocky Mountain aspen stand density	Journal of Range Management	0022-409X	http://dx.doi.org/10.2307/3898323		"20 sites in NW Colorado similar in other respects but with varying Populus tremuloides overstorey cover in the range 1.8-18.9 m2/ha produced 0.56-2.27 t herbage DM/ha. Av. production was 1661 kg DM/ha on sites with <10.8 m2 cover/ha and 1.10 t DM/ha on the remainder. Variations in production were markedly higher with low than with high levels of cover and in general herbage production was negatively correlated with canopy cover (r2 = 0.61). ADDITIONAL ABSTRACT: Herbage samples were collected in Aug. from 20 sites in NW Colorado with pure aspen (Populus tremuloides) overstories (b.a. 1.8-18.9 msuperscript 2/ha). Production ranged from 558 to 2273 kg/ha, and declined as overstorey b.a. increased. Regression analysis indicated that a negative exponential model was the most appropriate (coefficient of determination 0.61)."	35	3		broadleaves; ecology; grasslands; Grazing; management; plant communities; poplars; trees; woody plants	USA	Colorado	38.9972	Ê-105.5478	Pasture without livestock		Forest grazing		Other	Observational study of naturally different tree densities	Understory/pasture production		Decrease with increased tree density/cover/proximity								
Wilson1988_69	Journal Article	1988	"Wilson, A. D.; Tongway, D. J.; Tupper, G. J."	Factors contributing to differences in forage yield in the semi-arid woodlands	Australian Rangeland Journal	0313-4555			"A series of experimental sites, which were all on the same land unit but which differed in present condition, were established in the semiarid woodlands near Cobar, New South Wales. The forage yield on these plots was measured quarterly over a 2-year period. Associated measurements were made of species composition, forage quality, shrub and tree cover, area of eroded surface and soil fertility (available P, organic C, organic N and available N). Mean forage yield varied from 34 to 237 kg/ha. A major proportion of this variation was explained by total shrub and tree cover, organic N and organic C in the surface soil. Differences in N content were considered to have arisen by differential erosion, but this was more accurately characterized by laboratory measures than by field observations of the extent of soil erosion. Some differences were recorded in the composition of the herbaceous layer between plots, including a dominance of perennial grasses such as Danthonia caespitosa and Enteropogon acicularis on plots that had been excluded from grazing. However, nearly all species were edible so that composition differences were not a major contributor to variation in digestible forage yield. Perennial forbs (e.g. Sclerolaena diacantha) had the highest digestibility and biennial grasses (e.g. Stipa variabilis) the lowest. Total shrub and tree cover and the extent and severity of erosion are recommended as the most useful variables for monitoring changes in pastoral productivity of the semiarid woodlands."	10	1		agroforestry; estimation; forage; forests; Grasslands; semiarid zones; Silvopastoral systems; techniques; woodland grasslands; yields	Australia	New South Wales	-31.48	145.23	Unclear		Wood pasture		Pasture without trees		Understory/pasture production		Decrease with increased tree density/cover/proximity								
Walpole1999_114	Journal Article	1999	"Walpole, S. C."	Assessment of the economic and ecological impacts of remnant vegetation on pasture productivity	Pacific Conservation Biology	1038-2097		<Go to ISI>://BCI:BCI200000242481	"The decline of remnant native vegetation in Australia is a national concern, with mounting community pressure on private landholders to actively manage and conserve the remaining vegetation on their properties. One of the major concerns of landholders in retaining and managing remnant vegetation in the agricultural landscape is the lack of information and understanding about the costs and benefits potentially associated with remnant vegetation, and how these values are linked to ecological functions. This paper focuses on the impacts of remnant vegetation on pasture productivity. Knowledge of the economic impacts of remnant vegetation on pasture productivity and associated agricultural output is currently limited, while the ecological relationships are better known but may vary with species and environment. Based on a study area near Gunnedah in northern New South Wales where farm survey data and GIS information were available, a model that incorporates agricultural and biophysical attributes to explain pasture productivity was developed. The results indicate that the value of pasture output per farm may be increased by having a certain proportion of pasture area under dry sclerophyll or woodland vegetation. Gross value of pasture output was at its highest level when the proportion of tree area across the farm was at 34%, with no further increases in output being achieved beyond this point. These results suggest that the competitive influences of trees present in the pasture system may begin to outweigh the stimulatory effects when this proportion of tree area is exceeded."	5	1			Australia	New South Wales	-31	150.08	Sheep		Silvopasture		Other	Different densities of trees	Understory/pasture production		Decrease with increased tree density/cover/proximity								
Wall2010_115	Journal Article	2010	"Wall, Andrew J.; Kemp, Peter D.; Mackay, Alec D.; Power, Ian L."	Evaluation of easily measured stand inventory parameters as predictors of PAR transmittance for use in poplar silvopastoral management	Agriculture Ecosystems & Environment	0167-8809	10.1016/j.agee.2010.10.012	<Go to ISI>://WOS:000287277100026	"This study compares the ability of several poplar (Populus spp.) stand parameters to predict photosynthetically active radiation (PAR) transmission through the overstorey canopy in a silvopastoral system. As an indirect measure of PAR transmission, diffuse non-intercepted radiation (DIFN) levels underneath fully foliated poplar stands were measured in two climatically contrasting regions of the North Island of New Zealand. The ability of several easily measured stand inventory parameters to predict understorey DIFN was then evaluated using regression analysis. Pasture net herbage accumulation (NHA) was also measured below the fully foliated trees and related to understorey DIFN. A directly inverse relationship between DIFN in the gap between tree crowns and stand canopy closure measured with a standard digital camera was found to be the simplest, most accurate and robust of the stand parameters examined. In comparison, there were site differences in the relationship for this understorey environment for all of the stand parameters based on individual tree metrics. Site differences in the relationship for DIFN directly underneath the tree-crowns were also apparent for both the stand parameters based on individual tree metrics and digital photographs. Inter-site variation in these relationships was attributed to unaccounted differences in stand leaf area. There was a strong straight-line relationship between DIFN and understorey pasture NHA. (C) 2010 Elsevier B.V. All rights reserved."	139	4			New Zealand	North Island	-40.41	175.86	Pasture without livestock		Silvopasture		Other	Gradient in stand densities selected to fit model	Understory/pasture production		Decrease with increased tree density/cover/proximity								
Wall2006_117	Journal Article	2006	"Wall, A. J.; Kemp, P. D.; MacKay, A. D."	Predicting pasture production under poplars using canopy closure images	Proceedings of the New Zealand Grassland Association	0369-3902			"Poplar trees serve a wide variety of purposes on New Zealand farms. Their high growth rate and ability to establish from poles make them a very suitable tree species for soil conservation plantings on erosion-prone hill pastures. The impact that such plantings have on understorey pasture production as the tree canopy develops in size was determined by measuring pasture dry matter (DM) production on three North Island sheep and beef hill farms. Poplars markedly reduced annual pasture production by up to 50% at high canopy closure. To maintain pasture production at 65-75% of uneroded open pasture, poplar canopy closure should not exceed 50%. However, it must be emphasised that the loss in production through soil erosion (e.g. slips or earthflows) without poplars can be even greater, more permanent, and much more unpredictable."	68			agroforestry systems; agropastoral systems; canopy; dry matter; erosion; erosion control; grazing; poplars; soil conservation; trees; understorey; woody plants	New Zealand	North Island	-40.1	175.73	Pasture without livestock		Silvopasture		Other	Gradient in stand densities selected to fit model	Understory/pasture production		Decrease with increased tree density/cover/proximity								
Veissier2018_139	Journal Article	2018	"Veissier, I.; Laer, E. van; Palme, R.; Moons, C. P. H.; Ampe, B.; Sonck, B.; Andanson, S.; Tuyttens, F. A. M."	Heat stress in cows at pasture and benefit of shade in a temperate climate region	International Journal of Biometeorology	0020-7128	http://dx.doi.org/10.1007/s00484-017-1468-0	https://link.springer.com/article/10.1007/s00484-017-1468-0	"Under temperate climates, cattle are often at pasture in summer and are not necessarily provided with shade. We aimed at evaluating in a temperate region (Belgium) to what extent cattle may suffer from heat stress (measured through body temperature, respiration rate and panting score, cortisol or its metabolites in milk, and feces on hot days) and at assessing the potential benefits of shade. During the summer of 2012, 20 cows were kept on pasture without access to shade. During the summer of 2011, ten cows had access to shade (young trees with shade cloth hung between them), whereas ten cows had no access. Climatic conditions were quantified by the Heat Load Index (HLI). In animals without access to shade respiration rates, panting scores, rectal temperatures, and milk cortisol concentrations increased as HLI increased in both 2011 and 2012. Fecal cortisol metabolites varied with HLI in 2011 only. When cattle had access to shade, their use of shade increased as the HLI increased. This effect was more pronounced during the last part of the summer, possibly due to better acquaintance with the shade construction. In this case, shade use increased to 65% at the highest HLI (79). Shade tempered the effects on respiration, rectal temperature, and fecal cortisol metabolites. Milk cortisol was not influenced by HLI for cows using shade for >10% of the day. Therefore, even in temperate areas, cattle may suffer from heat when they are at pasture in summer and providing shade can reduce such stress."	62	4		blood chemistry; body temperature; cows; dairy cattle; dairy cows; faeces composition; heat stress; hydrocortisone; metabolites; milk; milk composition; respiration rate; shade; shade plants; shade trees; stress; stress response; summer; temperate climate; temperate zones; trees; woody plants	Belgium		50.86	3.47	Cattle		Shelterbelt/Windbreak	Block of trees with shade cloth	Pasture without trees		Livestock heat stress		Positive								
Varella2011_147	Journal Article	2011	"Varella, A. C.; Moot, D. J.; Pollock, K. M.; Peri, P. L.; Lucas, R. J."	Do light and alfalfa responses to cloth and slatted shade represent those measured under an agroforestry system?	Agroforestry Systems	0167-4366	10.1007/s10457-010-9319-6	<Go to ISI>://WOS:000287508800006	"Shade cloth is commonly used in agroforestry research. It produces a continuous, uniform reduced light environment. Shade cloth and a slatted structure were compared in relation to the inability to represent the light regime and plant responses of an agroforestry system. The split-split-plot randomised block experiment had main plots as covering status (with or without radiata pine trees), subplots as artificial shade (none, shade cloth or wooden slats) and sub-subplots as growth rotation, over sown alfalfa, in three replicates. The quantity of light transmittance was 49% under trees, 41% under cloth and 44% under slats. Temporal changes and spectral composition under trees were more accurately reproduced under the slats than shade cloth. The red to far red ratio was 0.64 under tree shade and 0.74 during the shaded period under slats. This compared with 1.31 in open pasture, 1.28 under shade cloth in open and 1.26 under slats during sunny periods. To compensate for low light quantity and quality, alfalfa had elongated stems and internodes. In open pasture and under cloth in the open, it produced short stems. The mean dry matter yield under trees was 68% of the 30.3 t ha(-1) in open pasture, 56% under cloth and 57% under slats. The slats induced similar morphological responses in alfalfa to those in the agroforestry system. The magnitude of changes had little effect on growth and yield responses. The artificial slatted structure approximated the intermittent light environment and consequent plant responses observed in an agroforestry system."	81	2			New Zealand	Canterbury	-43.39	172.28	Pasture without livestock		Silvopasture		Pasture without trees		Understory/pasture production		Negative								
Varela2017_148	Journal Article	2017	"Varela, S.; Caballe, G.; Diez, J.; Godoy, M.; Willems, P."	"Evaluation of plantation and early development of five alternatives to ponderosa pine in silvopastoral systems in northwest Patagonia, Argentina"	Agroforestry Systems	0167-4366	10.1007/s10457-016-9972-5	<Go to ISI>://WOS:000407898300016	"Previous studies of afforestation in Patagonia indicate that 30-50 % tree cover produces positive effects on the pasture. This coverage level is achieved by applying pruning and strong thinning to reduce the volume of timber production per area unit. From an economic standpoint, in order to not reduce the income level of the system, it is necessary to find tree species that could replace ponderosa pine (Pinus ponderosa) and maximize income per volume unit of wood. We evaluated the feasibility of implementation of five broadleaved tree species (native and exotic) with higher intrinsic wood quality than ponderosa pine. We tested the influence of tree cover generated by a framework of silvopastoral plantation on the increase in survival, regrowth and absolute increase in height, and compared ecophysiological variables (net photosynthetic activity, stomatal conductance, intrinsic water use efficiency) of different species to the status of a traditional plantation without tree cover. Additionally values of air temperature and relative humidity were registered under both cover conditions. Preliminary results support the conclusion that three of these five species could be considered as alternatives to ponderosa pine species for establishing silvopastoral systems with higher timber value. Our Based on the results, the use of tree cover generated under the current plantations of P. ponderosa could increase the success of the establishment of these species."	91	5			Argentina		-39.38	-71.1	Pasture without livestock		Silvopasture		Pasture without trees		Understory/pasture production		Mixed results (positive and no effect)								
Van Laer2015_154	Journal Article	2015	"Van Laer, E.; Tuyttens, F. A. M.; Ampe, B.; Sonck, B.; Moons, C. P. H.; Vandaele, L."	Effect of summer conditions and shade on the production and metabolism of Holstein dairy cows on pasture in temperate climate	Animal	1751-7311	10.1017/s1751731115000816	<Go to ISI>://WOS:000360392700013	"For dairy cattle on pasture in temperate regions, it is largely unknown to what degree hot summer conditions impact energy metabolism, milk yield and milk composition and how effective shade is in reducing these negative effects. During the summer of 2012, a herd of Holstein cows was kept on pasture without access to shade (treatment NS). During the summers of 2011 and 2013, the herd was divided into a group with (treatment S) and a group without (treatment NS) access to shade. Shade was provided by young trees combined with shade cloths (80% reduction in solar radiation). A weather station registered the local climatic conditions on open pasture, from which we calculated daily average Heat Load Index (HLI) values. The effects of HLI and shade on rectal temperature (RT), blood plasma indicators of hyperventilation and metabolic changes due to heat stress, milk yield and milk composition were investigated. RT increased with increasing HLI, but was less for S cows than for NS cows (by 0.02 degrees C and 0.03 degrees C increase per unit increase of HLI, respectively). Hyperchloraemia (an increased blood plasma concentration of Cl-), a sign of hyperventilation, increased for NS cows but not for S cows. The plasma concentration of alkaline phosphatase, a regulator of energy metabolism in the liver, decreased with increasing HLI for NS cows only. Access to shade, thus, reduced the effect of HLI on RT, hyperchloraemia and the regulation of metabolism by the liver. As HLI increased, the plasma concentration of cholesterol decreased (indicating increased lipolysis) and the plasma concentration of creatinine increased (indicating increased protein catabolism). These effects did not differ between S and NS cows. For NS cows, after a lag-time of 2 days, the milk yield decreased with increasing HLI. For S cows, the milk yield was unaffected by HLI and its quadratic factor. The milk concentrations of lactose, protein and fat decreased as HLI increased, but only the effect on milk protein content was remediated by shade. In conclusion, access to shade tempered the negative effects of high HLI on RT, hyperchloraemia and a blood plasma indicator of changing energy metabolism (generally) as well as prevented the decrease in milk yield observed in cows without access to shade."	9	9			Belgium		50.59	3.46	Cattle		Shelterbelt/Windbreak	Block of trees with shade cloth	Pasture without trees		Milk yield		Positive								
