Study ID	Citation	Year published	Year conducted (final year)	Scope	Location name	Country	"LatDD,LonDD"	Woodfuel assessed	Comparator	Comparator (specify)	Forest type  	Specific ecosystem type (author defined)	Natural/planted	"If natural forest, existing forest condition"	Forest size (include units)	Primary source of woodfuel used for domestic consumption	Primary source of woodfuel used for commercial purposes	Activity assessed	List if multiple  activities	Presence of woodfuel policy change	"Presence of alternative technologies i.e.  kilns and
cookstoves"	Short description of policy change and/or alt. technologies OR relevant policy changes known to you that are not mentioned in the paper (please add ** if it is your info and not from the paper)	Target of policy and/or alternative technologies 	"If multiple targets, specify using the same terminology under column W"	"Time elapsed since policy change, introduction of alternative technologies, or initiation of wood energy activity (years)"	Enforcement of rules governing woodfuel activities 	"Presence of other regulations on trade, energy, or environment"	Short description of other regulations on trade/ energy/ environment	"Tenure Regime type"	Tenure - Mixed (specify)	"Tenure - Formal protected area? (i.e. national park, biosphere reserve, etc.)"	Population density (pp/km2 or pp/ha)	"Recent population change in study area, including migration"	Poverty /food insecurity of majority (>50%)	Main source of income for majority (>50%) of population	"Distance to nearest market /urban center (if within urban area, select <10km)"	"Demand for woodfuel 
(local and external)"	Purpose of woodfuel use	"Other contributing factors affecting reported outcomes (i.e. agricultural expansion, livestock grazing, gender-based differences etc.)"	Study outcomes	Source of socioeconomic data	Source of socioeconomic data (specify methods)	Income	Employment	Assets	Equity	Costs	Profit	Other indicators used	Source of health data	Source of health data (specify methods)	Indoor pollution	Ilness	Other  health indicators used	Source of environmental data	Source of environmental data (specify methods)	"Forest cover (natural or planted), including above-ground biomass"	"Forest condition, including forest structure"	Biodiversity	C stocks	GHG emissions	Soil quality	Water quality
16	"Abbot J. Out of the woodland, into the fire - fuelwood and livelihoods within and beyond Lake Malawi National Park in Katherine Homewood (eds). Rural resources &​local livelihoods in Africa Oxford, James Currey Ltd: 2005; 15-35 "	2005	1994	Village/city	"Chembe and Msaka villages, Lake Malawi National Park"	Malawi	"-14.0166458,34.2896972"	firewood	None (single case study)		Woodlands	miombo 	Natural	mostly degraded	NR	Deadwood 	NR	multiple (specify)	"harvesting, consumption"	present	absent	"cutting of livewood was made illegal and permits introducd to cllecting dead fuelwood from the park. Scout patrolling targeting female domestic fuelwood harvestor, but not male harvestor for fish smoking"	harvesting	NR	10-15 years	present	environmental	national park established and with it law enforcement activities relating to fuelwood	State	NR	Yes	NR	Increase/inward	NR	forest	NR	high local	mostly domestic use	women collect fuelwood of smaller sizes and multiple species for sale and domestic use; women are far more negatively impacted by restrictions than men as park patrols almost always target women's colleciton efforts - 	multiple	respondent perceptions/recall	household interviews and participant observation	Increase/More than comparator	NR	NR	Decrease/Less than comparator	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	"aerial photographs, household interviews and surveys"							
16	"Abbot J. Out of the woodland, into the fire - fuelwood and livelihoods within and beyond Lake Malawi National Park in Katherine Homewood (eds). Rural resources &​local livelihoods in Africa Oxford, James Currey Ltd: 2005; 15-36"	2005	1994	Village/city	"Chembe and Msaka villages, Lake Malawi National Park"	Malawi	"-14.064387,34.8328776"	firewood	None (single case study)		Woodlands	miombo 	Natural	mostly degraded	NR	NR	Living trees 	multiple (specify)	"harvesting, consumption"	present	absent	"cutting of livewood was made illegal and permits introducd to cllecting dead fuelwood from the park. Scout patrolling targeting female domestic fuelwood harvestor, but not male harvestor for fish smoking"	harvesting	NR	10-15 years	absent	environmental	national park established and with it law enforcement activities relating to fuelwood	State	NR	Yes	NR	Increase/inward	NR	mixed	NR	high local	mostly commercial/processing use	 men use wood of large size classes and few speciesfor smoking fish for sale; author attributes main cause of deforestation and forest degradation to use of wood for commercial fish smoking	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	"aerial photographs, household interviews and surveys"	NR	Decrease/Less than comparator	NR	NR	NR	NR	NR
33	"Agyeman KO, Amponsah O, Braimah I, Lurumuah S. Commercial charcoal production and sustainable community development of the Upper West Region, Ghana. Journal of Sustainable Development 2012; 5: 149-162"	2012	2010	Province/region	Upper West Region	Ghana	"10.3367715,-2.4355813"	charcoal	None (single case study)	NR	Savanna	"location of the  districts in the Guinea Savannah agro-climatic zone characterised by isolated woodlands, short thick trees, shrubs and grasses"	Natural	NR	NR	NR	Mix of deadwood and living trees	multiple or other (specify)	"harvesting, processing, transportation, trade and marketing"	NR	present	"65% of the charcoal producers were aware of the Energy Commission's improved kilns, but maintained that they wwere expensive"	processing	NR	NR	present	NR	NR	NR	NR	No	NR	Decrease/outward	below poverty line / food insecure	forest	NR	low local - high external	NR	NR	multiple	respondent perceptions/recall	Interviews with semi-structured questionnaires on charcoal producers	Increase/More than comparator	NR	NR	NR	NR	NR	NR						multiple (specify)	"direct interviews using semi-structured questionnaires (primary data) , desk study (secondary data)"	NR	Increase/More than comparator	Decrease/Less than comparator		NR	NR	NR
35	"Ainembabazi JH, Shively G, Angelsen A. Charcoal production and household welfare in Uganda: a quantile regression approach. Environment and Development Economics, 2013; 18: 537-558"	2013	2008	County/District/Dpt	"District of Masindi, Nakasongola and Hoima"	Uganda	"1.6859648,31.7109632"	charcoal	Counterfactual	charcoal producing households vs non-charcoal producing household	Forests	a large proportion of each district is covered by state-owned natural forests and forest reserves	Natural	NR	NR	NR	NR	trade/marketing		NR	NR	NR	NR	NR	NR	NR	NR	NR	Mixed (specify)	State land forest and forest reserves	NR	NR	NR	NR	agriculture / livestock	NR	high external	NR	NR	socioeconomic	respondent perceptions/recall	Interviews households and use of equations	Increase/More than comparator	NR	Decrease/Less than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
45	"Allen JC. Wood energy and preservation of woodlands in semi-arid developing countries. The case of Dodoma region, Tanzania. Journal of Development Economics 1985: 59-84"	1985	1983	Province/region	Dodoma	Tanzania	"-6.1728611,35.7381308"	both	Counterfactual	planting and harvesting of wood (woodlots) for charcoal production	Woodlands	woodlands	Both	slightly degraded	8000 ha	Purchased at market 	NR	multiple or other (specify)	"tree growing, tree natural management, harvesting, processing, transportation"	absent	absent	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	Increase/inward	NR	NR	NR	high external	NR	NR	socioeconomic	multiple (specify)	"Models and projections, respondent perceptions"	NR	NR	NR	NR	Decrease/Less than comparator	NR	time (labor) increase when switch to tree growing and harvesting to make charcoal							NR	NR	NR	NR	NR	NR	NR	NR
46	"Amegah AK, Jaakkola JJK, Quansah R, Norgbe GK, Dzodzomenyo M. Cooking fuel choices and garbage burning practices as determinants of birth weight: a cross-sectional study in Accra, Ghana. Environmental Health 2012; 11:78 doi: 10.1186/1476-069X-11-78."	2012	2010	Village/city	South West area of Accra	Ghana	"5.548145,-0.2644055"	charcoal	Control-Impact	Pregnant women using only LPG for cooking	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	mostly domestic use	"Social class, education and occupation determines the type of cooking fuel used"	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	structured questionnaires to mothers + data on child weights in the records of the hospital	Increase/More than comparator		average fetal growth and risk of LBW increase 	NR	NR	NR	NR	NR	NR	NR	NR	NR
49	"Ana G, Adeniji B, Ige O, Oluwole O, Olopade C. Exposure to emissions from firewood cooking stove and the pulmonary health of women in Olorunda community, Ibadan, Nigeria Air Quality.  Atmosphere and Health 2013; 6: 465–471"	2012	NR	Village/city	"Olounda community, Ibadan"	Nigeria	"7.4209796,3.8341407"	firewood	None (single case study)	NR	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	commercial 	NR	NR	mostly domestic use	NR	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	"gas monitors, digital spirometers"	Increase/More than comparator	Neutral/No change		NR	NR	NR	NR	NR	NR	NR	NR	NR
59	"Avohou TH, Houehounha R, Glele-Kakai R, Assogbadjo AE, Sinsin B. Firewood yield and profitability of a traditional Daniellia oliveri short-rotation coppice on fallow lands in Benin. Biomass and Bioenergy 2011; 35: 562–571"	2010	2006	Province/region	sudano-guinean transition zone of Benin	Benin	"7.1833386,1.9658238 "	firewood	Control-Impact	non-weed control of short rotation coppice systems	Mixed	"woodlands, tree and shrub savannas"	Natural	NR	NR	Living trees 	Living trees 	multiple or other (specify)	"tree growing, tree natural management"	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	10-30 km	high external	domestic and commercial use	NR	multiple	multiple (specify)	market survey and cost benefit analysis	NR	NR	NR	NR	Mixed	Mixed	NR	NR	NR	NR	NR	NR	multiple (specify)	"destructive and non destructive measurments, alometric equation"	Decrease/Less than comparator	NR	NR	NR	NR	NR	NR
62	"Ayodele A, Oguntunde P, Joseph A, Dias Junior MDS. Numerical analysis of the impact of charcoal production on soil hydrological behavior, runoff response and erosion susceptibility. Revista Brasileira de Ciencia do Solo 2009; 33: 137-146."	2009	NR	Designated area/reserve	Water catchment of Kotokosu near the town of Ejura	Ghana	"7.3825764,-1.3682055"	charcoal	Control-Impact	undisturbed soil	Mixed	forest-savannah transition zone	NR	NR	NR	NR	NR	processing		NR	NR	NR	NR	NR	NR	NR	NR	NR		NR	NR	NR	NR	NR	agriculture / livestock	NR	high external	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	"respondent perceptions, sampling and measurments in labs, model and projections"						Increase/More than comparator	NR
73	"Bailis R, Ezzati M, Kammen DM. Greenhouse gas implications of household energy technology in Kenya. Environmental Science and Technology 2003; 37: 2051-9."	2003	NR	Plot/sample site(s)	"Mpala Ranch, laikipia disctrict"	Kenya	"0.2922396,36.8958556"	charcoal	Multiple case studies	woodstoves (firewood and ceramic and 3 stone fire)	NR	NR	NR	NR	NR	NR	NR	multiple or other (specify)	"processing, consumption"	NR	present	ceramic woodstove	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	gas measurments in houses		NR	NR	NR	Increase/More than comparator		NR
87	"Bayabil HK, Stoof CR, Lehmann JC, Yitaferu B, Steenhuis TS. Assessing the potential of biochar and charcoal to improve soil hydraulic properties in the humid Ethiopian Highlands: The Anjeni watershed.  Geoderma 2015; 243-244:115–123 "	2014	2012	Designated area/reserve	Anjeni watershed - North-west of Ethiopia	Ethiopia	"11.2469868,36.6194999"	charcoal	Control-Impact	soil without incorporating biochar or charcoal	NR	small-scale agriculture	Planted	NR	NR	NR	NR	multiple or other (specify)	incorporation of charcoal in soils	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	mostly domestic use	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	laboratory tests on soil samples	NR	NR	NR	NR	NR	Increase/More than comparator	NR
92	"Benjaminsen TA. Fuelwood, deforestation and drought in the Sahel: a case study from the Gourma region, Mali. Secheresse 1996; 7: 179-185"	1996	1990	Designated area/reserve	Gourma region	Mali	"16.88, -1.9238"	firewood	None (single case study)		Shrubs	small shrubs and trees	NR	NR	NR	Deadwood 	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	high local	NR	NR	environmental	respondent perceptions/recall	questionnaires 	NR	NR	NR	NR	NR	NR	choice of woodfuel = deadwood not live wood. So no impact on deforestation						direct/proxy measurements	comparison  aerial photos of tree density (superficie) 	Neutral/No change	NR	NR	NR	NR	NR	NR
95	"Berry MG, Robertson BL, Campbell EE. Impact of cutting and collecting of firewood associated with informal settlement in the south-eastern Cape coastal zone. South African Journal of Botany 2005; 71: 179-190"	2004	NR	Designated area/reserve	South East Cape Coastal zone	South Africa	"-33.8012,25.3901032"	firewood	Control-Impact	undisturbed or less impacted vegetation transect further away from 	Mixed	thiket and afromontane	Natural	good/excellent	NR	NR	NR	harvesting		NR	NR	NR	NR	NR	NR	absent	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	ground surveys floristic and vegetation variables	Decrease/Less than comparator	Mixed	Mixed	NR	NR	NR	NR
