FID_1	Reference	Title	Date_Publi	Authors	Journal	Language	Country	Name_of_Si	LatDD	LonDD	Terestrial	Type_of_Ar	Proxy	Stratigraphic	Radiocarbo	OSL	Pb210	Cs137	U_Th	Dendrochro	Tephra	Material_D	Max	Min	Average Annual Rainfall (mm)	Wettest Month (mm)	Wettest Quarter (mm)	Dryest Month (mm)	Driest Quarter (mm)	Coefficient of Variance	DEM 30m	ECO_NAME	BIOME_NAME
9	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Colson Point Lagoon	17.060444	-88.253278	Terestrial	Lake Sediment Core	Stratigraphic description		2							Bivalve shell	N/A	N/A	2197	299	842	55	182	5170	3	Mesoamerican Gulf-Caribbean mangroves	Mangroves
11	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Colson Point Lagoon	17.057139	-88.256167	Terestrial	Lake Sediment Core	Stratigraphic description		3							"Organic matter, Bivalve shell"	N/A	N/A	2205	300	846	56	184	5151	2	Mesoamerican Gulf-Caribbean mangroves	Mangroves
12	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Colson Point Lagoon	17.05425	-88.243861	Terestrial	Lake Sediment Core	Stratigraphic description		4							"Organic matter, Bivalve shell, coral"	N/A	N/A	2193	298	842	55	182	5158	2	Mesoamerican Gulf-Caribbean mangroves	Mangroves
10	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Colson Point Lagoon	17.057528	-88.274111	Terestrial	Lake Sediment Core	Stratigraphic description		0							N/A	N/A	N/A	2229	303	851	56	185	5127	1	Peten-Veracruz moist forests	Tropical & Subtropical Moist Broadleaf Forests
13	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Colson Point Lagoon	17.053583	-88.270444	Terestrial	Lake Sediment Core	Stratigraphic description		1							Bivalve shell	N/A	N/A	2229	303	851	56	185	5127	1	Peten-Veracruz moist forests	Tropical & Subtropical Moist Broadleaf Forests
14	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Colson Point Lagoon	17.051194	-88.263361	Terestrial	Lake Sediment Core	Stratigraphic description		3							"Organic matter, Bivalve shell"	N/A	N/A	2212	301	848	56	184	5160	1	Peten-Veracruz moist forests	Tropical & Subtropical Moist Broadleaf Forests
15	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Commerce Bight Lagoon	16.902278	-88.288056	Terestrial	Lake Sediment Core	Stratigraphic description		2							Organic matter	N/A	N/A	2221	309	870	58	182	5250	1	Mesoamerican Gulf-Caribbean mangroves	Mangroves
16	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Commerce Bight Lagoon	16.90125	-88.282194	Terestrial	Lake Sediment Core	Stratigraphic description		4							"Organic matter, peat, coral"	N/A	N/A	2221	309	870	58	182	5250	1	Mesoamerican Gulf-Caribbean mangroves	Mangroves
17	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Commerce Bight Lagoon	16.898694	-88.295056	Terestrial	Lake Sediment Core	Stratigraphic description		0							N/A	N/A	N/A	2211	308	869	58	181	5283	2	Mesoamerican Gulf-Caribbean mangroves	Mangroves
18	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Commerce Bight Lagoon	16.8885	-88.289639	Terestrial	Lake Sediment Core	Stratigraphic description		4							"Organic matter, Bivalve shell, coral"	N/A	N/A	2201	309	868	58	180	5304	1	Mesoamerican Gulf-Caribbean mangroves	Mangroves
19	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Commerce Bight Lagoon	16.888361	-88.289333	Terestrial	Lake Sediment Core	Stratigraphic description		3							Coral	N/A	N/A	2201	309	868	58	180	5304	1	Mesoamerican Gulf-Caribbean mangroves	Mangroves
0	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Manatee Lagoon	17.230639	-88.30375	Terestrial	Lake Sediment Core	Stratigraphic description		2							"Organic matter, Bivalve shell"	N/A	N/A	2032	291	787	50	169	5281	1	Mesoamerican Gulf-Caribbean mangroves	Mangroves
1	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Manatee Lagoon	17.211611	-88.314806	Terestrial	Lake Sediment Core	Stratigraphic description		3							"Organic matter, Bivalve shell"	N/A	N/A	2047	292	795	51	171	5295	2	Mesoamerican Gulf-Caribbean mangroves	Mangroves
2	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Manatee Lagoon	17.211528	-88.312833	Terestrial	Lake Sediment Core	Stratigraphic description		4							"Organic matter, Bivalve shell"	N/A	N/A	2047	292	795	51	171	5295	2	Mesoamerican Gulf-Caribbean mangroves	Mangroves
3	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Manatee Lagoon	17.211389	-88.317556	Terestrial	Lake Sediment Core	Stratigraphic description		1							Bivalve shell	N/A	N/A	2055	294	797	51	172	5286	2	Mesoamerican Gulf-Caribbean mangroves	Mangroves
4	"Adomat, F. and Gischler, E., 2017. Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records. International Journal of Earth Sciences, 106(1), pp.283-309."	"Assessing the suitability of Holocene environments along the central Belize coast, Central America, for the reconstruction of hurricane records"	2017	"Adomat, F.; Gischler, E."	International Journal of Earth Sciences	English	Belize	Manatee Lagoon	17.211056	-88.303833	Terestrial	Lake Sediment Core	Stratigraphic description		2							"Organic matter, Bivalve shell"	N/A	N/A	2046	291	792	51	171	5270	1	Mesoamerican Gulf-Caribbean mangroves	Mangroves
