Report ID	Author	Publication Date	Title	Abstract [as written in original source- not edited for this systematic map]	Publication	Country	"LatDD,LonDD"	Production System/Sector	Commodity	Certification Standard	Population	Sampling Unit	Position in Supply Chain	Research Method	Expand on Mixed Methods and Other	Study Design	Social	Social	Economic	Environmental	Education	Poverty	Health and Safety	Nutrition	Gender	Wellbeing	Community Benefits and Development	Knowledge Exchange	Transparency	Management systems	Price Premium	Profitability 	Costs	Market Advantage	Yield	Good Production Practices (including good forest management)	Financial Security	Deforestation	Conservation and Biodiversity	Pollution	Soil Management	Water Management	Input Use	Post-harvest Practices
1679	"Ackerknecht, C.; Bassaber, C.; Reyes, M.; Miranda, H."	2005	Environmental certification systems and impacts of their implementation on occupational health and safety in Chilean forest companies	"Environmental management systems developed by Chilean forest companies in fast-grown plantations and implemented for ISO 14001:1996 certification, best forest management practices certified by the Forest Stewardship Council, and occupational health and safety (OHSAS 18001:1999), have been analysed to evaluate their effects on profitability due to the decrease in work accidents. The study was a st atistical analysis of data on accident rate, risk rate, and average time lost per accident for up to 25 companies over 7 years. A second phase of the study was extended to 10 years with the same companies and dependent variables. Analysis of variance was used to compare the incidence of occupational accidents before and after the environmental systems, best forest management practices, or occupational health and safety were implemented. Results varied between companies, a ccording to the specific dependent variables analysed. Nevertheless, after the environmental systems or best forest management practices were implemented most companies showed there were improvements in accident rate, risk rate, and average time lost per accident. For most companies implementation of ISO 14001 and Forest Stewardship Council requirements helped to increase competitiveness by improving safety indicators in a statistically significant way."	New Zealand Journal of Forestry Science 35  153-165 	Chile	"-35.675100, -71.543000"	Forest sector	Timber	Forest Stewardship Council (FSC); ISO 14001	Companies	Companies; logging contractors	Producer	Other	Chilean Safety Association data	Matched	Data Reported	Data Reported	Data Reported	No Data Reported			Data Reported									Data Reported	Data Reported											
RG20	Aidenvironment (Netherlands)	2016	Evaluation of UTZ in the Indonesian cocoa sector.	"This report presents the results of the  evaluation of UTZ in the Indonesian cocoa sector. It serves the dual purpose of proving the impact of UTZ at farm and sector levels and of creating a deeper understanding  of how UTZ can improve its impact in the future.  This impact evaluation focuses on the following research questions: 1.Does UTZ Certification con tribute to increased productivity and quality? 2.Does UTZ Certification contribute to better prices, better market access and to improved income? 3.What is the added value of UTZ certification when embedded within existing interventions? 4.What is the added value of UTZ in sustainable sector transformation?"	"Report, Aidenvironment (Netherlands)    "	Indonesia	"-0.589700, 101.343100"	Cocoa	Cocoa	UTZ 	Farms; Smallholders	Farms	Producer	Mixed methods	"Focus group discussions, Interviews, Surveys"	N/A	No Data Reported	No Data Reported	Data Reported	Data Reported														Data Reported	Data Reported		Data Reported						Data Reported	
2665	"Akoyi, K. T.; Maertens, M."	2017	Walk the Talk: Private Sustainability Standards in the Ugandan Coffee Sector	"We investigate the welfare and productivity implications of private sustainability standards in the coffee sector in Uganda. We use cross-sectional household survey data and an instrumental variable method with instruments that pass weak identification and over-identification restrictions. We find that triple Utz-Rainforest Alliance-4C certification increases income, and land and labour productivity, and reduces poverty. Double Fairtrade-Organic certification is found to be associated with higher producer prices but results in lower land and labour productivity, and thereby fails to increase producer income and contribute to poverty reduction. We conclude that private sustainability standards do not always live up the expectations they create towards consumers. å© 2017 Informa UK Limited, trading as Taylor & Francis Group"	Journal of Development Studies   1-27 DOI:10.1080/00220388.2017.1327663	Uganda	"1.149300, 34.541800"	Coffee	Coffee	Fair Trade; Rainforest Alliance; Organic; UTZ 	Co-operatives; Smallholders	Smallholders; Farms	Producer	Mixed methods	"Household Surveys, Modelling"	Matched	Data Reported	Data Reported	Data Reported	No Data Reported		Data Reported										Data Reported			Data Reported									
8886	"Arnould, Eric J.; Plastina, Alejandro; Ball, Dwayne"	2009	"Does Fair Trade Deliver on Its Core Value Proposition? Effects on Income, Educational Attainment, and Health in Three Countries"	"Alternative trade organizations (ATOs) based on philosophies of social justice and/or environmental well-being are establishing new channels of trade and marketing. Partisans promote ATOs as systems to transfer benefits from consumers in the wealthy northern hemisphere to producers in the poor southern hemisphere. The central public policy question is whether the well-being of poor agricultural producers in the southern hemisphere is actually being improved by fair-trade practices, or are consumers who buy products on this premise deceived? The research reported here partially answers the question whether participation in a fair-trade coffee marketing channel delivers benefits to small-scale producers in Latin America. The authors employ a survey methodology to compare TransFair USA (TF) cooperative participants and nonparticipating farmers in three countries on socioeconomic indicators of well-being. According to the analysis, the economic effects of fair-trade participation are unassailable; the effects on educational and health outcomes are uneven. However, TF cooperative participation positively affects educational attainment and the likelihood that a child is currently studying. The authors find positive health-related consequences of TF cooperative participation."	Journal of Public Policy & Marketing 28  186-201 	Guatemala	"15.783500, -90.230800 "	Coffee	Coffee	Fair Trade; Rainforest Alliance	Co-operatives	Co-operatives	Producer	Mixed methods	"Interview, Questionnaire"	Matched	Data Reported	Data Reported	Data Reported	No Data Reported	Data Reported					Data Reported					Data Reported	Data Reported			Data Reported									
8886	"Arnould, Eric J.; Plastina, Alejandro; Ball, Dwayne"	2009	"Does Fair Trade Deliver on Its Core Value Proposition? Effects on Income, Educational Attainment, and Health in Three Countries"	"Alternative trade organizations (ATOs) based on philosophies of social justice and/or environmental well-being are establishing new channels of trade and marketing. Partisans promote ATOs as systems to transfer benefits from consumers in the wealthy northern hemisphere to producers in the poor southern hemisphere. The central public policy question is whether the well-being of poor agricultural producers in the southern hemisphere is actually being improved by fair-trade practices, or are consumers who buy products on this premise deceived? The research reported here partially answers the question whether participation in a fair-trade coffee marketing channel delivers benefits to small-scale producers in Latin America. The authors employ a survey methodology to compare TransFair USA (TF) cooperative participants and nonparticipating farmers in three countries on socioeconomic indicators of well-being. According to the analysis, the economic effects of fair-trade participation are unassailable; the effects on educational and health outcomes are uneven. However, TF cooperative participation positively affects educational attainment and the likelihood that a child is currently studying. The authors find positive health-related consequences of TF cooperative participation."	Journal of Public Policy & Marketing 28  186-201 	Nicaragua	"12.865400, -85.207200"	Coffee	Coffee	Fair Trade; Rainforest Alliance	Co-operatives	Co-operatives	Producer	Mixed methods	"Interview, Questionnaire"	Matched	Data Reported	Data Reported	Data Reported	No Data Reported	Data Reported					Data Reported					Data Reported	Data Reported			Data Reported									
8886	"Arnould, Eric J.; Plastina, Alejandro; Ball, Dwayne"	2009	"Does Fair Trade Deliver on Its Core Value Proposition? Effects on Income, Educational Attainment, and Health in Three Countries"	"Alternative trade organizations (ATOs) based on philosophies of social justice and/or environmental well-being are establishing new channels of trade and marketing. Partisans promote ATOs as systems to transfer benefits from consumers in the wealthy northern hemisphere to producers in the poor southern hemisphere. The central public policy question is whether the well-being of poor agricultural producers in the southern hemisphere is actually being improved by fair-trade practices, or are consumers who buy products on this premise deceived? The research reported here partially answers the question whether participation in a fair-trade coffee marketing channel delivers benefits to small-scale producers in Latin America. The authors employ a survey methodology to compare TransFair USA (TF) cooperative participants and nonparticipating farmers in three countries on socioeconomic indicators of well-being. According to the analysis, the economic effects of fair-trade participation are unassailable; the effects on educational and health outcomes are uneven. However, TF cooperative participation positively affects educational attainment and the likelihood that a child is currently studying. The authors find positive health-related consequences of TF cooperative participation."	Journal of Public Policy & Marketing 28  186-201 	Peru	" -9.190000, -75.015200"	Coffee	Coffee	Fair Trade; Rainforest Alliance	Co-operatives	Co-operatives	Producer	Mixed methods	"Interview, Questionnaire"	Matched	Data Reported	Data Reported	Data Reported	No Data Reported	Data Reported					Data Reported					Data Reported	Data Reported			Data Reported									
12191	"Azhar, B.; Saadun, N.; Puan, C. L.; Kamarudin, N.; Aziz, N.; Nurhidayu, S.; Fischer, J."	2015	Promoting landscape heterogeneity to improve the biodiversity benefits of certified palm oil production: Evidence from Peninsular Malaysia	"The Roundtable on Sustainable Palm Oil (RSPO) is responsible for the certification of palm oil producers that comply with sustainability standards. However, it is not known whether RSPO-certified plantations are effective in maintaining biodiversity. Focusing on Peninsular Malaysia, we show that both RSPO-certified plantations and uncertified large-scale plantations are characterized by very low levels of landscape heterogeneity. By contrast, heterogeneity measures were many times higher in palm oil producing smallholdings, despite their lack of RSPO certification. The low heterogeneity of large-scale oil palm plantations, including those certified by the RSPO, is likely to severely limit their value for biodiversity conservation. Uncertified smallholdings, in contrast, are much more heterogeneous and therefore hold substantially greater promise for the integration of palm oil production and biodiversity conservation than large-scale plantations. With oil palm agriculture further expanding, certification schemes should mandate producers to improve biodiversity conservation through landscape management that promotes greater landscape heterogeneity. å© 2015 The Authors."	Global Ecology and Conservation 3  553-561 DOI:10.1016/j.gecco.2015.02.009	Malaysia	"3.1390, 101.6869"	Palm Oil	Palm oil	Roundtable on Sustainable Palm Oil (RSPO)	Plantations	Plantations; Smallholders	Producer	Mapping Data	Google maps and visits to selected sites for verification	Matched	No Data Reported	No Data Reported	No Data Reported	Data Reported																			Data Reported					
6597	"Bass, S.; Thornber, K.; Markopoulos, M.; Roberts, S.; Grieg-Gran, M."	2001	"Certification's impacts on forests, stakeholders and supply chains"	"This book contains 4 chapters which provide information on how forest certification could best contribute to sustainable development. The first chapter includes an introduction and concentrates on three fields of enquiry: how certification has impacted on community forestry and community forestry enterprise; how certification has helped improve responsible business practice in industrial forest product supply chains; and how certification has contributed the kinds of policy processes that lead to sustainable forest management. Chapter 2 presents a synthesis of case studies of certified community-based enterprises in Bolivia, Mexico, Papua New Guinea and Zambia, which are field assessments of the social, economic and environmental impacts of market-based certification. It highlights the main lessons and trends to emerge from the case studies, supplemented by analysis of additional literature and relevant experiences, and analyses stakeholder motivation for certification, the challenges and outcomes of certification. Chapter 3 looks at how certification has worked as a market-based tool in practice, examining mechanisms by which market demands for certified products translate into decisions by forest managers to certify. The last chapter on the other hand discusses the applications of certification categorized into three groups: market-oriented certification of forest products or forest environmental services; regulation-oriented verification to strengthen or complement forest law enforcement; and project- or institutional-oriented certification to verify that particular forestry goals or outcomes have been achieved."	Instruments for Sustainable Private Sector Forestry Series    	Bolivia	"-16.290200, -63.588700"	Forest sector	Forest resources	Forest Stewardship Council (FSC)	Farms	Per-country	Producer	Mixed methods	"FSC database, interviews, literature reviews, field work"	Pre-post	No Data Reported	No Data Reported	Data Reported	No Data Reported												Data Reported				Data Reported 	Data Reported							
6597	"Bass, S.; Thornber, K.; Markopoulos, M.; Roberts, S.; Grieg-Gran, M."	2001	"Certification's impacts on forests, stakeholders and supply chains"	"This book contains 4 chapters which provide information on how forest certification could best contribute to sustainable development. The first chapter includes an introduction and concentrates on three fields of enquiry: how certification has impacted on community forestry and community forestry enterprise; how certification has helped improve responsible business practice in industrial forest product supply chains; and how certification has contributed the kinds of policy processes that lead to sustainable forest management. Chapter 2 presents a synthesis of case studies of certified community-based enterprises in Bolivia, Mexico, Papua New Guinea and Zambia, which are field assessments of the social, economic and environmental impacts of market-based certification. It highlights the main lessons and trends to emerge from the case studies, supplemented by analysis of additional literature and relevant experiences, and analyses stakeholder motivation for certification, the challenges and outcomes of certification. Chapter 3 looks at how certification has worked as a market-based tool in practice, examining mechanisms by which market demands for certified products translate into decisions by forest managers to certify. The last chapter on the other hand discusses the applications of certification categorized into three groups: market-oriented certification of forest products or forest environmental services; regulation-oriented verification to strengthen or complement forest law enforcement; and project- or institutional-oriented certification to verify that particular forestry goals or outcomes have been achieved."	Instruments for Sustainable Private Sector Forestry Series    	Honduras	"15.200000, -86.241900 "	Forest sector	Forest resources	Forest Stewardship Council (FSC)	Farms	Per-country	Producer	Mixed methods	"FSC database, interviews, literature reviews, field work"	Pre-post	No Data Reported	No Data Reported	Data Reported	No Data Reported												Data Reported				Data Reported 	Data Reported							
6597	"Bass, S.; Thornber, K.; Markopoulos, M.; Roberts, S.; Grieg-Gran, M."	2001	"Certification's impacts on forests, stakeholders and supply chains"	"This book contains 4 chapters which provide information on how forest certification could best contribute to sustainable development. The first chapter includes an introduction and concentrates on three fields of enquiry: how certification has impacted on community forestry and community forestry enterprise; how certification has helped improve responsible business practice in industrial forest product supply chains; and how certification has contributed the kinds of policy processes that lead to sustainable forest management. Chapter 2 presents a synthesis of case studies of certified community-based enterprises in Bolivia, Mexico, Papua New Guinea and Zambia, which are field assessments of the social, economic and environmental impacts of market-based certification. It highlights the main lessons and trends to emerge from the case studies, supplemented by analysis of additional literature and relevant experiences, and analyses stakeholder motivation for certification, the challenges and outcomes of certification. Chapter 3 looks at how certification has worked as a market-based tool in practice, examining mechanisms by which market demands for certified products translate into decisions by forest managers to certify. The last chapter on the other hand discusses the applications of certification categorized into three groups: market-oriented certification of forest products or forest environmental services; regulation-oriented verification to strengthen or complement forest law enforcement; and project- or institutional-oriented certification to verify that particular forestry goals or outcomes have been achieved."	Instruments for Sustainable Private Sector Forestry Series    	Mexico	" 23.634500, -102.552800 "	Forest sector	Forest resources	Forest Stewardship Council (FSC)	Farms	Per-country	Producer	Mixed methods	"FSC database, interviews, literature reviews, field work"	Pre-post	No Data Reported	No Data Reported	Data Reported	No Data Reported												Data Reported				Data Reported 	Data Reported							
