Article UID	Source of Article	Reference Type	Full Citation	Year	Author	Title	Journal	DOI	URL	Abstract	Volume	Issue	Pages	Aggregated comparator data only	If Aggregated are the forests managed?	Scale of Study	No. of Studies (Comparator)	Year study started	Study Duration (in months)	UK Nation	Listed Area(s)	LatDD	LonDD	Study Q/Obj	Type of study comparisons made	Treatment allocation	Number of sample points (number)	Commercial Trees	Former landuse	Stand structure	Stand composition	Silvicultural system	Stand developmental stages (only if clear cut system system compared)	Rotation	Comparator Site (if a chronosequence, select 'Not applicable')	Species identification methods	Assessment methodology	Taxonomic Diversity- Richness (S)	Taxonomic Diversity- Abundance (J')	Taxonomic Diversity- Spp Diversity (Index)	Community -Composition 	Functional Diversity (inc diversity of traits)	Levels of Redundancy (taxonomic and/or functional)	Forest strata of study	Specific biodiversity taxa	Specific biodiversity taxa (+)	Specific biodiversity taxa (-)	Specific biodiversity taxa (=)	Additional notes on biodiversity outcome(s)	Taxonomic groups	Are there any missing data in the study results?	Are missing data fully accounted for?	Are all raw data available?	Suitable for meta analysis?
Bibby_1985	Digital	Journal Article	Bibby, C.J., Phillips, B.N. and Seddon, A.J.E., 1985. Birds of restocked conifer plantations in Wales. Journal of Applied Ecology, pp.619-633.	1985	Bibby, C.J., Phillips, B.N., Seddon, A.J.E.	Birds of restocked conifer plantations in Wales.	Journal of Applied Ecology	10.2307/2403216	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022193529&doi=10.2307%2f2403216&partnerID=40&md5=7e1d7554d27e04e7daf6878257e6f3be	Recorded 31 species of songbird in the breeding season. Density and species richness greatly exceeded previous findings on newly afforested ground. Significant associations between occurrences of individual bird species and habitat factors were shown. The habitat was simplified to 2 principal component axes, which were attributed to succession of the conifer habitat and a conifer-broadleaf gradient. Overall bird densities increased with succession and declined along the gradient from pure conifer to much broadleaf admixed with the crop. Species richness did not vary significantly along these axes. Areas adjoining thicket-stage conifer crops older than those studied held lower bird densities than centres of the plots. -from Authors	22	3	619-633	Yes	Managed	Stand	2	1971	120	Wales		53.07947238	-3.805985001	Aimed to explore the bird populations of the early stages after restocking on a much wider scale than hitherto attempted.	Pairwise comparison tree species	Randomised & blocked	326	Sitka spruce	Not Reported	Not reported	Not reported	Not reported		Not reported	Broadleaf woodland;Conifer woodland;Grassland	Morphology	Sample points within plots were chosen with computer-generated random co-ordinates plotted onto a map. Points were constrained to lie no closer than 60 m apart or nearer than 30 m to the edge so as to avoid excessive overlap or inclusion of other vegetation.	Yes	Yes	No	No	No	No	Entire habitat	Accipiter nisus;Aegithalos caudatus;Alauda arvensis;Anthus pratensis;Anthus trivialis;Buteo buteo;Carduelis cannabina;Carduelis flammea;Carduelis spinus;Cinclus cinclus;Columba oenas;Columba palumbus;Corvus corax;Corvus corone;Corvus monedula;Cuculus canorus;Dendrocopus major;Emberiza schoeniclus;Erithacus rubecula;Falco tinnunculus;Ficedula hypoleuca;Fringilla coelebs;Garrulus glandarius;Lagopus lagopus;Loxia curvirostra;Lyrurus tetrix;Motacilla cinerea;Muscicapa striata;Numenius arquata;Parus ater;Parus caeruleus;Parus major;Parus montanus;Phasanius colchicus;Phoenicurus phoenicurus;Phylloscopus collybita;Phylloscopus sibilatrix;Phylloscopus trochilus;Pica pica;Picus viridis;Prunella modularis;Pyrrhula pyrrhula;Regulus regulus;Saxicola rubetra;Saxicola torquata;Scolopax rusticola;Sylvia atricapilla;Sylvia borin;Sylvia communis;Troglodytes troglodytes;Turdus merula;Turdus philomelos;Turdus viscivorus;Vanellus vanellus	Aegithalos caudatus;Sylvia borin;Regulus regulus;Turdus philomelos;Turdus merula;Erithacus rubecula;Fringilla coelebs;Phylloscopus trochilus;Troglodytes troglodytes;Acanthis flammea	Sylvia communis			Birds	No	Not applicable	No	No
Bibby_1985	Digital	Journal Article	Bibby, C.J., Phillips, B.N. and Seddon, A.J.E., 1985. Birds of restocked conifer plantations in Wales. Journal of Applied Ecology, pp.619-633.	1985	Bibby, C.J., Phillips, B.N., Seddon, A.J.E.	Birds of restocked conifer plantations in Wales.	Journal of Applied Ecology	10.2307/2403216	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022193529&doi=10.2307%2f2403216&partnerID=40&md5=7e1d7554d27e04e7daf6878257e6f3be	Recorded 31 species of songbird in the breeding season. Density and species richness greatly exceeded previous findings on newly afforested ground. Significant associations between occurrences of individual bird species and habitat factors were shown. The habitat was simplified to 2 principal component axes, which were attributed to succession of the conifer habitat and a conifer-broadleaf gradient. Overall bird densities increased with succession and declined along the gradient from pure conifer to much broadleaf admixed with the crop. Species richness did not vary significantly along these axes. Areas adjoining thicket-stage conifer crops older than those studied held lower bird densities than centres of the plots. -from Authors	22	3	619-633	Yes	Managed	Stand	2	1971	120	Wales		53.07947238	-3.805985001	Aimed to explore the bird populations of the early stages after restocking on a much wider scale than hitherto attempted.	Pairwise comparison tree species	Randomised & blocked	326	Douglas fir	Not Reported	Not reported	Not reported	Not reported		Not reported	Broadleaf woodland;Conifer woodland;Grassland	Morphology	Sample points within plots were chosen with computer-generated random co-ordinates plotted onto a map. Points were constrained to lie no closer than 60 m apart or nearer than 30 m to the edge so as to avoid excessive overlap or inclusion of other vegetation.	Yes	Yes	No	No	No	No	Entire habitat	Accipiter nisus;Aegithalos caudatus;Alauda arvensis;Anthus pratensis;Anthus trivialis;Buteo buteo;Carduelis cannabina;Carduelis flammea;Carduelis spinus;Cinclus cinclus;Columba oenas;Columba palumbus;Corvus corax;Corvus corone;Corvus monedula;Cuculus canorus;Dendrocopus major;Emberiza schoeniclus;Erithacus rubecula;Falco tinnunculus;Ficedula hypoleuca;Fringilla coelebs;Garrulus glandarius;Lagopus lagopus;Loxia curvirostra;Lyrurus tetrix;Motacilla cinerea;Muscicapa striata;Numenius arquata;Parus ater;Parus caeruleus;Parus major;Parus montanus;Phasanius colchicus;Phoenicurus phoenicurus;Phylloscopus collybita;Phylloscopus sibilatrix;Phylloscopus trochilus;Pica pica;Picus viridis;Prunella modularis;Pyrrhula pyrrhula;Regulus regulus;Saxicola rubetra;Saxicola torquata;Scolopax rusticola;Sylvia atricapilla;Sylvia borin;Sylvia communis;Troglodytes troglodytes;Turdus merula;Turdus philomelos;Turdus viscivorus;Vanellus vanellus	Aegithalos caudatus;Sylvia borin;Regulus regulus;Turdus philomelos;Turdus merula;Erithacus rubecula;Fringilla coelebs;Phylloscopus trochilus;Troglodytes troglodytes;Acanthis flammea	Sylvia communis			Birds	No	Not applicable	No	No
Bibby_1985	Digital	Journal Article	Bibby, C.J., Phillips, B.N. and Seddon, A.J.E., 1985. Birds of restocked conifer plantations in Wales. Journal of Applied Ecology, pp.619-633.	1985	Bibby, C.J., Phillips, B.N., Seddon, A.J.E.	Birds of restocked conifer plantations in Wales.	Journal of Applied Ecology	10.2307/2403216	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022193529&doi=10.2307%2f2403216&partnerID=40&md5=7e1d7554d27e04e7daf6878257e6f3be	Recorded 31 species of songbird in the breeding season. Density and species richness greatly exceeded previous findings on newly afforested ground. Significant associations between occurrences of individual bird species and habitat factors were shown. The habitat was simplified to 2 principal component axes, which were attributed to succession of the conifer habitat and a conifer-broadleaf gradient. Overall bird densities increased with succession and declined along the gradient from pure conifer to much broadleaf admixed with the crop. Species richness did not vary significantly along these axes. Areas adjoining thicket-stage conifer crops older than those studied held lower bird densities than centres of the plots. -from Authors	22	3	619-633	Yes	Managed	Stand	2	1971	120	Wales		53.07947238	-3.805985001	Aimed to explore the bird populations of the early stages after restocking on a much wider scale than hitherto attempted.	Pairwise comparison tree species	Randomised & blocked	326	Lodgepole pine	Not Reported	Not reported	Not reported	Not reported		Not reported	Broadleaf woodland;Conifer woodland;Grassland	Morphology	Sample points within plots were chosen with computer-generated random co-ordinates plotted onto a map. Points were constrained to lie no closer than 60 m apart or nearer than 30 m to the edge so as to avoid excessive overlap or inclusion of other vegetation.	Yes	Yes	No	No	No	No	Entire habitat	Accipiter nisus;Aegithalos caudatus;Alauda arvensis;Anthus pratensis;Anthus trivialis;Buteo buteo;Carduelis cannabina;Carduelis flammea;Carduelis spinus;Cinclus cinclus;Columba oenas;Columba palumbus;Corvus corax;Corvus corone;Corvus monedula;Cuculus canorus;Dendrocopus major;Emberiza schoeniclus;Erithacus rubecula;Falco tinnunculus;Ficedula hypoleuca;Fringilla coelebs;Garrulus glandarius;Lagopus lagopus;Loxia curvirostra;Lyrurus tetrix;Motacilla cinerea;Muscicapa striata;Numenius arquata;Parus ater;Parus caeruleus;Parus major;Parus montanus;Phasanius colchicus;Phoenicurus phoenicurus;Phylloscopus collybita;Phylloscopus sibilatrix;Phylloscopus trochilus;Pica pica;Picus viridis;Prunella modularis;Pyrrhula pyrrhula;Regulus regulus;Saxicola rubetra;Saxicola torquata;Scolopax rusticola;Sylvia atricapilla;Sylvia borin;Sylvia communis;Troglodytes troglodytes;Turdus merula;Turdus philomelos;Turdus viscivorus;Vanellus vanellus	Aegithalos caudatus;Sylvia borin;Regulus regulus;Turdus philomelos;Turdus merula;Erithacus rubecula;Fringilla coelebs;Phylloscopus trochilus;Troglodytes troglodytes;Acanthis flammea	Sylvia communis			Birds	No	Not applicable	No	No
Bibby_1985	Digital	Journal Article	Bibby, C.J., Phillips, B.N. and Seddon, A.J.E., 1985. Birds of restocked conifer plantations in Wales. Journal of Applied Ecology, pp.619-633.	1985	Bibby, C.J., Phillips, B.N., Seddon, A.J.E.	Birds of restocked conifer plantations in Wales.	Journal of Applied Ecology	10.2307/2403216	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022193529&doi=10.2307%2f2403216&partnerID=40&md5=7e1d7554d27e04e7daf6878257e6f3be	Recorded 31 species of songbird in the breeding season. Density and species richness greatly exceeded previous findings on newly afforested ground. Significant associations between occurrences of individual bird species and habitat factors were shown. The habitat was simplified to 2 principal component axes, which were attributed to succession of the conifer habitat and a conifer-broadleaf gradient. Overall bird densities increased with succession and declined along the gradient from pure conifer to much broadleaf admixed with the crop. Species richness did not vary significantly along these axes. Areas adjoining thicket-stage conifer crops older than those studied held lower bird densities than centres of the plots. -from Authors	22	3	619-633	Yes	Managed	Stand	2	1971	120	Wales		53.07947238	-3.805985001	Aimed to explore the bird populations of the early stages after restocking on a much wider scale than hitherto attempted.	Pairwise comparison tree species	Randomised & blocked	326	Larch	Not Reported	Not reported	Not reported	Not reported		Not reported	Broadleaf woodland;Conifer woodland;Grassland	Morphology	Sample points within plots were chosen with computer-generated random co-ordinates plotted onto a map. Points were constrained to lie no closer than 60 m apart or nearer than 30 m to the edge so as to avoid excessive overlap or inclusion of other vegetation.	Yes	Yes	No	No	No	No	Entire habitat	Accipiter nisus;Aegithalos caudatus;Alauda arvensis;Anthus pratensis;Anthus trivialis;Buteo buteo;Carduelis cannabina;Carduelis flammea;Carduelis spinus;Cinclus cinclus;Columba oenas;Columba palumbus;Corvus corax;Corvus corone;Corvus monedula;Cuculus canorus;Dendrocopus major;Emberiza schoeniclus;Erithacus rubecula;Falco tinnunculus;Ficedula hypoleuca;Fringilla coelebs;Garrulus glandarius;Lagopus lagopus;Loxia curvirostra;Lyrurus tetrix;Motacilla cinerea;Muscicapa striata;Numenius arquata;Parus ater;Parus caeruleus;Parus major;Parus montanus;Phasanius colchicus;Phoenicurus phoenicurus;Phylloscopus collybita;Phylloscopus sibilatrix;Phylloscopus trochilus;Pica pica;Picus viridis;Prunella modularis;Pyrrhula pyrrhula;Regulus regulus;Saxicola rubetra;Saxicola torquata;Scolopax rusticola;Sylvia atricapilla;Sylvia borin;Sylvia communis;Troglodytes troglodytes;Turdus merula;Turdus philomelos;Turdus viscivorus;Vanellus vanellus	Aegithalos caudatus;Sylvia borin;Regulus regulus;Turdus philomelos;Turdus merula;Erithacus rubecula;Fringilla coelebs;Phylloscopus trochilus;Troglodytes troglodytes;Acanthis flammea	Sylvia communis			Birds	No	Not applicable	No	No
Alder_2018	Digital	Journal Article	Bibby, C.J., Phillips, B.N. and Seddon, A.J.E., 1985. Birds of restocked conifer plantations in Wales. Journal of Applied Ecology, pp.619-633.	2018	Alder, D.C., Fuller, R.J., Marsden, S.J.	Implications of transformation to irregular silviculture for woodland birds: A stand wise comparison in an English Broadleaf woodland	Forest Ecology and Management	10.1016/j.foreco.2018.04.004	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045085022&doi=10.1016%2fj.foreco.2018.04.004&partnerID=40&md5=e3f4dd3866e8be04c88168f82e44eb0b	Woodland birds in Britain have undergone significant long term declines since the late 1960s, associated in particular with changes in woodland structure in general, and loss of early successional vegetation. Irregular, continuous canopy broadleaf management is a form of selective logging, very recently adopted in UK that produces woodlands with open canopies and substantial mid- and understorey growth. We examined spring and late winter bird densities, estimated using distance sampling, at 310 points in irregular, transitional (that being managed towards irregular), limited intervention, and coppice stands within a large working broad-leaf woodland in lowland southern Britain. Almost all understorey and canopy vegetation measures differed significantly across stand types. Ten of 20 species had highest spring abundance in irregular woodland, five in coppice, three in transitional, and just two in limited intervention. In winter, 5â€“6 species preferred each of limited intervention, irregular and transitional, while no species preferred coppice. Densities differed little across seasons except in Paridae where abundances increased in late winter during which limited intervention stands were used more by this group. Birds generally occupied similar niche positions and had similar niche breadths across seasons. Compared to under-managed woodlands, irregular silviculture in UK's Broadleaf woodlands is likely to enhance habitat quality for woodland birds, including several species of conservation concern e.g. marsh tit Poecile palustris which was twice as abundant in irregular stands as in any other stand type. Â© 2018 Elsevier B.V.	422	3	69-78	No	Not applicable 	Stand	4	2014	12	England	Cranborne Chase, Dorset	50.9586989	-2.0823837	Compare bird abundance and relevant vegetation attributes across four stand types in a large ancient semi-natural woodland: coppice; limited intervention (formerly managed, now neglected); irregular high forest; and transitional high forest.	Pairwise comparison silviculture	Stratified	310	Oak	Not Reported	Mixed Age, Mixed Storey	Mixed	Continuous cover		Not reported	Coppiced woodland;Mixed woodland	Morphology	Point counts over three sampling periods, early and late spring and winter	Yes	Yes	No	Yes	No	No	Canopy;Sub-canopy	Aegithalos caudatus;Certhia familiaris;Columba palumbus;Cyanistes caeruleus;Dendrocopos major;Erithacus rubecula;Fringilla coelebs;Parus major;Periparus ater;Phylloscopus collybita;Phylloscopus trochilus;Poecile palustris;Prunella modularis;Regulus regulus;Sitta europaea;Sylvia atricapilla;Sylvia borin;Troglodytes troglodytes;Turdus merula;Turdus philomelos	Aegithalos caudatus;Sylvia borin;Regulus regulus;Turdus philomelos;Turdus merula;Erithacus rubecula;Fringilla coelebs;Phylloscopus trochilus;Troglodytes troglodytes;Acanthis flammea	Sylvia communis		38 songbird species recorded in total. Density estimates for 16 resident and 4 spring migrants. Spring bird densities were highest or second highest in irregular [i.e. commercial] stands for 15 of the 20 species examined.	Birds	No	Not applicable	Yes	Yes
Alder_2018	Digital	Journal Article	Bibby, C.J., Phillips, B.N. and Seddon, A.J.E., 1985. Birds of restocked conifer plantations in Wales. Journal of Applied Ecology, pp.619-633.	2018	Alder, D.C., Fuller, R.J., Marsden, S.J.	Implications of transformation to irregular silviculture for woodland birds: A stand wise comparison in an English Broadleaf woodland	Forest Ecology and Management	10.1016/j.foreco.2018.04.004	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045085022&doi=10.1016%2fj.foreco.2018.04.004&partnerID=40&md5=e3f4dd3866e8be04c88168f82e44eb0b	Woodland birds in Britain have undergone significant long term declines since the late 1960s, associated in particular with changes in woodland structure in general, and loss of early successional vegetation. Irregular, continuous canopy broadleaf management is a form of selective logging, very recently adopted in UK that produces woodlands with open canopies and substantial mid- and understorey growth. We examined spring and late winter bird densities, estimated using distance sampling, at 310 points in irregular, transitional (that being managed towards irregular), limited intervention, and coppice stands within a large working broad-leaf woodland in lowland southern Britain. Almost all understorey and canopy vegetation measures differed significantly across stand types. Ten of 20 species had highest spring abundance in irregular woodland, five in coppice, three in transitional, and just two in limited intervention. In winter, 5â€“6 species preferred each of limited intervention, irregular and transitional, while no species preferred coppice. Densities differed little across seasons except in Paridae where abundances increased in late winter during which limited intervention stands were used more by this group. Birds generally occupied similar niche positions and had similar niche breadths across seasons. Compared to under-managed woodlands, irregular silviculture in UK's Broadleaf woodlands is likely to enhance habitat quality for woodland birds, including several species of conservation concern e.g. marsh tit Poecile palustris which was twice as abundant in irregular stands as in any other stand type. Â© 2018 Elsevier B.V.	422	3	69-78	No	Not applicable 	Stand	4	2014	12	England	Cranborne Chase, Dorset	50.9586989	-2.0823837	Compare bird abundance and relevant vegetation attributes across four stand types in a large ancient semi-natural woodland: coppice; limited intervention (formerly managed, now neglected); irregular high forest; and transitional high forest.	Pairwise comparison silviculture	Stratified	310	Ash	Not Reported	Mixed Age, Mixed Storey	Mixed	Continuous cover		Not reported	Coppiced woodland;Mixed woodland	Morphology	Point counts over three sampling periods, early and late spring and winter	Yes	Yes	No	Yes	No	No	Canopy;Sub-canopy	Aegithalos caudatus;Certhia familiaris;Columba palumbus;Cyanistes caeruleus;Dendrocopos major;Erithacus rubecula;Fringilla coelebs;Parus major;Periparus ater;Phylloscopus collybita;Phylloscopus trochilus;Poecile palustris;Prunella modularis;Regulus regulus;Sitta europaea;Sylvia atricapilla;Sylvia borin;Troglodytes troglodytes;Turdus merula;Turdus philomelos	Aegithalos caudatus;Sylvia borin;Regulus regulus;Turdus philomelos;Turdus merula;Erithacus rubecula;Fringilla coelebs;Phylloscopus trochilus;Troglodytes troglodytes;Acanthis flammea	Sylvia communis		38 songbird species recorded in total. Density estimates for 16 resident and 4 spring migrants. Spring bird densities were highest or second highest in irregular [i.e. commercial] stands for 15 of the 20 species examined.	Birds	No	Not applicable	Yes	Yes
Alder_2021	Digital	Journal Article		2021	Alder, D.C., Poore, A., Norrey, J., Newson, S.E., Marsden, S.J.	Irregular silviculture positively influences multiple bat species in a lowland temperate Broadleaf woodland	Forest Ecology and Management	10.1016/j.foreco.2020.118786	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045085022&doi=10.1016%2fj.foreco.2018.04.004&partnerID=40&md5=e3f4dd3866e8be04c88168f82e44eb0b	Changing economics in the 20th century led to losses and fragmentation of semi-natural woodland in Britain and to a reduction in active woodland management with many becoming increasingly neglected, even-aged and with closed canopy. Lack of woodland management is known to contribute to declines in some taxonomic groups, for example birds. However, the response of bats to changes in woodland structure are poorly understood. We compared two measures of bat activity, derived from static acoustic recorders across 120 sample plots in coppice, irregular high forest (uneven-aged, continuous cover) and limited intervention (under-managed, even-aged) management stands, within a large tract of ancient woodland in southern England. Bat species richness was highest in irregular high forest stands, and there were significant differences in occupancy rates for most bat species across stand management types. Coppice recorded low activity of several bat species and irregular high forest showed high occupancy rates, including for Barbastelle Barbastella barbastellus, which is IUCN listed as near threatened. The occupancy rates in stand management types differed for some bat species between mid- and late summer counts, suggesting seasonal variation in habitat use. Within stands, most bat species were associated with opened canopy, lower growing stocks and reduced densities of understorey, and to a lesser extent, with large-girthed trees and presence of deadwood snags. In some cases, species responded to a given habitat variable similarly across the three stand management types, whereas in others, the response differed among stand management types. For example, increased numbers of large-girthed trees benefitted a number of bat species within coppice where these were least common, but not in irregular stands. Irregular silviculture high forest appears to provide many of the structural attributes that positively influence occupancy of several woodland bat species, including Barbastella barbastellus. Â© 2020 Elsevier B.V.	483		118786	Yes	Managed	Stand	3	2015	2	England	Cranborne Chase, Dorset	50.9586989	-2.0823837	Assess whether woodland stand management is associated with bat richness and abundance.	Pairwise comparison silviculture	Stratified	120	Oak	Not Reported	Mixed Age, Mixed Storey	Mixed	Continuous cover		Not reported	Coppiced woodland;Mixed woodland	Sensor	Bats were sampled acoustically during the summer over two periods 24 June – 22 July and 31 July − 2 September 2015 using six Song Meter 3 (SM3) acoustic recorders fitted with a single omnidirectional microphone in 40 sampling plots (a total 120 plots) in each stand type across 26 individual stands	Yes	Yes	No	Yes	No	Yes	Sub-canopy	Barbastella barbastellus;Eptesicus serotinus;Myotis daubentonii;Myotis mystacinus/brandtii;Myotis nattereri;Nyctalus leisleri. ;Nyctalus noctula;Pipistrellus nathusii;Pipistrellus pipistrellus;Pipistrellus pygmaeus;Plecotus auritus/austriacus				Irregular high forest [CCT commercial], had the highest species richness, and highest occupancy rates for most bat species compared with other management comparators.	Mammals	No	No	No	No
Alder_2021	Digital	Journal Article		2021	Alder, D.C., Poore, A., Norrey, J., Newson, S.E., Marsden, S.J.	Irregular silviculture positively influences multiple bat species in a lowland temperate Broadleaf woodland	Forest Ecology and Management	10.1016/j.foreco.2020.118786	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045085022&doi=10.1016%2fj.foreco.2018.04.004&partnerID=40&md5=e3f4dd3866e8be04c88168f82e44eb0b	Changing economics in the 20th century led to losses and fragmentation of semi-natural woodland in Britain and to a reduction in active woodland management with many becoming increasingly neglected, even-aged and with closed canopy. Lack of woodland management is known to contribute to declines in some taxonomic groups, for example birds. However, the response of bats to changes in woodland structure are poorly understood. We compared two measures of bat activity, derived from static acoustic recorders across 120 sample plots in coppice, irregular high forest (uneven-aged, continuous cover) and limited intervention (under-managed, even-aged) management stands, within a large tract of ancient woodland in southern England. Bat species richness was highest in irregular high forest stands, and there were significant differences in occupancy rates for most bat species across stand management types. Coppice recorded low activity of several bat species and irregular high forest showed high occupancy rates, including for Barbastelle Barbastella barbastellus, which is IUCN listed as near threatened. The occupancy rates in stand management types differed for some bat species between mid- and late summer counts, suggesting seasonal variation in habitat use. Within stands, most bat species were associated with opened canopy, lower growing stocks and reduced densities of understorey, and to a lesser extent, with large-girthed trees and presence of deadwood snags. In some cases, species responded to a given habitat variable similarly across the three stand management types, whereas in others, the response differed among stand management types. For example, increased numbers of large-girthed trees benefitted a number of bat species within coppice where these were least common, but not in irregular stands. Irregular silviculture high forest appears to provide many of the structural attributes that positively influence occupancy of several woodland bat species, including Barbastella barbastellus. Â© 2020 Elsevier B.V.	483		118786	Yes	Managed	Stand	3	2015	2	England	Cranborne Chase, Dorset	50.9586989	-2.0823837	Assess whether woodland stand management is associated with bat richness and abundance.	Pairwise comparison silviculture	Stratified	120	Ash	Not Reported	Mixed Age, Mixed Storey	Mixed	Continuous cover		Not reported	Coppiced woodland;Mixed woodland	Sensor	Bats were sampled acoustically during the summer over two periods 24 June – 22 July and 31 July − 2 September 2015 using six Song Meter 3 (SM3) acoustic recorders fitted with a single omnidirectional microphone in 40 sampling plots (a total 120 plots) in each stand type across 26 individual stands	Yes	Yes	No	Yes	No	Yes	Sub-canopy	Barbastella barbastellus;Eptesicus serotinus;Myotis daubentonii;Myotis mystacinus/brandtii;Myotis nattereri;Nyctalus leisleri. ;Nyctalus noctula;Pipistrellus nathusii;Pipistrellus pipistrellus;Pipistrellus pygmaeus;Plecotus auritus/austriacus				Irregular high forest [CCT commercial], had the highest species richness, and highest occupancy rates for most bat species compared with other management comparators.	Mammals	No	No	No	No
Avery_1989	Digital	Journal Article	Avery, M.I., 1989. Effects of upland afforestation on some birds of the adjacent moorlands. Journal of Applied Ecology, pp.957-966.	1989	Avery, M. I.	Effects of upland afforestation on some birds of the adjacent moorlands.	Journal of Applied Ecology	10.2307/2403704	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107937929&doi=10.1098%2frspb.2021.0993&partnerID=40&md5=c374ac82853545b105090ea60fa60109	Bird numbers were estimated on areas adjacent to conifer plantations at 62 sites, each of 640 ha, in three areas of northern Scotland. The results varied between study areas, but some bird species and some vegetation types differed in abundance with distance from the forest edge in some study areas. When the effects of vegetation differences were statistically removed, there were no major effects of forest proximity on the numbers of curlew, red grouse, dunlin and golden plover (the four most numerous species). Differences in vegetation at different distances from plantations, and adjacent to plantations of different ages, might be caused by the growth of trees or changes in management next to afforested land. However, map-derived habitat measures, which cannot have been affected by either tree-planting or management, also differed with plantation age and proximity. The results suggest that there are no edge effects, either positive or negative, of conservation importance for birds around forestry plantations in northern Scotland.	26	3	957-966	Yes	Managed	Stand	2	1986	4	England;Scotland	Sutherland;Caithness;Inverness;Nairn;Moray	58.20606345	-4.217989919	This study examined the possibility that upland forestry plantations may affecthe numbers of birds on adjacent unplanted moorlands.	Pairwise comparison landuse	Stratified	42	Conifer (unspecified)	Not Reported	Not reported	Not reported	Not reported		Not reported	Grassland;Heathland	Morphology	Transects parallel to the forest edge were drawn onto maps at eight equally spaced distances, from 100 m to 1500 m from the forest edge.cover. On visits for recording bird information, four transects were walked by each of two observers, and all birds seen within 100 m of the transect line were recorded, thus covering the whole area of the site.	Yes	Yes	No	No	No	No	Entire habitat	Calidris alpina;Lagopus lagopus scotica;Numenius arquata;Pluvialis apricaria				Predictions for 30%, 60% and 90% of meadow fields (of greater than 20 ha) being converted into woodland were that the number of buzzard territories within the studyregion would decline nonlinearly by 15%, 38% and 74%. Note these predictions do not differentiate between woodland for timber and ohter woodland.	Birds	No	Not applicable	No	No
Avery_1989	Digital	Journal Article	Avery, M.I., 1989. Effects of upland afforestation on some birds of the adjacent moorlands. Journal of Applied Ecology, pp.957-966.	1989	Avery, M. I.	Effects of upland afforestation on some birds of the adjacent moorlands.	Journal of Applied Ecology	10.2307/2403704	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107937929&doi=10.1098%2frspb.2021.0993&partnerID=40&md5=c374ac82853545b105090ea60fa60109	Bird numbers were estimated on areas adjacent to conifer plantations at 62 sites, each of 640 ha, in three areas of northern Scotland. The results varied between study areas, but some bird species and some vegetation types differed in abundance with distance from the forest edge in some study areas. When the effects of vegetation differences were statistically removed, there were no major effects of forest proximity on the numbers of curlew, red grouse, dunlin and golden plover (the four most numerous species). Differences in vegetation at different distances from plantations, and adjacent to plantations of different ages, might be caused by the growth of trees or changes in management next to afforested land. However, map-derived habitat measures, which cannot have been affected by either tree-planting or management, also differed with plantation age and proximity. The results suggest that there are no edge effects, either positive or negative, of conservation importance for birds around forestry plantations in northern Scotland.	26	3	957-966	Yes	Managed	Stand	2	1986	4	England;Scotland	Sutherland;Caithness;Inverness;Nairn;Moray	58.29383174	-3.787815297	This study examined the possibility that upland forestry plantations may affecthe numbers of birds on adjacent unplanted moorlands.	Pairwise comparison landuse	Stratified	42	Conifer (unspecified)	Not Reported	Not reported	Not reported	Not reported		Not reported	Grassland;Heathland	Morphology	Transects parallel to the forest edge were drawn onto maps at eight equally spaced distances, from 100 m to 1500 m from the forest edge.cover. On visits for recording bird information, four transects were walked by each of two observers, and all birds seen within 100 m of the transect line were recorded, thus covering the whole area of the site.	Yes	Yes	No	No	No	No	Entire habitat	Calidris alpina;Lagopus lagopus scotica;Numenius arquata;Pluvialis apricaria				Predictions for 30%, 60% and 90% of meadow fields (of greater than 20 ha) being converted into woodland were that the number of buzzard territories within the studyregion would decline nonlinearly by 15%, 38% and 74%. Note these predictions do not differentiate between woodland for timber and ohter woodland.	Birds	No	Not applicable	No	No
