UID	Source Availability	Reference Type	Citation	Year	Author/Creator	Title	Journal Title/Series Title/Book/Conference	Place Published	Publisher	Thesis - Type of Qualification	Doi	ISSN/ISBN	URL	Volume	Issue	Pages	Abstract/Study Aims	University of Oxford Estate Area(s)	University of Oxford Estate Area(s) Specific	Habitat	Number of Study Sites	Coodinates (DD)	Study Start Date	Study End Date	Study Season(s) (If Applicable)	Biodiversity Measurement Indicator	Biodiversity Measurement (Taxon)	Type of Biodiversity Measurement	Time Series Data Set (2+)	Soil organic carbon
Beck_2022	External	Dataset	Beck, K.B., Firth, J.A., McMahon, K., Croft, S., Cole, E.F., Sheldon, B. (2022). Bird ringing records from Wytham Woods, Oxfordshire, UK during 2020 and 2021. , doi:10.5285/AF4C9B5A-FBA9-4133-B782-2A2CBC927280	2022	Beck, K.B., Firth, J.A., McMahon, K., Croft, S., Cole, E.F., Sheldon, B.	Bird ringing records from Wytham Woods, Oxfordshire, UK during 2020 and 2021					doi:10.5285/AF4C9B5A-FBA9-4133-B782-2A2CBC927280		https://catalogue.ceh.ac.uk/documents/af4c9b5a-fba9-4133-b782-2a2cbc927280				This dataset contains information about the ringing records of mainly great tits, blue tits, marsh tits and coal tits, and a few other bird species. The data were collected in Wytham woods, Oxfordshire, UK during 2020 and 2021, as part of a long-term population monitoring project on the breeding biology and behaviour of birds. During April - June, all unringed breeding pairs were trapped at the nest and fitted with a British Trust for Ornithology (BTO) metal leg ring. Great tits and blue tits were additionally fitted with a plastic leg ring containing a RFID tag (IB Technologies, UK). All nestlings were also fitted with these tags at 2 weeks old. Additional ringing was carried out throughout the autumn and winter across the woodland. Birds were trapped using mistnets; biometrics (mass, wing length, tarsus length, fats score) were recorded for all birds and immigrants to the population were fitted with tags. All birds were released after they were processed. These data were entered into our internal Edward Grey Institute (EGI) Bird data Management Project application (EBMP), where they underwent a number of quality checks. Copyright: This resource is available under the terms of the Open Government Licence	Wytham Estate	Wytham Estate (unspecified)	Woodland	Not reported	51.767046,-1.328857	2020	2021	Not Reported	Birds	Parus major;Cyanistes caeruleuss;Poecile palustriss;Periparus ater	Richness	Yes	No
Beck_2022	External	Dataset	Beck, K.B., Firth, J.A., McMahon, K., Croft, S., Cole, E.F., Sheldon, B. (2022). Bird breeding data for Wytham Woods, Oxfordshire, UK, 2020 and 2021. , doi:10.5285/AE6F821A-35A1-4A37-AF4D-CA7CB1C83A10	2022	Beck, K.B., Firth, J.A., McMahon, K., Croft, S., Cole, E.F., Sheldon, B.	Bird breeding data for Wytham Woods, Oxfordshire, UK, 2020 and 2021					doi:10.5285/AE6F821A-35A1-4A37-AF4D-CA7CB1C83A10						This dataset contains information on the following: nest building, identity of breeding pairs, date when the first egg is laid, number of eggs, hatch date and the number and condition of fledglings for great tits, blue tits, marsh tits and coal tits. The data presented were collected in Wytham Woods, Oxfordshire, UK during April and June in 2020 and 2021 by Keith McMahon, Sam Croft and Kristina Beck, as part of a long-term nestbox project on the breeding biology of birds. The work was supported by the Natural Environment Research Council (Grant NE/S010335/1), The ecology of behavioural contagion in natural systems. During April - June, all nestboxes were visited weekly to obtain records of nest building, the identity of the breeding pair, the date when the first egg is laid, the number of eggs, hatch date, and the number and condition of fledglings. These data were entered into our internal Edward Grey Institute (EGI) Bird data Management Project application (EBMP), where they underwent a number of quality checks. The data provided here were extracted from EBMP. In csv format for deposit into the EIDC. Copyright: This resource is available under the terms of the Open Government Licence	Wytham Estate	Wytham Estate (unspecified)	Woodland	Not reported	51.767046,-1.328857	2020	2021	Not Reported	Birds	Parus major;Cyanistes caeruleuss;Poecile palustriss;Periparus ater	Not Reported	Yes	No
Buesching_2010	Solo (Digital)	Book section	Buesching, C.D., Clarke, J.R., Ellwood, S.A., King, C., Newman, C., Macdonald, D.W. (2010). The Mammals of Wytham Woods. In: Wytham Woods: Oxford's Ecological Laboratory, Savill , P., Perrins, C., Kirby, K., Fisher, N. (Eds.), 173–196. https://doi-org.ezproxy-prd.bodleian.ox.ac.uk/10.1093/acprof:osobl/9780199605187.003.0010	2010	Buesching, C.D., Clarke, J.R., Ellwood, S.A., King, C., Newman, C., Macdonald, D.W.	The Mammals of Wytham Woods	In: Wytham Woods: Oxford'S Ecological Laboratory, Savill , P., Perrins, C., Kirby, K., Fisher, N. (Eds.)	Oxford	Oxford University Press		https://doi-org.ezproxy-prd.bodleian.ox.ac.uk/10.1093/acprof:osobl/9780199605187.003.0010	978-0-19-960518-7 978-0-19-954320-5				173–196	This chapter explores the different field biology studies of mammals living at Wytham Woods. It focuses first on research done on small mammals such as wood mice and voles, and examines their ecology to environmental factors. It emphasizes the 13-year study of Henry Southern concerning the small mammals. It investigates the two mammals' population cycles and looks into D. H. Chitty's hypothesis in the regulation of the size of mammal populations. It discusses the effects of habitat management on mammals and their roles in the ecosystem such as being indicators for agro-pollutants and pesticide residues. It also investigates the ecology of large mammals such as deer, weasels, foxes, badgers, hedgehogs, and squirrels.	Wytham Estate	Wytham Wood (unspecified)	Woodland	1	51.768935,-1.329199	1948	1998	Not Reported	Mammals	Apodemus sylvaticus;Myodes glareolus	Abundance	Yes	No
Beck_2022	External	Dataset	Beck, K.B., Firth, J.A., McMahon, K., Croft, S., Cole, E.F., Sheldon, B. (2022). Recordings of the discovery of novel food patches in common woodland birds in Wytham Woods, Oxfordshire, UK 2021. , doi:10.5285/E250AE89-2E1F-4664-9092-5A8593D50FDF	2022	Beck, K.B., Firth, J.A., McMahon, K., Croft, S., Cole, E.F., Sheldon, B.	Recordings of the discovery of novel food patches in common woodland birds in Wytham Woods, Oxfordshire, UK 2021					doi:10.5285/E250AE89-2E1F-4664-9092-5A8593D50FDF						This dataset contains information about the recordings of great tits, blue tits, marsh tits and nuthatches discovering novel food patches in relation to manipulated local population densities (see 1a4dcbb3-c4fb-4bd4-acb3-d03932de9323). Prior to and during the density manipulation experiment, novel feeders were placed at random locations and the discovery of these was recorded using a Passive Integrated Transponder (PIT) tag attached to each bird and the information recorded using a Radio Frequency Identification (RFID) antenna within the feeder. The experiment took place in Wytham Woods, Oxfordshire, UK between January and March 2021, as part of a study on the effects of ecological factors on social structure and information transmission. Data collection was performed by Keith McMahon, Sam Croft and Kristina Beck. The work was supported by the Natural Environment Research Council (Grant NE/S010335/1), The ecology of behavioural contagion in natural systems. Automated bird feeders were used to collect the described data. Each of the feeders had one access hole with a clear flap and an inbuilt Radio Frequency Identification (RFID) antenna within the perch. All birds equipped with a Passive Integrated Transponder (PIT) tag that landed on the perch were recorded, and the time and date of visits stored on a secure digital (SD) card. Feeders were visited every two to three days, to refill food, check feeder performance and collect data. For the final dataset, erroneous recordings (e.g. entries with a wrong date or tag number) were removed. Data are provided as comma separated value file for deposit into the EIDC. Copyright: This resource is available under the terms of the Open Government Licence	Wytham Estate	Wytham Estate (unspecified)	Woodland	Not reported	51.767046,-1.328857	2020	2021	Not Reported	Birds	Parus major;Cyanistes caeruleuss;Poecile palustriss;Periparus ater	Richness	Yes	No
Beck_2022	External	Dataset	Beck, K.B., Firth, J.A., McMahon, K., Croft, S., Cole, E.F., Sheldon, B. (2022). Local population density of woodland birds from a manipulation experiment in Wytham Woods, Oxfordshire, UK 2021. , doi:10.5285/1A4DCBB3-C4FB-4BD4-ACB3-D03932DE9323	2022	Beck, K.B., Firth, J.A., McMahon, K., Croft, S., Cole, E.F., Sheldon, B.	Local population density of woodland birds from a manipulation experiment in Wytham Woods, Oxfordshire, UK 2021					doi:10.5285/1A4DCBB3-C4FB-4BD4-ACB3-D03932DE9323						This dataset contains information about local population densities of great tits, blue tits, marsh tits and nuthatches from a manipulation experiment. The time, location and bird species were recorded using a Passive Integrated Transponder (PIT) tag attached to each bird and the information recorded using a Radio Frequency Identification (RFID) antenna within the feeder. Population density was manipulated by programming automated feeders to only open for a specific set of individuals (creating low- and high-density treatments). Local population densities were recorded using automated bird feeders at six experimental and two control sites prior to and during the manipulation. The experiment took place in Wytham Woods, Oxfordshire, UK between January and March 2021, as part of a study on the effects of ecological factors on social structure and information transmission. The work was supported by the Natural Environment Research Council (Grant NE/S010335/1, The ecology of behavioural contagion in natural systems.) Automated bird feeders were used to collect the described data. Each of the feeders had one access hole with a clear flap and an inbuilt Radio Frequency Identification (RFID) antenna within the perch. All birds equipped with a Passive Integrated Transponder (PIT) tag that landed on the perch got recorded, and the time and date of visits stored on a Secure Digital (SD) card. The flap can be programmed to open only for specified PIT tagged individuals. This allowed us to manipulate local densities by specifically restricting access to each feeder. Feeders were visited every two to three days, to refill food, check feeder performance and collect data. For the final dataset, erroneous recordings (e.g. entries with a wrong date or tag number) were removed. Data are provided as comma separated value files for deposit into the EIDC. Copyright: This resource is available under the terms of the Open Government Licence	Wytham Estate	Wytham Estate (unspecified)	Woodland	Not reported	51.767046,-1.328857	2020	2021	Not Reported	Birds	Parus major;Cyanistes caeruleuss;Poecile palustriss;Periparus ater	Richness	Yes	No
Falk_2021	External	Report	Falk, S. (2021). The Pollinators of Wytham Woods 2017-2020. , 	2021	Falk, S.	The Pollinators of Wytham Woods 2017-2020			Oxford, Wytham University of Oxford								Between 2017 and 2020, 37 full-day surveys of flower-visiting insects at Wytham Woods, west of Oxford, were carried out using a combination of active sampling and (on most days) simultaneous pan trapping. Surveying has covered the period late March to mid-October. • These visits, and few extra visits by the author and Dr Liam Crowley, University of Oxford, have produced records for 679 flower-visiting taxa, mostly representing verified species but also a few aggregate or indeterminate taxa. The list includes records for 114 species of hoverfly and 94 species of bee and 30 species of butterfly (see associated spreadsheet). • For each taxon at each site visit, the author recorded all flower visits, the observed abundance level and the number of individuals caught in pan traps (see associated spreadsheet). • The list includes records for 59 species currently with national rarity or conservation status, though it should be noted that some of these are now known to be more frequent than their status suggests. • The dataset has produced flower-visiting records for about 130 plant species, revealing the popularity of different plant species to pollinators, the sorts of insects that visit a particular plant species, and the period of the year in which they do this. • The data allows direct comparison of an active survey protocol with a pantrapping protocol designed to run simultaneously using single-day visits of about 7 hours duration. It reveals that pan-trapping is less effective at sampling species richness than active surveying by an experienced entomologist, and that pan trapping produces a very different estimate of the abundance of flower-visiting species present, one that frequently differs from what is observed. • However, the data also show that pan-trapping extended the species list a little and revealed the presence and/or abundance of some species that were not observed during active sampling. Pan-trapping proved to be very effective for recording taxa such as sarcophagid flies and pompilid wasps. It was also relatively good at generating data on cooler, breezier days in the spring. • The data allow assessment of the current condition and ongoing management of Wytham Woods. Pollinators could benefit from improvements in the sequence and abundance of spring-blossoming shrubs plus the widening and scalloping of rides to create sunnier woodland edge and more flowery woodland conditions. [Scarce species only are listed in the current evidence base]	Wytham Estate	Great Wood;Rough Common;Marley Plantation/Marley Wood;Rough Close	Grassland;Woodland		51.77581898,-1.33601966	2017	2020	Autumn;Spring;Summer	Insects	Andrena bucephala ;Andrena fulvago ;Andrena hattorfiana ;Andrena trimmerana ;Auplopus carbonarius ;Blaesoxipha plumicornis Nationally Scarce ;Bombus humilis ;Bombus ruderatus ;Bombus rupestris ;Cadurciella tritaeniata ;Cheilosia barbata ;Cistogaster globosa ;Ctenophora pectinicornis ;Cyrtophlebia ruricola ;Didineis lunicornis ;Dolichovespula media ;Dolichovespula saxonica ;Epistrophe melanostoma ;Eurychaeta palpalis ;Eustalomyia hilaris ;Fannia gotlandica ;Freraea gagatea ;Gorytes laticinctus ;Hebecnema fumosa ;Lasioglossum malachurum ;Lasioglossum pauxillum ;Lasioglossum puncticolle ;Lasioglossum quadrinotatus ;Linnaemyia comta ;Macronychia polyodon ;Macropis europaea ;Mallota cimbiciformis ;Meligramma euchromum ;Merzomyia westermanni ;Microdynerus europaea ;Mydaea anicula ;Myolepta dubia ;Myopa pellucida ;Nomada ferruginatus ;Nomada fucata ;Nomada lathburiana ;Osmia bicolor ;Parasetigena silvestris ;Pocota personata ;Priocnemis hyalinata ;Sarcophaga albiceps ;Sarcophaga subulata ;Satyrium w-album ;Sphecodes crassus ;Sphecodes niger ;Sphecodes rubicundus ;Subclytia rotundiventris ;Thecla betulae ;Thecocarcelia acutangulata ;Thecophora fulvipes ;Tiphia minuta ;Villa cingulata ;Xylota xanthocnema	Diversity;Richness	No	No
Falk_2021	External	Report	Falk, S. (2021). The Pollinators of Wytham Woods 2017-2020. , 	2021	Falk, S.	The Pollinators of Wytham Woods 2017-2020			Oxford, Wytham University of Oxford								Between 2017 and 2020, 37 full-day surveys of flower-visiting insects at Wytham Woods, west of Oxford, were carried out using a combination of active sampling and (on most days) simultaneous pan trapping. Surveying has covered the period late March to mid-October. • These visits, and few extra visits by the author and Dr Liam Crowley, University of Oxford, have produced records for 679 flower-visiting taxa, mostly representing verified species but also a few aggregate or indeterminate taxa. The list includes records for 114 species of hoverfly and 94 species of bee and 30 species of butterfly (see associated spreadsheet). • For each taxon at each site visit, the author recorded all flower visits, the observed abundance level and the number of individuals caught in pan traps (see associated spreadsheet). • The list includes records for 59 species currently with national rarity or conservation status, though it should be noted that some of these are now known to be more frequent than their status suggests. • The dataset has produced flower-visiting records for about 130 plant species, revealing the popularity of different plant species to pollinators, the sorts of insects that visit a particular plant species, and the period of the year in which they do this. • The data allows direct comparison of an active survey protocol with a pantrapping protocol designed to run simultaneously using single-day visits of about 7 hours duration. It reveals that pan-trapping is less effective at sampling species richness than active surveying by an experienced entomologist, and that pan trapping produces a very different estimate of the abundance of flower-visiting species present, one that frequently differs from what is observed. • However, the data also show that pan-trapping extended the species list a little and revealed the presence and/or abundance of some species that were not observed during active sampling. Pan-trapping proved to be very effective for recording taxa such as sarcophagid flies and pompilid wasps. It was also relatively good at generating data on cooler, breezier days in the spring. • The data allow assessment of the current condition and ongoing management of Wytham Woods. Pollinators could benefit from improvements in the sequence and abundance of spring-blossoming shrubs plus the widening and scalloping of rides to create sunnier woodland edge and more flowery woodland conditions. [Scarce species only are listed in the current evidence base]	Wytham Estate	Great Wood;Rough Common;Marley Plantation/Marley Wood;Rough Close	Grassland;Woodland		51.77016748,-1.336839512	2017	2020	Autumn;Spring;Summer	Insects	Andrena bucephala ;Andrena fulvago ;Andrena hattorfiana ;Andrena trimmerana ;Auplopus carbonarius ;Blaesoxipha plumicornis Nationally Scarce ;Bombus humilis ;Bombus ruderatus ;Bombus rupestris ;Cadurciella tritaeniata ;Cheilosia barbata ;Cistogaster globosa ;Ctenophora pectinicornis ;Cyrtophlebia ruricola ;Didineis lunicornis ;Dolichovespula media ;Dolichovespula saxonica ;Epistrophe melanostoma ;Eurychaeta palpalis ;Eustalomyia hilaris ;Fannia gotlandica ;Freraea gagatea ;Gorytes laticinctus ;Hebecnema fumosa ;Lasioglossum malachurum ;Lasioglossum pauxillum ;Lasioglossum puncticolle ;Lasioglossum quadrinotatus ;Linnaemyia comta ;Macronychia polyodon ;Macropis europaea ;Mallota cimbiciformis ;Meligramma euchromum ;Merzomyia westermanni ;Microdynerus europaea ;Mydaea anicula ;Myolepta dubia ;Myopa pellucida ;Nomada ferruginatus ;Nomada fucata ;Nomada lathburiana ;Osmia bicolor ;Parasetigena silvestris ;Pocota personata ;Priocnemis hyalinata ;Sarcophaga albiceps ;Sarcophaga subulata ;Satyrium w-album ;Sphecodes crassus ;Sphecodes niger ;Sphecodes rubicundus ;Subclytia rotundiventris ;Thecla betulae ;Thecocarcelia acutangulata ;Thecophora fulvipes ;Tiphia minuta ;Villa cingulata ;Xylota xanthocnema	Diversity;Richness	No	No
Falk_2021	External	Report	Falk, S. (2021). The Pollinators of Wytham Woods 2017-2020. , 	2021	Falk, S.	The Pollinators of Wytham Woods 2017-2020			Oxford, Wytham University of Oxford								Between 2017 and 2020, 37 full-day surveys of flower-visiting insects at Wytham Woods, west of Oxford, were carried out using a combination of active sampling and (on most days) simultaneous pan trapping. Surveying has covered the period late March to mid-October. • These visits, and few extra visits by the author and Dr Liam Crowley, University of Oxford, have produced records for 679 flower-visiting taxa, mostly representing verified species but also a few aggregate or indeterminate taxa. The list includes records for 114 species of hoverfly and 94 species of bee and 30 species of butterfly (see associated spreadsheet). • For each taxon at each site visit, the author recorded all flower visits, the observed abundance level and the number of individuals caught in pan traps (see associated spreadsheet). • The list includes records for 59 species currently with national rarity or conservation status, though it should be noted that some of these are now known to be more frequent than their status suggests. • The dataset has produced flower-visiting records for about 130 plant species, revealing the popularity of different plant species to pollinators, the sorts of insects that visit a particular plant species, and the period of the year in which they do this. • The data allows direct comparison of an active survey protocol with a pantrapping protocol designed to run simultaneously using single-day visits of about 7 hours duration. It reveals that pan-trapping is less effective at sampling species richness than active surveying by an experienced entomologist, and that pan trapping produces a very different estimate of the abundance of flower-visiting species present, one that frequently differs from what is observed. • However, the data also show that pan-trapping extended the species list a little and revealed the presence and/or abundance of some species that were not observed during active sampling. Pan-trapping proved to be very effective for recording taxa such as sarcophagid flies and pompilid wasps. It was also relatively good at generating data on cooler, breezier days in the spring. • The data allow assessment of the current condition and ongoing management of Wytham Woods. Pollinators could benefit from improvements in the sequence and abundance of spring-blossoming shrubs plus the widening and scalloping of rides to create sunnier woodland edge and more flowery woodland conditions. [Scarce species only are listed in the current evidence base]	Wytham Estate	Great Wood;Rough Common;Marley Plantation/Marley Wood;Rough Close	Grassland;Woodland		51.76190392,-1.3003382	2017	2020	Autumn;Spring;Summer	Insects	Andrena bucephala ;Andrena fulvago ;Andrena hattorfiana ;Andrena trimmerana ;Auplopus carbonarius ;Blaesoxipha plumicornis Nationally Scarce ;Bombus humilis ;Bombus ruderatus ;Bombus rupestris ;Cadurciella tritaeniata ;Cheilosia barbata ;Cistogaster globosa ;Ctenophora pectinicornis ;Cyrtophlebia ruricola ;Didineis lunicornis ;Dolichovespula media ;Dolichovespula saxonica ;Epistrophe melanostoma ;Eurychaeta palpalis ;Eustalomyia hilaris ;Fannia gotlandica ;Freraea gagatea ;Gorytes laticinctus ;Hebecnema fumosa ;Lasioglossum malachurum ;Lasioglossum pauxillum ;Lasioglossum puncticolle ;Lasioglossum quadrinotatus ;Linnaemyia comta ;Macronychia polyodon ;Macropis europaea ;Mallota cimbiciformis ;Meligramma euchromum ;Merzomyia westermanni ;Microdynerus europaea ;Mydaea anicula ;Myolepta dubia ;Myopa pellucida ;Nomada ferruginatus ;Nomada fucata ;Nomada lathburiana ;Osmia bicolor ;Parasetigena silvestris ;Pocota personata ;Priocnemis hyalinata ;Sarcophaga albiceps ;Sarcophaga subulata ;Satyrium w-album ;Sphecodes crassus ;Sphecodes niger ;Sphecodes rubicundus ;Subclytia rotundiventris ;Thecla betulae ;Thecocarcelia acutangulata ;Thecophora fulvipes ;Tiphia minuta ;Villa cingulata ;Xylota xanthocnema	Diversity;Richness	No	No
Falk_2021	External	Report	Falk, S. (2021). The Pollinators of Wytham Woods 2017-2020. , 	2021	Falk, S.	The Pollinators of Wytham Woods 2017-2020			Oxford, Wytham University of Oxford								Between 2017 and 2020, 37 full-day surveys of flower-visiting insects at Wytham Woods, west of Oxford, were carried out using a combination of active sampling and (on most days) simultaneous pan trapping. Surveying has covered the period late March to mid-October. • These visits, and few extra visits by the author and Dr Liam Crowley, University of Oxford, have produced records for 679 flower-visiting taxa, mostly representing verified species but also a few aggregate or indeterminate taxa. The list includes records for 114 species of hoverfly and 94 species of bee and 30 species of butterfly (see associated spreadsheet). • For each taxon at each site visit, the author recorded all flower visits, the observed abundance level and the number of individuals caught in pan traps (see associated spreadsheet). • The list includes records for 59 species currently with national rarity or conservation status, though it should be noted that some of these are now known to be more frequent than their status suggests. • The dataset has produced flower-visiting records for about 130 plant species, revealing the popularity of different plant species to pollinators, the sorts of insects that visit a particular plant species, and the period of the year in which they do this. • The data allows direct comparison of an active survey protocol with a pantrapping protocol designed to run simultaneously using single-day visits of about 7 hours duration. It reveals that pan-trapping is less effective at sampling species richness than active surveying by an experienced entomologist, and that pan trapping produces a very different estimate of the abundance of flower-visiting species present, one that frequently differs from what is observed. • However, the data also show that pan-trapping extended the species list a little and revealed the presence and/or abundance of some species that were not observed during active sampling. Pan-trapping proved to be very effective for recording taxa such as sarcophagid flies and pompilid wasps. It was also relatively good at generating data on cooler, breezier days in the spring. • The data allow assessment of the current condition and ongoing management of Wytham Woods. Pollinators could benefit from improvements in the sequence and abundance of spring-blossoming shrubs plus the widening and scalloping of rides to create sunnier woodland edge and more flowery woodland conditions. [Scarce species only are listed in the current evidence base]	Wytham Estate	Great Wood;Rough Common;Marley Plantation/Marley Wood;Rough Close	Grassland;Woodland		51.76928597,-1.338556526	2017	2020	Autumn;Spring;Summer	Insects	Andrena bucephala ;Andrena fulvago ;Andrena hattorfiana ;Andrena trimmerana ;Auplopus carbonarius ;Blaesoxipha plumicornis Nationally Scarce ;Bombus humilis ;Bombus ruderatus ;Bombus rupestris ;Cadurciella tritaeniata ;Cheilosia barbata ;Cistogaster globosa ;Ctenophora pectinicornis ;Cyrtophlebia ruricola ;Didineis lunicornis ;Dolichovespula media ;Dolichovespula saxonica ;Epistrophe melanostoma ;Eurychaeta palpalis ;Eustalomyia hilaris ;Fannia gotlandica ;Freraea gagatea ;Gorytes laticinctus ;Hebecnema fumosa ;Lasioglossum malachurum ;Lasioglossum pauxillum ;Lasioglossum puncticolle ;Lasioglossum quadrinotatus ;Linnaemyia comta ;Macronychia polyodon ;Macropis europaea ;Mallota cimbiciformis ;Meligramma euchromum ;Merzomyia westermanni ;Microdynerus europaea ;Mydaea anicula ;Myolepta dubia ;Myopa pellucida ;Nomada ferruginatus ;Nomada fucata ;Nomada lathburiana ;Osmia bicolor ;Parasetigena silvestris ;Pocota personata ;Priocnemis hyalinata ;Sarcophaga albiceps ;Sarcophaga subulata ;Satyrium w-album ;Sphecodes crassus ;Sphecodes niger ;Sphecodes rubicundus ;Subclytia rotundiventris ;Thecla betulae ;Thecocarcelia acutangulata ;Thecophora fulvipes ;Tiphia minuta ;Villa cingulata ;Xylota xanthocnema	Diversity;Richness	No	No
Kirby_2010	Solo (Digital)	Book section	Kirby, K.J., Morecroft, M.D. (2010). The flowers of the forest. In: Wytham Woods: Oxford's Ecological Laboratory, Savill , P., Perrins, C., Kirby, K., Fisher, N. (Eds.), 75-90. https://doi-org.ezproxy-prd.bodleian.ox.ac.uk/10.1093/acprof:osobl/9780199605187.003.0006	2010	Kirby, K.J., Morecroft, M.D.	The flowers of the forest	In: Wytham Woods: Oxford'S Ecological Laboratory, Savill , P., Perrins, C., Kirby, K., Fisher, N. (Eds.)	Oxford	Oxford University Press		https://doi-org.ezproxy-prd.bodleian.ox.ac.uk/10.1093/acprof:osobl/9780199605187.003.0006	978-0-19-960518-7 978-0-19-954320-5				75-90	This chapter studies the patterns and behaviours of flowers thriving in the woodlands. It describes the flora distribution and vegetation patterns in the woodlands, and looks into recent changes in the flora as a result of the changing environment and other external factors. It presents information gathered from various studies of the common flower types, and discusses some of the changes such as the overall decline in species richness and the effects of increased nitrogen deposition. It also highlights the vital role of shade in species richness and the relationship of deer grazing and species richness.	Wytham Estate	Wytham Wood (unspecified)	Woodland	1	51.768935,-1.329199	1974	1999	Not Reported	Vascular plants	Brachypodium sylvaticum; Carex pendula; Carex sylvatica; Chamaerion angustifolium; Circaea lutetiana; Deschampsia cespitosa; Epilobium montanum; Galium aparine; Glechoma hederacea; Hyacinthoides non-scripta; Heracleum sphondylium; Mercurialis perennis; Poa trivialis; Paqu Pteridium aquilinum; Rubus fruticosus; Rumex spp; Urtica dioica	Abundance	Yes	No
