ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	LatDD	LonDD	Rural/Urban/Peri-Urban	Sample Size (n)	Is the Study about Cooking Sector?	Program Focus	Start Date of Intervention/Program	Study Start Date	Study Duration (Years)	Years Since Intervention (Sustainability Measure)	Synthesis Paper	Missing Data	"If Yes, Is There Accountability?"	Is Secondary Data Used?	Independently Measured Outcomes	Measured Outcomes - Social	Measured Outcomes - Economic	Measured Outcomes - Environmental	Drivers/Barriers Data Present?	Characteristics of Setting - Drivers	Characteristics of Setting - Barriers	"Knowledge and Perception, Information - Drivers"	"Knowledge and Perception, Information - Barriers"	Technology Characteristics - Drivers	Technology Characteristics - Barriers	"Financial, Tax and Subsidy Aspects - Drivers"	"Financial, Tax and Subsidy Aspects - Barriers"	"Regulation, Legislation and Standards - Drivers"	"Regulation, Legislation and Standards - Barriers"	Market Development - Drivers	Market Development - Barriers	Programmatic and Policy Mechanisms - Drivers	Programmatic and Policy Mechanisms - Barriers	Other - Drivers	Other - Barriers	Poverty - Drivers	Poverty - Barriers	Gender - Drivers	Gender - Barriers
3	Journal Article	2014	"Zhang, S.; Andrews-Speed, P.; Ji, M."	The erratic path of the low-carbon transition in China: Evolution of solar PV policy	Energy Policy	0301-4215	https://doi.org/10.1016/j.enpol.2013.12.063	http://www.sciencedirect.com/science/article/pii/S030142151301327X; https://www.sciencedirect.com/science/article/pii/S030142151301327X?via%3Dihub	"The last twenty years have seen the growth of both solar PV manufacturing capacity and deployment in China, yet this growth has followed a very erratic path. This study applies the concept of socio-technical regime to identify factors which have made this path so erratic. We examine four stages in China's solar PV policy from mid-1990s to 2013 and show that each is characterized by different combinations of policy program. These changes in government policy and in the resultant trajectory of the solar PV sector are attributed to three main sets of variables. The most important of these are events which shape the wider policy priorities of China's government. Secondary factors include the government's poor management of the policy interaction between the domestic solar PV manufacturing industry and the deployment of solar PV across the country, as well as policy learning within government. The general lesson from this study is that the development path of a single element of a national strategy for the low-carbon transition is likely to be erratic, subject as it is to a range of political and economic forces, and to experimentation and learning."	67		903-912	Solar PV; China; Low-carbon transition	China	39.9390731	116.1172814	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
10	Journal Article	2019	"Yasmin, N.; Grundmann, P."	Adoption and diffusion of renewable energy - The case of biogas as alternative fuel for cooking in Pakistan	Renewable & Sustainable Energy Reviews	1364-0321	10.1016/j.rser.2018.10.011	https://www.sciencedirect.com/science/article/abs/pii/S1364032118307111?via%3Dihub	"Alternative energy technologies such as biogas are being promoted, but despite the significant potential and efforts to implement these technologies, only small numbers of households have succeeded in the transition towards these alternative energy sources. Moreover, sustainability and the functionality of alternative energy technologies remain unknown. The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan and access the impact of biogas technology adoption on income, crop productivity and fuel consumption and drudgery. The study has also scrutinized the factors affecting the continuity of the biogas plants. Our analysis adds to the limited literature of adoption of biogas and the transition towards alternative fuel sources in the Global South. A multistage sampling procedure was used to collect data from 630 biogas adopters and non-adopters from three districts of Punjab. The empirical results from logit model and propensity score matching approach indicate that the older, wealthy farmers are more likely to adopt biogas technology. Cook's education, structure of house, location of kitchen and access to credit institutions also play positive role in this process. Poor operational methods, lack of maintenance and training facilities were the main reasons for the functional failure of existing plants and reason for the discontinuation. Moreover, biogas adoption has positive and significant impact on income and crop revenues and has negative impact on fuelwood expenditures and collection time. Due to the multidimensional nature of the problem, a comprehensive remedial approach addressing the socio-technical factors identified in the study and considering all stakeholders' cooperation could solve the existing lock-in situation in the ongoing implementation of biogas production and the transition towards alternative fuel sources."	101		255-264	Energy transition; Adoption; Biogas; Impact assessment; Pakistan; TECHNOLOGY ADOPTION; HOUSEHOLD BIOGAS; RURAL HOUSEHOLDS; IMPACT; CROP; DETERMINANT; BARRIERS; TIGRAY; HEALTH; FUTURE	Pakistan	33.58	71.65	Rural	624	Y	Energy - Fuel Transition	1970	2014	0.1	8	N	Y	Y	N	Economic		Cost Saving [Improved]		Drivers and Barriers	"Biogas adopters had significantly greater monthly income and expenditure than those who had not adopted biogas. Moreover, adopters also had more residential and agricultural land as compared to non-adopters. Households with biogas plants had significantly greater amounts of dung and had more animals. Those who had more land were more likely to adopt biogas technology as compared to those who had less land. Kitchen location."	The more older households do not want to switch to modern sources of fuel	Majority of the people received their information from friends and relatives rather than from government advertising. It shows that the government is less effective in the information dissemination process than the other sources.			Households who had fuelwood as the only source of fuel for cooking at home were more likely to adopt biogas as compared to those who had other substitutes like LPG and natural gas.			Subsidy awarded to those households who have at least one cow/buffalo and one acre of land holdings.						Distance from bank showed significant but negative impact on the biogas technology adoption. Slurry used as fertilizer.				The reduction in time spent in the collection of fuelwood reduce the drudgery especially of women and promote gender equality.	
10	Journal Article	2019	"Yasmin, N.; Grundmann, P."	Adoption and diffusion of renewable energy - The case of biogas as alternative fuel for cooking in Pakistan	Renewable & Sustainable Energy Reviews	1364-0321	10.1016/j.rser.2018.10.011	https://www.sciencedirect.com/science/article/abs/pii/S1364032118307111?via%3Dihub	"Alternative energy technologies such as biogas are being promoted, but despite the significant potential and efforts to implement these technologies, only small numbers of households have succeeded in the transition towards these alternative energy sources. Moreover, sustainability and the functionality of alternative energy technologies remain unknown. The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan and access the impact of biogas technology adoption on income, crop productivity and fuel consumption and drudgery. The study has also scrutinized the factors affecting the continuity of the biogas plants. Our analysis adds to the limited literature of adoption of biogas and the transition towards alternative fuel sources in the Global South. A multistage sampling procedure was used to collect data from 630 biogas adopters and non-adopters from three districts of Punjab. The empirical results from logit model and propensity score matching approach indicate that the older, wealthy farmers are more likely to adopt biogas technology. Cook's education, structure of house, location of kitchen and access to credit institutions also play positive role in this process. Poor operational methods, lack of maintenance and training facilities were the main reasons for the functional failure of existing plants and reason for the discontinuation. Moreover, biogas adoption has positive and significant impact on income and crop revenues and has negative impact on fuelwood expenditures and collection time. Due to the multidimensional nature of the problem, a comprehensive remedial approach addressing the socio-technical factors identified in the study and considering all stakeholders' cooperation could solve the existing lock-in situation in the ongoing implementation of biogas production and the transition towards alternative fuel sources."	101		255-264	Energy transition; Adoption; Biogas; Impact assessment; Pakistan; TECHNOLOGY ADOPTION; HOUSEHOLD BIOGAS; RURAL HOUSEHOLDS; IMPACT; CROP; DETERMINANT; BARRIERS; TIGRAY; HEALTH; FUTURE	Pakistan	32.055	72.63	Rural	624	Y	Energy - Fuel Transition	1970	2014	0.1	8	N	Y	Y	N	Economic		Cost Saving [Improved]		Drivers and Barriers	"Biogas adopters had significantly greater monthly income and expenditure than those who had not adopted biogas. Moreover, adopters also had more residential and agricultural land as compared to non-adopters. Households with biogas plants had significantly greater amounts of dung and had more animals. Those who had more land were more likely to adopt biogas technology as compared to those who had less land. Kitchen location."	The more older households do not want to switch to modern sources of fuel	Majority of the people received their information from friends and relatives rather than from government advertising. It shows that the government is less effective in the information dissemination process than the other sources.			Households who had fuelwood as the only source of fuel for cooking at home were more likely to adopt biogas as compared to those who had other substitutes like LPG and natural gas.			Subsidy awarded to those households who have at least one cow/buffalo and one acre of land holdings.						Distance from bank showed significant but negative impact on the biogas technology adoption. Slurry used as fertilizer.				The reduction in time spent in the collection of fuelwood reduce the drudgery especially of women and promote gender equality.	
10	Journal Article	2019	"Yasmin, N.; Grundmann, P."	Adoption and diffusion of renewable energy - The case of biogas as alternative fuel for cooking in Pakistan	Renewable & Sustainable Energy Reviews	1364-0321	10.1016/j.rser.2018.10.011	https://www.sciencedirect.com/science/article/abs/pii/S1364032118307111?via%3Dihub	"Alternative energy technologies such as biogas are being promoted, but despite the significant potential and efforts to implement these technologies, only small numbers of households have succeeded in the transition towards these alternative energy sources. Moreover, sustainability and the functionality of alternative energy technologies remain unknown. The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan and access the impact of biogas technology adoption on income, crop productivity and fuel consumption and drudgery. The study has also scrutinized the factors affecting the continuity of the biogas plants. Our analysis adds to the limited literature of adoption of biogas and the transition towards alternative fuel sources in the Global South. A multistage sampling procedure was used to collect data from 630 biogas adopters and non-adopters from three districts of Punjab. The empirical results from logit model and propensity score matching approach indicate that the older, wealthy farmers are more likely to adopt biogas technology. Cook's education, structure of house, location of kitchen and access to credit institutions also play positive role in this process. Poor operational methods, lack of maintenance and training facilities were the main reasons for the functional failure of existing plants and reason for the discontinuation. Moreover, biogas adoption has positive and significant impact on income and crop revenues and has negative impact on fuelwood expenditures and collection time. Due to the multidimensional nature of the problem, a comprehensive remedial approach addressing the socio-technical factors identified in the study and considering all stakeholders' cooperation could solve the existing lock-in situation in the ongoing implementation of biogas production and the transition towards alternative fuel sources."	101		255-264	Energy transition; Adoption; Biogas; Impact assessment; Pakistan; TECHNOLOGY ADOPTION; HOUSEHOLD BIOGAS; RURAL HOUSEHOLDS; IMPACT; CROP; DETERMINANT; BARRIERS; TIGRAY; HEALTH; FUTURE	Pakistan	31.456888	73.135297	Rural	624	Y	Energy - Fuel Transition	1970	2014	0.1	8	N	Y	Y	N	Economic		Cost Saving [Improved]		Drivers and Barriers	"Biogas adopters had significantly greater monthly income and expenditure than those who had not adopted biogas. Moreover, adopters also had more residential and agricultural land as compared to non-adopters. Households with biogas plants had significantly greater amounts of dung and had more animals. Those who had more land were more likely to adopt biogas technology as compared to those who had less land. Kitchen location."	The more older households do not want to switch to modern sources of fuel	Majority of the people received their information from friends and relatives rather than from government advertising. It shows that the government is less effective in the information dissemination process than the other sources.			Households who had fuelwood as the only source of fuel for cooking at home were more likely to adopt biogas as compared to those who had other substitutes like LPG and natural gas.			Subsidy awarded to those households who have at least one cow/buffalo and one acre of land holdings.						Distance from bank showed significant but negative impact on the biogas technology adoption. Slurry used as fertilizer.				The reduction in time spent in the collection of fuelwood reduce the drudgery especially of women and promote gender equality.	
13.1	Journal Article	2012	"Yadoo, A.; Cruickshank, H."	"The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya"	Energy Policy	0301-4215	http://dx.doi.org/10.1016/j.enpol.2011.12.029	http://www.sciencedirect.com/science/article/pii/S0301421511010354; https://www.sciencedirect.com/science/article/pii/S0301421511010354?via%3Dihub	"As a potential poverty reduction and climate change strategy, this paper considers the advantages and disadvantages of using renewable energy technologies for rural electrification in developing countries. Although each case must be considered independently, given a reliable fuel source, renewable energy mini-grids powered by biomass gasifiers or micro-hydro plants appear to be the favoured option due to their lower levelised costs, provision of AC power, potential to provide a 24 h service and ability to host larger capacity systems that can power a wide range of electricity uses. Sustainability indicators are applied to three case studies in order to explore the extent to which sustainable welfare benefits can be created by renewable energy mini-grids. Policy work should focus on raising awareness about renewable energy mini-grids, improving institutional, technical and regulatory frameworks and developing innovative financing mechanisms to encourage private sector investments. Establishing joint technology and community engagement training centres should also be encouraged."	42		591-602	case studies; climate change; electricity; energy sources; renewable energy; sustainability	Nepal	27.57	85.81	Rural	239	N	Energy - Electrification	2000	2009	1	9	N	NA			Social and Economic and Environmental	Education [Improved]; Human Health and Wellbeing [Improved]; Time Savings [Improved]	Cost Saving [Improved]; Employment [Improved]	Environmental Pollution [Improved]	Drivers	User financial contributions were not found to be as influential as the community mobilisation process with regard to generating local buy-in and commitment for a project																			
13.2	Journal Article	2012	"Yadoo, A.; Cruickshank, H."	"The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya"	Energy Policy	0301-4215	http://dx.doi.org/10.1016/j.enpol.2011.12.029	http://www.sciencedirect.com/science/article/pii/S0301421511010354; https://www.sciencedirect.com/science/article/pii/S0301421511010354?via%3Dihub	"As a potential poverty reduction and climate change strategy, this paper considers the advantages and disadvantages of using renewable energy technologies for rural electrification in developing countries. Although each case must be considered independently, given a reliable fuel source, renewable energy mini-grids powered by biomass gasifiers or micro-hydro plants appear to be the favoured option due to their lower levelised costs, provision of AC power, potential to provide a 24 h service and ability to host larger capacity systems that can power a wide range of electricity uses. Sustainability indicators are applied to three case studies in order to explore the extent to which sustainable welfare benefits can be created by renewable energy mini-grids. Policy work should focus on raising awareness about renewable energy mini-grids, improving institutional, technical and regulatory frameworks and developing innovative financing mechanisms to encourage private sector investments. Establishing joint technology and community engagement training centres should also be encouraged."	42		591-602	case studies; climate change; electricity; energy sources; renewable energy; sustainability	Peru	-5.2918	-79.1595	Rural	218	N	Energy - Electrification	2000	2009	1	9	N	NA			Social 	Safety [Improved]; Leisure [Improved]; Human Health and Wellbeing [Improved]; Education [Improved]			Drivers	User financial contributions were not found to be as influential as the community mobilisation process with regard to generating local buy-in and commitment for a project																			
13.3	Journal Article	2012	"Yadoo, A.; Cruickshank, H."	"The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya"	Energy Policy	0301-4215	http://dx.doi.org/10.1016/j.enpol.2011.12.029	http://www.sciencedirect.com/science/article/pii/S0301421511010354; https://www.sciencedirect.com/science/article/pii/S0301421511010354?via%3Dihub	"As a potential poverty reduction and climate change strategy, this paper considers the advantages and disadvantages of using renewable energy technologies for rural electrification in developing countries. Although each case must be considered independently, given a reliable fuel source, renewable energy mini-grids powered by biomass gasifiers or micro-hydro plants appear to be the favoured option due to their lower levelised costs, provision of AC power, potential to provide a 24 h service and ability to host larger capacity systems that can power a wide range of electricity uses. Sustainability indicators are applied to three case studies in order to explore the extent to which sustainable welfare benefits can be created by renewable energy mini-grids. Policy work should focus on raising awareness about renewable energy mini-grids, improving institutional, technical and regulatory frameworks and developing innovative financing mechanisms to encourage private sector investments. Establishing joint technology and community engagement training centres should also be encouraged."	42		591-602	case studies; climate change; electricity; energy sources; renewable energy; sustainability	Kenya	-0.683333	37.35	Rural	180	N	Energy - Electrification	2005	2009	1	4	N	NA			Social and Economic	Safety [Worsened]	Cost Saving [No Change]		Drivers and Barriers	User financial contributions were not found to be as influential as the community mobilisation process with regard to generating local buy-in and commitment for a project							"Insufficient financing prevented technicians from investing in higher cost components and conducting better quality repairs, which prevented the service from having a greater development impact"						"Lack of management transparency led to manipulation, corruption and breakdown of dissemination"						
24	Journal Article	2015	"Wik, M.; Wei, T.Y.; Korneliussen, K.; Zhang, R.; Glomsrod, S.; Shi, Q. H."	Drivers behind energy consumption by rural households in Shanxi	Aims Energy	2333-8326	10.3934/energy.2015.4.576	https://www.aimspress.com/article/10.3934/energy.2015.4.576	"Biomass is widely used by households for cooking and heating in rural China. Along with rapid economic growth over the last three decades, increasing rural households tend to use less biomass and more commercial energy such as coal and electricity. In this paper, we analyzed the key drivers behind energy consumption and switching by rural households based on survey data of energy consumption by rural households in ten villages of Shanxi province in China. Our econometric results show that income growth can induce less use of biomass and more use of coal and modern fuels. However, no evidence shows that even wealthy households has abandoned biomass use in Shanxi, mainly due to the ""free"" access to land and agricultural resources in these villages. Previous wealth of a household represented by house value can lead to more time spent on biomass collection. Access to land resources has positive effects on biomass use and collection. Other key variables include education, household size, the number of elderly members, and coal price. We also find huge differences between villages, indicating the importance of access to agricultural resources and markets."	3	4	576-591	Energy transition; Energy ladder; Energy stacking; Biomass; Rural; households; China	China	37.916276	112.573443	Rural	954	Y	Energy - Other					N				NR 				Neither																				
25.1	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. √´¬© 2014, √´¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	54.73	-6.21	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
25.2	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ¬© 2014, ¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	52.45	-1.88	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
