study	country of data collection	LatDD	LonDD	Year of publication	coastal (coastal = up to 10km from coast or large lake)	elevation	rainfall (mm)	rural-urban	forest (type) accessed?	distance to forest	market access	forest tenure	"Scale of study: local, regional or national, int'l"	study sites (total number of sites included in analysis)	sample size at each study site(eg number of interviews or focus groups)	"sample unit (person, household, focus group)"	Length of data collection (months)	Qualitative or quantiative	method	is food security assessed	is nutrition security assessed	is income assessed	food security outcome through engagement in:	main ntfp assessed	gender	Effect of Gender	short interpretation of effect
"Angelsen, A., P. Jagger, R. Babigumira, B. Belcher, N. J. Hogarth, S. Bauch, J. Boerner, C. Smith-Hall and S. Wunder (2014). Environmental Income and Rural Livelihoods: A Global-Comparative Analysis. World Development 64: S12-S28."	Global	0	0	2014	NR	NR	NR	rural	natural-plantation-agroforestry	NR	NR	NR	multiple sites in multiple countries	333	7978	household	12	quantitative	quantitative questionnaire	no	no	yes	mix	mix	gender of household head	Positive	"Female-headed households (about 11% of our sample) have lower absolute incomes, and also lower forest reliance. Although significant, the magnitude of the variable is rather small: all things being equal, female-headed households have 0.9 percentage points lower forest reliance compared to male-headed households. We note, however, that the negative effect is higher for forest income than for environmental in- come (and the coefficient is not significant for environmental reliance), suggesting that non-forest environmental income is relatively more accessible and/or attractive to female-headed households, as compared to forest income."
"Asfaw, A., M. Lemenih, H. Kassa and Z. Ewnetu (2013). Importance, determinants and gender dimensions of forest income in eastern highlands of Ethiopia: The case of communities around Jelo Afromontane forest. Forest Policy and Economics 28: 1-7."	Ethiopia	9.5000726	41.7513447	2013	no	high	577	rural	natural	NR	good	NR	multiple sites nearby	6	90	household	5	mixed methods	mix	no	no	yes	trading	mix	men-women & male-female hh	Neutral/Mixed	"The mean forest income generated by female headed and male headed households was Birr 8053 and Birr 10,840, respectively. Though forest income in absolute value was high for male headed households, its relative importance to total household income was much higher for female headed households (58.2%) than male headed Households (29%). The gender dimension of forest income was also apparent within the household. The forest income generated by female members (Birr 2341 or 77% of the total household forest income) varied significantly from the amount generated by male members. The income generated by female members was almost four times greater than the amount generated by male members, which was Birr 566 or 23% of the total household forest income. Female members were involved mainly in firewood collection and to a certain extent in cutting and carrying grass for livestock feed. About 81.5% of firewood collection task was accomplished by female members of the household only, whereas males only and both male and female members undertook respectively, 2.5% and 16% of the firewood collection tasks conducted by a household. About 96.2% and 3.8% of the income from firewood and 5.3% and 94.7% of income from grass were generated by female and male household members, respectively. The contribution of male members were more pronounced for incomes from wood for construction and farm implements, forest seeds, medicinal plants and honey"
"Babulo, B., B. Muys, F. Nega, E. Tollens, J. Nyssen, J. Deckers and E. Mathijs (2008). Household Livelihood Strategies and Forest Dependence in the Highlands of Tigray, Northern Ethiopia. Agricultural Systems 98(2): 147."	Ethiopia	13.5706165	37.0998152	2008	no	high	NR	rural	NR	NR	NR	NR	multiple sites nearby	12	360	household	3	quantitative	quantitative questionnaire	no	no	yes	unspecified income share	mix	gender of household head	Positive	"Comparing the households in the LS #4 category (i.e., households whose share of income from forest sources exceeds 60% of the total income) with the other clusters, on average, the number of female-headed households is the highest (50% of the households are headed by females). Female-headed households are more likely to engage in the collection of forest environmental products than in other Strategies."
"Becker, L. C. (2000). Garden Money Buys Grain: Food Procurement Patterns in a Malian Village. Human Ecology 28(2): 219-250."	Mali	12.6127496	-8.0655531	2000	no	NR	941	rural	natural	inside forest	low	mix	single site	1	26	household	9	quantitative	mix	no	no	yes	trading	charcoal-firewood	"men-women, ie not gender of household head"	Negative	"Men clearly dominated income derived from the production and sale of fresh produce, while only women earned
from the production and sale of shea butter and gained more from fuelwood sales than men."
"Cavendish, W. (2000). Empirical regularities in the poverty-environment relationship of rural households: Evidence from Zimbabwe. World Development 28(11): 1979-2003."	Zimbabwe	-18.9968841	26.909101	2000	no	NR	546	rural	NR	NR	NR	commons	multiple sites nearby	29	197	household	24	quantitative	quantitative questionnaire	no	no	yes	mix	mix	gender of household head	Negative	"gender of the household head had a strong effect on environmental income (including forest income) reliance and also varied strongly among different types of female headed households (de-iure, defacto, widowed etc) creating a mixed effect"
"Chukwuone, N. A. and C. A. Okeke (2012). Can non-wood forest products be used in promoting household food security?: Evidence from savannah and rain forest regions of Southern Nigeria. Forest Policy and Economics 25: 1-9."	Nigeria	5.7864408	8.0971879	2012	no	NR	NR	rural	NR	NR	NR	NR	multiple sites in different districts of same country	20	400	household	NR	quantitative	quantitative questionnaire	no	no	no	consumption	mix	gender of household head	Neutral/Mixed	gender of the household head had no effect on the proportion of household food derived from forest resources
"Chukwuone, N. A. and C. A. Okeke (2012). Can non-wood forest products be used in promoting household food security?: Evidence from savannah and rain forest regions of Southern Nigeria. Forest Policy and Economics 25: 1-9."	Nigeria	6.4583714	7.5441998	2012	no	NR	NR	rural	NR	NR	NR	NR	multiple sites in different districts of same country	20	400	household	NR	quantitative	quantitative questionnaire	no	no	no	consumption	mix	gender of household head	Neutral/Mixed	gender of the household head had no effect on the proportion of household food derived from forest resources
"Das, N. (2011). Can gender-sensitive forestry programmes increase women's income? Lessons from a forest fringe community in an Indian province. Rural Society 20(2): 160-173."	India	23.2291995	87.0455363	2011	no	NR	NR	NR	NR	NR	NR	NR	multiple sites nearby	5	NR	NA	NR	mixed methods	mix	no	no	yes	NR	mix	"Female only vs mixed forest protection committees. Female FPC derived 57 of income from NTFPs, while mixed FPCs derived 41% of income from NTFPs"	Positive	"Table 2 shows women’s contribution to family income for JFM villages significantly increased after the JFM scenario. After JFM, women in landless and marginal landholding families in the female FPC villages were the major contributor to their family income (on average around 54 percent in contrast with 21 per cent in the pre-JFM scenario and 37 per cent in the joint FPC villages after JFM scenario). This income was received from forest sources. In contrast, the contribution of women in non-JFM villages decreased over time."
"Gatiso, T. T. and T. Wossen (2014). Forest dependence and income inequality in rural Ethiopia: evidence from Chilimo-Gaji community forest users. International Journal of Sustainable Development and World Ecology."	Ethiopia	9.0248278	38.1399952	2015	no	high	1225	rural	natural	adjacent to forest	good	commons	multiple sites nearby	NR	190	household	3	mixed methods	mix	no	no	yes	trading	mix	"men-women, ie not gender of household head"	Neutral/Mixed	gender of respondent had no significant effect on total and proportional income derived from forests
"Hegde, R. and T. Enters (2000). Forest products and household economy: A case study from Mudumalai Wildlife Sanctuary, Southern India. Environmental Conservation 27(3): 250-259."	India	11.5622819	76.5323334	2000	no	high	800-1800	rural	natural	adjacent to forest	good (road and market close)	NR	multiple sites nearby	8	132	household	2	quantitative	quantitative questionnaire	no	no	yes	trading	mix	"men-women, ie not gender of household head"	Neutral/Mixed	"Significant positive correlation between NTFP income and number of adult men per household and number of adult women per household, although the correlation coefficient was stronger for women than women. However, number of women (adult and non-adult) was non-significant"
"Heubach, K., R. Wittig, E. A. Nuppenau and K. Hahn (2011). The economic importance of non-timber forest products (NTFPs) for livelihood maintenance of rural west African communities: A case study from northern Benin. Ecological Economics 70(11): 1991-2001."	Benin	10.7337977	1.0056741	2011	no	NR	1300	rural	natural	distant from forest	low	traditional land tenure	multiple sites nearby	2	230	household	3	quantitative	quantitative questionnaire	no	no	yes	trading	mix	"men-women, ie not gender of household head"	Positive	the more women belong to a household the higher relative income from NTFPs
"Hue, L. T. V. (2006). Gender, Doi Moi and Mangrove Management in Northern Vietnam. Gender, Technology and Development 10(1): 37-59."	Vietnam	20.2413468	106.4844649	2006	yes	low	NR	rural	natural	adjacent to forest	good	commons-private	single site	1	32	household	NR	mixed methods	mix	no	no	yes	trading	mix	"men-women, ie not gender of household head"	Negative	"women earned much less than men, although they worked as hard and as long as men (8–10 hours/day). A man who traded shrimp could earn up to VND 90,000/day, VND 33,000 for trading crabs and VND 40,000 for trading other coastal products, whereas a woman could earn only VND 13,000/day. Due to the persistence of biases against women influenced by patriarchal values in Giao Lac, shrimp farmers did not want to sign a contract with a woman. Consequently, women’s businesses were very unstable and depended on the catch of their clients, a majority of whom were collectors of marginal marine products rather than shrimp and crabs."
"Illukpitiya, P. and J. F. Yanagida (2010). Farming vs forests: Trade-off between agriculture and the extraction of non-timber forest products. Ecological Economics 69(10): 1952-1963."	Sri Lanka	6.9888338	81.0415076	2010	NR	NR	NR	rural	natural	adjacent to forest	NR	NR	multiple sites nearby	23	441	household	NR	quantitative	quantitative questionnaire	no	no	yes	trading	mix	"men-women, ie not gender of household head"	Negative	"The male:female ratio (Mfratio) was positive for all sites however, significant only for the Kithulanahela and Galagodabedda reserves. Increasing Mfratio by 1 unit produced an increase in forest dependency by 298 and 1771 rupees/year for the Kithulanahela and Bibilehela–Welanvita forest reserves respectively. Forest extraction is a male dominant activity in these two forest reserves."
"Jones, J. P. G., F. B. Andriahajaina, E. H. Ranambinintsoa, N. J. Hockley and O. Ravoahangimalala (2006). The economic importance of freshwater crayfish harvesting in Madagascar and the potential of community-based conservation to improve management. Oryx 40(2): 168-175."	Madagascar	-21.2640561	47.417103	2006	yes	"500–1,500"	NR	rural	natural	adjacent to forest	mix	NR	multiple sites nearby	27	85	household	12	mixed methods	mix	no	no	yes	trading	crayfish	"men-women, ie not gender of household head"	Neutral/Mixed	"A higher proportion of female-headed (10/13) than male- headed (16/34) households relied on crayfish harvesting, but this trend was not significant"
"Jumbe, C. B. L. and A. Angelsen (2006). Do the Poor Benefit from Devolution Policies? Evidence from Malawi's Forest Co-Management Program. Land Economics 82(4): 562-581."	Malawi	-15.6333122	35.2245785	2006	no	NR	NR	rural	natural	adjacent to forest	mix	NR	NR	31	404	household	NR	quantitative	quantitative questionnaire	no	no	yes	NR	mix	gender of household head	Negative	Male-headed households had significantly higher monthly forest income than female headed households
"Jumbe, C. B. L. and A. Angelsen (2006). Do the Poor Benefit from Devolution Policies? Evidence from Malawi's Forest Co-Management Program. Land Economics 82(4): 562-581."	Malawi	-15.0687183	35.2113632	2006	no	NR	NR	rural	natural	adjacent to forest	mix	NR	NR	31	404	household	NR	quantitative	quantitative questionnaire	no	no	yes	NR	mix	gender of household head	Negative	Male-headed households had significantly higher monthly forest income than female headed households
"Kabubo-Mariara, J. (2013). Forest-poverty nexus: Exploring the contribution of forests to rural livelihoods in Kenya. Natural Resources Forum 37(3): 177-188."	Kenya	-0.3156399	36.0088203	2013	no	NR	NR	rural	natural	adjacent to forest	NR	mix	multiple sites nearby	7	290	household	2	quantitative	quantitative questionnaire	no	no	yes	NR	mix	gender of household head	Neutral/Mixed	no significant difference in forest income from collection of forest products and cultivation of forest crops between male- and female-headed households
"Kamanga, P., P. Vedeld and E. Sjaastad (2009). Forest Incomes and Rural Livelihoods in Chiradzulu District, Malawi. Ecological Economics 68(3): 613-624."	Malawi	-15.7645058	35.0743038	2009	no	NR	800-1000	rural	natural-plantation	NR	mix	NR	multiple sites nearby	4	160	household	NR	quantitative	quantitative questionnaire	no	no	yes	mix	mix	gender of household head	Neutral/Mixed	no significant difference in relative forest income between male- and female-headed households
"Koizumi, M., D. Mamung and P. Levang (2012). Hunter-gatherers' culture, a major hindrance to a settled agricultural life: The case of the Penan Benalui of East Kalimantan. Forests, Trees and Livelihoods 21(1-2): 1-15."	Indonesia	2.6466496	115.7509144	2012	no	NR	NR	rural	natural	NR	low (no road or market far)	NR	single site	1	39	household	5	quantitative	quantitative questionnaire	no	no	yes	trading	mix	men-women	Negative	"Hunting and fishing were mainly done by men. Women contributed only 2.6% of meat dishes. men make wooden and metal tools, and women are
involved in rattan and bamboo basketry"
"Lybbert, T. J., N. Magnan and A. Aboudrare (2010). Household and local forest impacts of Morocco's argan oil bonanza. Environment and Development Economics 15: 439-464."	Morocco	31.5109615	-9.7712969	2010	no	NR	NR	rural	natural	NR	NR	commons-private	multiple sites nearby	10	15	household	24	mixed methods	mix	no	no	yes	trading	tree fruit	men-women	Neutral/Mixed	neutral effect of gender
"Madge, C. (1995). Ethnography and agroforestry research: A case study from the Gambia. Agroforestry Systems 32(2): 127-146."	Gambia	13.2690719	-16.4044415	1995	yes	NR	NR	rural	natural	inside forest	NR	mix	single site	1	8	household	NR	qualitative	indepth interviews - no questionnaire	no	no	no	harvesting	mix	"men-women, ie not gender of household head"	Neutral/Mixed	"women collected 56% of the total forest products and men 44%. Thus, collecting for subsistence was important to both women and men. However, the uses made of the forest products varied according to gender (Fig. 3). Women predominated in the collection of fuelwood and materials for food sources while men mainly collected structural materials, beverages and food snacks. Male income was mainly earned by wage labour and sale of agricultural produce while female income was obtained by monetary gifts from other household members and the sale of forest products."
Meaza and Demssie Managing fragile homestead trees to improve livelihoods of land-poor farmers in the Northern Highlands of Ethiopia	Ethiopia	13.6642867	38.9067551	2015	no	1400-2448	500-800	rural	natural-plantation	adjacent to forest	mix	mix	multiple sites nearby	NR	120	household	36	quantitative	quantitative questionnaire	no	no	yes	mix	mix	gender of household head	Negative	Male-headed households had significantly higher income from homestead trees than female-headed households
"Marshall, E. and A. C. Newton (2003). Non-timber forest products in the community of El Terrero, Sierra de Manantlán Biosphere Reserve, Mexico: Is their use sustainable? Economic Botany 57(2): 262-278."	Mexico	9.542167	-104.1788747	2003	no	2100	1400	rural	natural	adjacent to forest	mix	mix	multiple sites nearby	4	35	household	2	mixed methods	indepth interviews - no questionnaire	no	no	yes	harvesting	wild food	"women only, ie not gender of household head"	Neutral/Mixed	Women were responsible for harvesting most of the fruit but received bad prices from the buyers since they lacked transport
"Martin del Campo-Hermosillo, L. E. (2011). Genderscape: The ecology of a gendering landscape. AAI3416698."	Mexico	16.603462	-90.9231832	2011	no	325	2500-3500	urban-periurban	natural	adjacent to forest	good	commons	single site	1	56	household	12	mixed methods	mix	yes	no	yes	mix	mix	gender of household head	Neutral/Mixed	Women relied on NTFP's while men allocated their time to tourism
"Mbuvi, D. and E. Boon (2009). The livelihood potential of non-wood forest products: The case of Mbooni Division in Makueni District, Kenya. Environment, Development and Sustainability 11(5): 989-1004."	Kenya	-2.2546724	37.2611204	2009	no	low-mid	1000-1600	rural	natural-plantation	adjacent to forest	good	state	Single site	NR	140	household	1	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	"men-women, ie not gender of household head"	Positive	"strong positive: We identified 160 NWFPs collections of which 62% are harvested from the South Mbooni forest located within 1–5 km for 80% of the households Almost 90% of the NWFPs collectors are
women."
"Mishra, S. and S. S. Chaudhury (2012). Ethnobotanical flora used by four major tribes of Koraput, Odisha, India. Genetic Resources and Crop Evolution 59(5): 793-804."	India	18.813753	82.7016877	2012	no	mid-high	NR	rural	natural	adjacent to forest	good (road and market close)	commons	multiple sites nearby	5	15-20	Individuals	NR	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"strong positive: Tribal women take Kendu (Diospyros melanoxylon Roxb.), Jamukoli (Syzygium cumini (L.) Skeels), and Khajurikoli (Phoenix sylvestris (L.) Roxb.), to the local weekly markets and either sell or barter them for other necessary products, In a community women are more familiar with the nutritional value of the wild greens; Tribal women have an in depth knowledge of different edible mushroom (Chhatu) species."
"Misra, M. K. and S. S. Dash (2000). Biomass and energetics of non-timber forest resources in a cluster of tribal villages on the Eastern Ghats of Orissa, India. Biomass and Bioenergy 18(3): 229-247."	India	20.4730509	84.2174147	2000	no	730	1500	rural	natural	adjacent to forest	good (road and market close)	NR	multiple sites nearby	3	142	household	11	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Positive	"strong positive: Siali (Bauhinia vahlii ) leaves are the most important NTFP from the economic point of view. The leaves are stitched together to make plates (khali) and cups (dana). Leaves were collected from the forest by the tribal women of these villages. Females are solely responsible for collection of siali, sal and wild date palm leaves."
"Moktan, M. R., L. Norbu, K. Dukpa, T. B. Rai, R. Dorji, K. Dhendup and N. Gyaltshen (2009). Bamboo and Cane Vulnerability and Income Generation in the Rural Household Subsistence Economy of Bjoka, Zhemgang, Bhutan. Mountain Research and Development 29(3): 230-240."	Bhutan	26.964414	91.0434976	2009	no	NR	NR	rural	natural	adjacent to forest	NR	commons	Single site	1	75	household	NR	mixed methods	quantitative questionnaire	yes	no	yes	mix	mix	gender of household head	Negative	"weak negative: The increase in women and children collectors who lack appropriate harvesting knowledge, the decrease in rainfall, and the pressure from commercialization contribute to this decline (MoA
1997)."
"Morsello, C., I. Ruiz-Mallen, M. D. Montoya Diaz and V. Reyes-Garcia (2012). The Effects of Processing Non-Timber Forest Products and Trade Partnerships on People's Well-Being and Forest Conservation in Amazonian Societies. Plos One 7(8)."	Brazil	-1.8015282	-55.2168314;	2012	no	mid-high	NR	rural	natural	NR		state	multiple sites nearby	7	180	household	Jul-16	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"Mix: We only found coefficients larger than 0.5 and statistically significant at the 95% level in one out of 36 associations: total income and gender equality.Gender equality tended to
increase, but the result was not statistically significant at the 10% level"
"Morsello, C., I. Ruiz-Mallen, M. D. Montoya Diaz and V. Reyes-Garcia (2012). The Effects of Processing Non-Timber Forest Products and Trade Partnerships on People's Well-Being and Forest Conservation in Amazonian Societies. Plos One 7(8)."	Brazil	-4.3183079	-53.4051585	2012	no	mid-high	NR	rural	natural	NR		state	multiple sites nearby	7	180	household	Jul-16	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"Mix: We only found coefficients larger than 0.5 and statistically significant at the 95% level in one out of 36 associations: total income and gender equality.Gender equality tended to
increase, but the result was not statistically significant at the 10% level"
"Morsello, C., I. Ruiz-Mallen, M. D. Montoya Diaz and V. Reyes-Garcia (2012). The Effects of Processing Non-Timber Forest Products and Trade Partnerships on People's Well-Being and Forest Conservation in Amazonian Societies. Plos One 7(8)."	Brazil	-5.2521913	-67.7528892	2012	no	mid-high	NR	rural	natural	NR		state	multiple sites nearby	7	180	household	Jul-16	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"Mix: We only found coefficients larger than 0.5 and statistically significant at the 95% level in one out of 36 associations: total income and gender equality.Gender equality tended to
increase, but the result was not statistically significant at the 10% level"
"Morsello, C., I. Ruiz-Mallen, M. D. Montoya Diaz and V. Reyes-Garcia (2012). The Effects of Processing Non-Timber Forest Products and Trade Partnerships on People's Well-Being and Forest Conservation in Amazonian Societies. Plos One 7(8)."	Bolivia	-16.7977101	-68.1848438	2012	no	mid-high	NR	rural	natural	NR		state	multiple sites nearby	7	180	household	Jul-16	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"Mix: We only found coefficients larger than 0.5 and statistically significant at the 95% level in one out of 36 associations: total income and gender equality.Gender equality tended to
increase, but the result was not statistically significant at the 10% level"
