Resource Type	Continent	Country	LatDD	LonDD	Division Tags	Unit Tags	Link	Title	Description	Member	Date
Research	Asia	China	39.9390731	116.1172814	Division 1 – Silviculture		http://www.sciencedirect.com/science/article/pii/S030142151301327X; https://www.sciencedirect.com/science/article/pii/S030142151301327X?via%3Dihub	The erratic path of the low-carbon transition in China: Evolution of solar PV policy	"The last twenty years have seen the growth of both solar PV manufacturing capacity and deployment in China, yet this growth has followed a very erratic path. This study applies the concept of socio-technical regime to identify factors which have made this path so erratic. We examine four stages in China's solar PV policy from mid-1990s to 2013 and show that each is characterized by different combinations of policy program. These changes in government policy and in the resultant trajectory of the solar PV sector are attributed to three main sets of variables. The most important of these are events which shape the wider policy priorities of China's government. Secondary factors include the government's poor management of the policy interaction between the domestic solar PV manufacturing industry and the deployment of solar PV across the country, as well as policy learning within government. The general lesson from this study is that the development path of a single element of a national strategy for the low-carbon transition is likely to be erratic, subject as it is to a range of political and economic forces, and to experimentation and learning."		1950
Research	Asia	Pakistan	33.58	71.65	Division 2 – Physiology and Genetics		https://www.sciencedirect.com/science/article/abs/pii/S1364032118307111?via%3Dihub	Adoption and diffusion of renewable energy - The case of biogas as alternative fuel for cooking in Pakistan	"Alternative energy technologies such as biogas are being promoted, but despite the significant potential and efforts to implement these technologies, only small numbers of households have succeeded in the transition towards these alternative energy sources. Moreover, sustainability and the functionality of alternative energy technologies remain unknown. The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan and access the impact of biogas technology adoption on income, crop productivity and fuel consumption and drudgery. The study has also scrutinized the factors affecting the continuity of the biogas plants. Our analysis adds to the limited literature of adoption of biogas and the transition towards alternative fuel sources in the Global South. A multistage sampling procedure was used to collect data from 630 biogas adopters and non-adopters from three districts of Punjab. The empirical results from logit model and propensity score matching approach indicate that the older, wealthy farmers are more likely to adopt biogas technology. Cook's education, structure of house, location of kitchen and access to credit institutions also play positive role in this process. Poor operational methods, lack of maintenance and training facilities were the main reasons for the functional failure of existing plants and reason for the discontinuation. Moreover, biogas adoption has positive and significant impact on income and crop revenues and has negative impact on fuelwood expenditures and collection time. Due to the multidimensional nature of the problem, a comprehensive remedial approach addressing the socio-technical factors identified in the study and considering all stakeholders' cooperation could solve the existing lock-in situation in the ongoing implementation of biogas production and the transition towards alternative fuel sources."		1951
Research	Asia	Pakistan	32.055	72.63	Division 3 – Forest Operations Engineering and Management		https://www.sciencedirect.com/science/article/abs/pii/S1364032118307111?via%3Dihub	Adoption and diffusion of renewable energy - The case of biogas as alternative fuel for cooking in Pakistan	"Alternative energy technologies such as biogas are being promoted, but despite the significant potential and efforts to implement these technologies, only small numbers of households have succeeded in the transition towards these alternative energy sources. Moreover, sustainability and the functionality of alternative energy technologies remain unknown. The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan and access the impact of biogas technology adoption on income, crop productivity and fuel consumption and drudgery. The study has also scrutinized the factors affecting the continuity of the biogas plants. Our analysis adds to the limited literature of adoption of biogas and the transition towards alternative fuel sources in the Global South. A multistage sampling procedure was used to collect data from 630 biogas adopters and non-adopters from three districts of Punjab. The empirical results from logit model and propensity score matching approach indicate that the older, wealthy farmers are more likely to adopt biogas technology. Cook's education, structure of house, location of kitchen and access to credit institutions also play positive role in this process. Poor operational methods, lack of maintenance and training facilities were the main reasons for the functional failure of existing plants and reason for the discontinuation. Moreover, biogas adoption has positive and significant impact on income and crop revenues and has negative impact on fuelwood expenditures and collection time. Due to the multidimensional nature of the problem, a comprehensive remedial approach addressing the socio-technical factors identified in the study and considering all stakeholders' cooperation could solve the existing lock-in situation in the ongoing implementation of biogas production and the transition towards alternative fuel sources."		1952
Research	Asia	Pakistan	31.456888	73.135297	Division 4 – Forest Assessment, Modelling and Management 		https://www.sciencedirect.com/science/article/abs/pii/S1364032118307111?via%3Dihub	Adoption and diffusion of renewable energy - The case of biogas as alternative fuel for cooking in Pakistan	"Alternative energy technologies such as biogas are being promoted, but despite the significant potential and efforts to implement these technologies, only small numbers of households have succeeded in the transition towards these alternative energy sources. Moreover, sustainability and the functionality of alternative energy technologies remain unknown. The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan and access the impact of biogas technology adoption on income, crop productivity and fuel consumption and drudgery. The study has also scrutinized the factors affecting the continuity of the biogas plants. Our analysis adds to the limited literature of adoption of biogas and the transition towards alternative fuel sources in the Global South. A multistage sampling procedure was used to collect data from 630 biogas adopters and non-adopters from three districts of Punjab. The empirical results from logit model and propensity score matching approach indicate that the older, wealthy farmers are more likely to adopt biogas technology. Cook's education, structure of house, location of kitchen and access to credit institutions also play positive role in this process. Poor operational methods, lack of maintenance and training facilities were the main reasons for the functional failure of existing plants and reason for the discontinuation. Moreover, biogas adoption has positive and significant impact on income and crop revenues and has negative impact on fuelwood expenditures and collection time. Due to the multidimensional nature of the problem, a comprehensive remedial approach addressing the socio-technical factors identified in the study and considering all stakeholders' cooperation could solve the existing lock-in situation in the ongoing implementation of biogas production and the transition towards alternative fuel sources."		1953
Research	Asia	Nepal	27.57	85.81	Division 5 – Forest Products		http://www.sciencedirect.com/science/article/pii/S0301421511010354; https://www.sciencedirect.com/science/article/pii/S0301421511010354?via%3Dihub	"The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya"	"As a potential poverty reduction and climate change strategy, this paper considers the advantages and disadvantages of using renewable energy technologies for rural electrification in developing countries. Although each case must be considered independently, given a reliable fuel source, renewable energy mini-grids powered by biomass gasifiers or micro-hydro plants appear to be the favoured option due to their lower levelised costs, provision of AC power, potential to provide a 24 h service and ability to host larger capacity systems that can power a wide range of electricity uses. Sustainability indicators are applied to three case studies in order to explore the extent to which sustainable welfare benefits can be created by renewable energy mini-grids. Policy work should focus on raising awareness about renewable energy mini-grids, improving institutional, technical and regulatory frameworks and developing innovative financing mechanisms to encourage private sector investments. Establishing joint technology and community engagement training centres should also be encouraged."		1954
Research	South America	Peru	-5.2918	-79.1595	Division 6 – Social Aspects of Forests and Forestry		http://www.sciencedirect.com/science/article/pii/S0301421511010354; https://www.sciencedirect.com/science/article/pii/S0301421511010354?via%3Dihub	"The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya"	"As a potential poverty reduction and climate change strategy, this paper considers the advantages and disadvantages of using renewable energy technologies for rural electrification in developing countries. Although each case must be considered independently, given a reliable fuel source, renewable energy mini-grids powered by biomass gasifiers or micro-hydro plants appear to be the favoured option due to their lower levelised costs, provision of AC power, potential to provide a 24 h service and ability to host larger capacity systems that can power a wide range of electricity uses. Sustainability indicators are applied to three case studies in order to explore the extent to which sustainable welfare benefits can be created by renewable energy mini-grids. Policy work should focus on raising awareness about renewable energy mini-grids, improving institutional, technical and regulatory frameworks and developing innovative financing mechanisms to encourage private sector investments. Establishing joint technology and community engagement training centres should also be encouraged."		1955
Research	Africa	Kenya	-0.683333	37.35	Division 7 – Forest Health		http://www.sciencedirect.com/science/article/pii/S0301421511010354; https://www.sciencedirect.com/science/article/pii/S0301421511010354?via%3Dihub	"The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya"	"As a potential poverty reduction and climate change strategy, this paper considers the advantages and disadvantages of using renewable energy technologies for rural electrification in developing countries. Although each case must be considered independently, given a reliable fuel source, renewable energy mini-grids powered by biomass gasifiers or micro-hydro plants appear to be the favoured option due to their lower levelised costs, provision of AC power, potential to provide a 24 h service and ability to host larger capacity systems that can power a wide range of electricity uses. Sustainability indicators are applied to three case studies in order to explore the extent to which sustainable welfare benefits can be created by renewable energy mini-grids. Policy work should focus on raising awareness about renewable energy mini-grids, improving institutional, technical and regulatory frameworks and developing innovative financing mechanisms to encourage private sector investments. Establishing joint technology and community engagement training centres should also be encouraged."		1956
Research	Asia	China	37.916276	112.573443	Division 8 – Forest Environment		https://www.aimspress.com/article/10.3934/energy.2015.4.576	Drivers behind energy consumption by rural households in Shanxi	"Biomass is widely used by households for cooking and heating in rural China. Along with rapid economic growth over the last three decades, increasing rural households tend to use less biomass and more commercial energy such as coal and electricity. In this paper, we analyzed the key drivers behind energy consumption and switching by rural households based on survey data of energy consumption by rural households in ten villages of Shanxi province in China. Our econometric results show that income growth can induce less use of biomass and more use of coal and modern fuels. However, no evidence shows that even wealthy households has abandoned biomass use in Shanxi, mainly due to the ""free"" access to land and agricultural resources in these villages. Previous wealth of a household represented by house value can lead to more time spent on biomass collection. Access to land resources has positive effects on biomass use and collection. Other key variables include education, household size, the number of elderly members, and coal price. We also find huge differences between villages, indicating the importance of access to agricultural resources and markets."		1957
Research	Europe	UK	54.73	-6.21	Division 9 – Forest Policy and Economics		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014, ‚Äö√†√∂¬¨¬•¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1958
Research	Europe	UK	52.45	-1.88	Division 1 – Silviculture;Division 2 – Physiology and Genetics;Division 3 – Forest Operations Engineering and Management;Division 6 – Social Aspects of Forests and Forestry		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. ¬¨¬®¬¨¬© 2014, ¬¨¬®¬¨¬© 2014 Academy of Social Sciences."		1959
