Study ID	Author and Year	Reference	Reference Number in Manuscript	Country	Type of Miombo	Type of Study	Study Year	LonDD	LatDD	Cover Type	Category	Age in Years	Treatment	Management	AGwodCMgperHa	AGCOpenareas	AGCGMA	AGCForestReserves	AGCNationalParks	"Biomass & Basal area data (BGCMg/ha, OGBGCMg/ha, BasalArea  sqm/ha, BA as Mg/ha, BA as C Mg/ha, Biomass Mg/ha, Biomass as C Mg/ha, Aboveground C Mg/ha, Belowground biomass Mg/ha)"	"Soil data (Soil C Mg/ha, Oldgrowth soil C Mg/ha, Cropland C Mg/ha, Postcultivation soil C Mg/ha, Soil C Mg/ha, Soil organic matter content (%))"
1	Kutsch et al. (2011) 	"Kutsch WL, Merbold L, Ziegler W, Mukelabai MM, Muchinda M, Kolle O, et al The charcoal trap: Miombo forests and the energy needs of people Carbon Balance Manag 2011;6:5 doi:10 1186/1750-0680-6-5"	25	Zambia	wet	quantitative	2008	23.25	-15.43	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
1	Kutsch et al. (2011) 	"Kutsch WL, Merbold L, Ziegler W, Mukelabai MM, Muchinda M, Kolle O, et al The charcoal trap: Miombo forests and the energy needs of people Carbon Balance Manag 2011;6:5 doi:10 1186/1750-0680-6-5"	25	Zambia	wet	quantitative	2008	23.25	-15.43	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
1	Kutsch et al. (2011) 	"Kutsch WL, Merbold L, Ziegler W, Mukelabai MM, Muchinda M, Kolle O, et al The charcoal trap: Miombo forests and the energy needs of people Carbon Balance Manag 2011;6:5 doi:10 1186/1750-0680-6-5"	25	Zambia	wet	quantitative	2008	23.25	-15.43	 Oldgrowth	Oldgrowth	 	 Baseline	 FR						Data Reported	Data Reported
1	Kutsch et al. (2011) 	"Kutsch WL, Merbold L, Ziegler W, Mukelabai MM, Muchinda M, Kolle O, et al The charcoal trap: Miombo forests and the energy needs of people Carbon Balance Manag 2011;6:5 doi:10 1186/1750-0680-6-5"	25	Zambia	wet	quantitative	2008	23.25	-15.43	 Oldgrowth	Oldgrowth	 	 Charcoal	 None						Data Reported	Data Reported
2	Kashindye et al. (2013) 	"Kashindye A, Mtalo E, Mpanda M, Liwa E, Giliba R Multi-temporal assessment of forest cover, stocking parameters and above-ground tree biomass dynamics in Miombo Woodlands of Tanzania African J Environ Sci Technol 2013;7:611–23"	24	Tanzania	dry	quantitative	2010	35.78	-4.35	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
2	Kashindye et al. (2013) 	"Kashindye A, Mtalo E, Mpanda M, Liwa E, Giliba R Multi-temporal assessment of forest cover, stocking parameters and above-ground tree biomass dynamics in Miombo Woodlands of Tanzania African J Environ Sci Technol 2013;7:611–23"	24	Tanzania	dry	quantitative	2010	35.78	-4.35	 Oldgrowth	Oldgrowth	 	 Baseline2010	 FR						Data Reported	
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	0	 Control	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	1	 Control	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	3	 Control	" Mixed, None"							Data Reported
22	Kwibisa (2000) 	"and associated land use systems in Malawi, Biomass and Bioenergy (2014), http://dx.doi.org/10.1016/j.biombioe.2014.02.005"	26	Zambia	dry	quantitative	1999	29.02	-15.125	 Cropland	Cultivation	4	 Control	" Mixed, None"							Data Reported
