Unique Study ID	Unique_article_ID	Author	Year of publication	Title	Abstract	Journal	Volume	Issue	Pages	"Other articles, same study (Unique_article_ID)"	"Other articles, same_study (citation)"	Extra calculations performed?	Intervention	Data completeness	Country	Location	LatDD	LonDD	Experimental Design	Spatial Replicates	Temporal Replicates	Sampling Precision	Critical Appraisal score	Intervention started	Intervention ended/last sampled	Study duration	SOC data location	Yield data location
2021RGHL_CCLANT025	2021RGHL_CCLANT025	I. Mijangos; I. Albizu; L. Epelde; A. Ibarra; C. Garbisu	2008	Effect of tillage and slurry application on soil quality and CO<sub>2</sub> emissions		Multifunctional grasslands in a changing world	1	29		2021RGHL_CCLANT026	"I. Mijangos; I. Albizu; L. Epelde; M. Pinto; O. d. Hierro; H. Arriaga; C. Garbisu (2008) Effects of direct seeding and cow slurry application on maize production in fine-textured soils. (Grassland Science in Europe, Volume 13), Proceedings of the 22nd General Meeting of the European Grassland Federation, Uppsala, Sweden, 9-12 June 2008; 2008 613-615 5 ref"	Yield data extracted from figure	Tillage intensity (TI)	Baseline SOC & errors present	Spain	Basque Country	43.064	-2.65	Randomised complete block	3	2	15	3	2005	2008	3	Table 1 (2021RGHL_CCLANT025)	Figure 1 (2021RGHL_CCLANT026)
2021RGHL_CCLANT029	2021RGHL_CCLANT029	W. J. Ridgman; R. B. Wedgwood	1987	Some residual effects of crop rotation on light land	"Effects of previous rotations maintained for 21 years on wheat and potatoes grown after 5 years of uniform cropping are described and discussed. Effects of length of ley in the rotation were detected in soil organic carbon, yield of wheat and yield of potatoes 6, 6 and 7 years, resp., after the last ley was ploughed up. The effect of grazing the leys compared with mowing was detected in soil organic carbon and in yield of potatoes, and that of applying dung was detected in soil organic carbon and in yield of potatoes 12 and 13 years, resp., after the last application."	Journal of Agricultural Science	108	1	189-193			Yield weighted average across 3 N treatments	Ley-arable (LA)	"Errors present, baseline SOC missing"	England	Cambridge University Farm	52.228	0.08	Split-plot	1	1	15	1	1953-58	1979-84	26	Table 2	Table 3
2020UPDTCCLA003	2020UPDTCCLA003	R. D. Armstrong; R. Perris; M. Munn; K. Dunsford; F. Robertson; G. J. Hollaway; G. J. O'Leary	2019	Effects of long-term rotation and tillage practice on grain yield and protein of wheat and soil fertility on a vertosol in a medium-rainfall temperate environment	"Fundamental changes in farming systems occurred throughout the medium-rainfall zone of southern Australia during the late 1990s. Pulse and canola crops replaced pastures and long-fallowing, and minimal-tillage practices were increasingly adopted. An experiment was established in 1998 to examine long-term effects of these changes on crop productivity and soil fertility. Nine rotation-tillage treatments based on 3- and 6-year cycles were compared by using wheat (Triticum aestivum) as a bioassay crop over 2001-17. Seasonal conditions during the study ranged from the Millennium Drought to the top rainfall decile. Averaged across the 17 seasons, wheat yields were significantly lower in rotations based on continuous wheat (1.73t/ha) or 3 years of perennial Lucerne (Medicago sativa) (1.93t/ha) and highest after traditional long-fallow (2.92t/ha) or vetch (Vicia sativa) green manure (2.57t/ha). Wheat yields following a pulse (2.23t/ha) or canola (Brassica napus) (2.21t/ha) were intermediate. Whereas rotation effects varied with seasonal rainfall, there was a long-term trend for relative yields in continuous wheat rotations to decline and those following a green manure or fallow to differ increasingly from other treatments. Compared across the Same rotation (canola-wheat-pulse), average wheat yields under no-tillage (2.09t/ha) were significant lower (P<0.05) than under reduced (2.22t/ha) and conventional (2.29t/ha) tillage. By contrast, grain protein concentration increased with increasing proportion and type of legumes (green manure and pasture > pulse) in the rotation via their effect on soil mineral nitrogen (N). Lowest protein was recorded in continuous wheat and highest where at least one-third of the rotation contained a non-pulse legume, i.e. vetch green manure, Lucerne or annual medic (Medicago truncatula). Soil-borne cereal fungal pathogens and nematodes generally had little effect on grain yields. Soil organic carbon (SOC) and total N stocks declined in all treatments over time, except in the Lucerne and green manure treatments, where total N was maintained. Greatest declines in SOC and total N occurred in the fallow treatment. Results from the first 20 years of experimentation suggest that differences in grain yield (and protein) of wheat were most likely the result of treatment (rotation and tillage practice) effects on soil nitrate and water (growing-season rainfall and fallow storage) rather than disease. We found no evidence that current farming systems based on use of pulses, canola and reduced tillage are less able to maintain intervening cereal yields than traditional systems. On the contrary, practices such as long-fallowing are expected to have increasing negative influence on productivity in the longer term via decreased soil C and N fertility."	Crop & Pasture Science	70	1	Jan-15				"TI, CC, LA"	Baseline SOC & errors present	Australia	Longerenong	-36.84	142.818	Phase-replicated 	3	18	15	1	1998	2017	20	Table 6	Table 3
2020UPDTCCLA037_2016UPDT014	2020UPDTCCLA037_2016UPDT014	B. Dimassi; B. Mary; R. Wylleman; J. Labreuche; D. Couture; F. Piraux; J.-P. Cohan	2014	Long-term effect of contrasted tillage and crop management on soil carbon dynamics during 41 years	"Although numerous studies have been conducted on the effect of tillage on soil organic carbon (SOC), there is still no consensus on the importance of sequestration which can be expected from reduced tillage. Most studies have used a synchronic approach in fields or long-term experiments which were often poorly characterized with respect to initial conditions. In this paper, we used a diachronic approach to quantify SOC changes in a 41 years experiment comparing no-till (NT), shallow till (ST) and full inversion tillage (FIT) combined with crop managements (residues removal, rotation and catch crops). It included SOC measurements at time 0 and every 4 years, calculations at equivalent soil mass within or below the old ploughed layer. Results show that tillage or crop management had no significant effect on SOC stocks after 41 years both in the old ploughed layer (ca. 0-28 cm) and deeper (ca. 0-58 cm). Tillage had no effect on crop yields and residues. In the reduced tillage treatments (ST and NT), SOC accumulated in the surface layer (0-10 cm), reaching a plateau after 24 years but declined continuously in the lower layer (10-28 cm) at a rate of 0.42-0.44% yr(-1). The difference in SOC stocks (ST or NT minus FIT) over the old ploughed layer followed a non-monotonic pattern over time. Reduced tillage caused a rapid SOC sequestration during the first 4 years which remained more or less constant (mean = 2.17 and 1.31 t ha(-1), resp.) during the next 24 years and disappeared after 28 years. The drop was attributed to the higher water balance recorded during years 24-28. In the reduced tillage treatments, the changes in SOC over time were negatively correlated with the water balance, indicating that sequestration rate was positive in dry periods and negative in wet conditions. This study highlights the interest of diachronic approaches to understand the effect of tillage and its interaction with environmental and management factors. (C) 2014 Elsevier B.V. All rights reserved."	Agriculture Ecosystems & Environment	188		134-146				"TI, CC"	"Baseline SOC present, errors missing"	France	"Arvalis-Institut du Végétal, Boigneville"	48.33	2.38	Randomised block with split plots	4	3	4	3	1970	2011	41	Table 4	Table 2
2020UPDTCCLA061a	2020UPDTCCLA061	T. Hu; P. Sorensen; J. E. Olesen	2018	Soil carbon varies between different organic and conventional management schemes in arable agriculture	"The effects of organic versus conventional farming systems on changes in soil organic carbon (SOC) has long been debated. The effects of such comparisons may depend considerably on the design of the respective systems and climate and soil conditions under which they are performed. Here, we compare a range of arable organic and conventional crop systems at three sites (Jyndevad, Foulum and Flakkebjerg) in Denmark through long-term experiments initiated in 1997. The experimental treatments in the organic farming systems included use of whole-year green manure crops, catch crops and animal manure (as cattle, pig or digested slurry). Data on plant residues and animal manure were used to estimate C inputs to the soil. This was compared with measured changes in topsoil (0-25 cm) SOC content over 4-8 years. During 1997-2004, green manure, catch crops and animal manure enhanced estimated C input by 0.9, 1.0 and 0.7 Mg C ha(-1) yr(-1) respectively, across all locations. Based on measured SOC changes, green manure enhanced SOC by 0.4 Mg C ha(-1) yr(-1) and catch crops by 0.2 Mg C ha(-1) yr(-1), while animal manure by insignificantly 0.1 Mg C ha(-1) yr(-1). After 2005, advantages of using green manure (grass-clover) on SOC change disappeared, because cuttings of the grass-clover was removed whereas before 2005 they were mulched in the field, albeit there was still a small extra estimated C input of 0.2 Mg C ha(-1) yr(-1). An estimated higher C input of 0.7 Mg C ha(-1) yr(-1) with catch crops did not result in significant increase in measured topsoil SOC. From 2005-2008, the first 4 years of comparison between organic and conventional farming at all three sites, organic farming with animal manure had 0.3 Mg C ha(-1) yr(-1) higher estimated C input, but SOC measurements showed that conventional farming accumulated 0.4 Mg C ha(-1) yr(-1) more SOC than organic farming. At Foulum from 2005 to 2012, organic farming with animal manure had 0.7 Mg C ha(-1) yr(-1) more input, and topsoil SOC measurements showed a higher accumulation of 0.4 Mg C ha(-1) yr(-1) in organic compared with conventional fanning. Regressions of changes in topsoil SOC against estimated C inputs showed that 10-20% of C inputs were retained in topsoil SOC over the experimental period. There was no clear indication that belowground C input contributed more to SOC than aboveground C inputs. Despite consistently higher estimated C inputs in organic versus conventional systems, we were not able to detect consistent differences in measured SOC between the systems."	European Journal of Agronomy	94		79-88		"A. Shah, M. Askegaard, I. A. Rasmussen, E. M. Cordoba Jimenez, J. E. Olesen (2017) Productivity of organic and conventional arable cropping systems in long- term experiments in Denmark. European Journal of Agronomy 90: 12-22; J. E. Olesen, E. M. Hansen, M. Askegaard, I. A. Rasmussen (2007) The value of catch crops and organic manures for spring barley in organic arable farming. Field Crops Research. N.Chirinda, J. E. Olesen, J. R. Porter, P. Schjønning (2010) Soil properties, crop production and greenhouse gas emissions from organic and inorganic fertilizer-based arable cropping systems. Agriculture, Ecosystems and Environment 139: 584-594"	"SOC calculated from Table 4 and Section 2.1 Hu 2018, see Supplementary file"	"CC, LA"	"Baseline SOC present, errors missing"	Denmark	Jyndevad	54.901	9.152	Fully factorial	8	3	8	4	1997	2004	8	Table 4 (Hu 2018) & Table 1 (Olesen 2007)	
2020UPDTCCLA061c	2020UPDTCCLA061	T. Hu; P. Sorensen; J. E. Olesen	2018	Soil carbon varies between different organic and conventional management schemes in arable agriculture	"The effects of organic versus conventional farming systems on changes in soil organic carbon (SOC) has long been debated. The effects of such comparisons may depend considerably on the design of the respective systems and climate and soil conditions under which they are performed. Here, we compare a range of arable organic and conventional crop systems at three sites (Jyndevad, Foulum and Flakkebjerg) in Denmark through long-term experiments initiated in 1997. The experimental treatments in the organic farming systems included use of whole-year green manure crops, catch crops and animal manure (as cattle, pig or digested slurry). Data on plant residues and animal manure were used to estimate C inputs to the soil. This was compared with measured changes in topsoil (0-25 cm) SOC content over 4-8 years. During 1997-2004, green manure, catch crops and animal manure enhanced estimated C input by 0.9, 1.0 and 0.7 Mg C ha(-1) yr(-1) respectively, across all locations. Based on measured SOC changes, green manure enhanced SOC by 0.4 Mg C ha(-1) yr(-1) and catch crops by 0.2 Mg C ha(-1) yr(-1), while animal manure by insignificantly 0.1 Mg C ha(-1) yr(-1). After 2005, advantages of using green manure (grass-clover) on SOC change disappeared, because cuttings of the grass-clover was removed whereas before 2005 they were mulched in the field, albeit there was still a small extra estimated C input of 0.2 Mg C ha(-1) yr(-1). An estimated higher C input of 0.7 Mg C ha(-1) yr(-1) with catch crops did not result in significant increase in measured topsoil SOC. From 2005-2008, the first 4 years of comparison between organic and conventional farming at all three sites, organic farming with animal manure had 0.3 Mg C ha(-1) yr(-1) higher estimated C input, but SOC measurements showed that conventional farming accumulated 0.4 Mg C ha(-1) yr(-1) more SOC than organic farming. At Foulum from 2005 to 2012, organic farming with animal manure had 0.7 Mg C ha(-1) yr(-1) more input, and topsoil SOC measurements showed a higher accumulation of 0.4 Mg C ha(-1) yr(-1) in organic compared with conventional fanning. Regressions of changes in topsoil SOC against estimated C inputs showed that 10-20% of C inputs were retained in topsoil SOC over the experimental period. There was no clear indication that belowground C input contributed more to SOC than aboveground C inputs. Despite consistently higher estimated C inputs in organic versus conventional systems, we were not able to detect consistent differences in measured SOC between the systems."	European Journal of Agronomy	94		79-88		"A. Shah, M. Askegaard, I. A. Rasmussen, E. M. Cordoba Jimenez, J. E. Olesen (2017) Productivity of organic and conventional arable cropping systems in long- term experiments in Denmark. European Journal of Agronomy 90: 12-22; J. E. Olesen, E. M. Hansen, M. Askegaard, I. A. Rasmussen (2007) The value of catch crops and organic manures for spring barley in organic arable farming. Field Crops Research. N.Chirinda, J. E. Olesen, J. R. Porter, P. Schjønning (2010) Soil properties, crop production and greenhouse gas emissions from organic and inorganic fertilizer-based arable cropping systems. Agriculture, Ecosystems and Environment 139: 584-594"	"SOC calculated from Table 4 and Section 2.1 Hu 2018, see Supplementary file"	"CC, LA"	"Baseline SOC present, errors missing"	Denmark	Flakkebjerg	55.318	11.388	Fully factorial	8	3	8	4	1997	2004	8	Table 4 (Hu 2018) & Table 1 (Olesen 2007)	
2020UPDTCCLA071	2020UPDTCCLA071	A. E. Johnston; J. McEwen; P. W. Lane; M. V. Hewitt; P. R. Poulton; D. P. Yeoman	1994	"Effects of one to six year old ryegrass-clover leys on soil nitrogen and on the subsequent yields and fertilizer nitrogen requirements of the arable sequence winter wheat, potatoes, winter wheat, winter beans (Vicia faba) grown on a sandy loam soil"	"In a trial at Woburn, England established in 1980, the largest yields of wheat and potatoes came from the combination of longer Lolium perenne-Trifolium repens ley (at least 3 years) + optimum fertilizer N but yields of V. faba were decreased where N had been given to the previous crops. Without fertilizer N, 2-year-old leys significantly increased yields compared with 1-year leys and the effect of longer leys was small except for the 1st wheat, when grain yields were large and plateaued after the 3-year ley. Exponential response curves were fitted to the wheat yields and an exponential + linear trend to the potato yields after each of the leys to estimate maximum total and economic yields and and their associated N dressings. Maximum economic yields of wheat in 1987 ranged from 8.11 to 9.14 t grain/ha and the fertilizer N required declined from 174 kg/ha after the 1-year ley to 48 kg/ha after the 6-year ley. For potatoes in 1988, yields ranged from 63 to 71 t tubers/ha but the N required (137-150 kg/ha) varied little with ley age. For winter wheat in 1989, yields ranged from 5.51 to 6.99 t grain/ha, because of drought but, as with the potatoes, the N required (203-218 kg/ha) varied little. For each crop the 6 individual N response curves could be shifted to bring them into coincidence, and the benefits of the ley estimated in terms of a quantity of fertilizer N applied in spring (horizontal shift) and effects other than spring N (vertical shift). The spring N effects relative to the 1-year ley varied with ley age; for the 1st wheat the range was from 6 to 126 kg N/ha for the 2- to 6-year leys, respectively. Spring N effects were negligible, however, for potatoes (average 6 kg/ha) and also for wheat in the 3rd year (6 kg/ha). Benefits other than those which could be ascribed to spring N increased yield of the 1st wheat, on average, by 0.94 t grain/ha for the 2- to 5-year leys; for potatoes they ranged from 3.5 to 8.1 t tubers/ha for the 3- to 6-year leys; for the 3rd crop wheat they ranged from 0.86 to 1.49 t grain/ha for the 3- to 6-year leys. On average, the 1st wheat recovered only 34% of the applied fertilizer N whilst potatoes and the following wheat recovered 55 and 56%, respectively. Longer leys increased the N fertilizer use efficiency. Increasing ley age up to 5 years increased total soil C by a maximum of 0.17% C; 18% of the C content of the soil in the 1-year ley plots. This small increase in soil OM provided up to 230 kg mineral N/ha in the 1st autumn after ploughing. Between 17 Oct. 1986 and 27 Apr. 1987 the average loss of NO<sub>3</sub>-N from soils following 3- to 6-year leys was equivalent to 202 kg N/ha, whilst the average uptake of N by 11 May in the aboveground wheat was only 88 kg/ha; the net loss was 114 kg N/ha. A computer simulation, which included mineralization of organic N during this period together with N uptake and nitrate leaching losses, computed a loss of 250 kg N/ha following the 6-year ley, which would have given 400 mg NO<sub>3</sub>/litre in the 275 mm through drainage that winter."	Journal of Agricultural Science	122	1	73-89				Ley-arable (LA)	"Errors present, baseline SOC missing"	England	Woburn	52.015	-0.596	Randomised split-plot	4	1	12	3	1980	1990	10	Table 3	Table 6
2020UPDTCCLA072	2020UPDTCCLA072	A. E. Johnston; P. R. Poulton; K. Coleman; A. J. Macdonald; R. P. White	2017	Changes in soil organic matter over 70 years in continuous arable and ley-arable rotations on a sandy loam soil in England	"The sequestration in soil of organic carbon (SOC) derived from atmospheric carbon dioxide (CO<sub>2</sub>) by replacing arable crops with leys, has been measured over 70 years on a sandy loam soil. The experiment was designed initially to test the effect of leys on the yields of arable crops. A 3-year grazed grass with clover (grass + clover) ley in a 5-year rotation with arable crops increased percentage organic carbon (%OC) in the top 25 cm of the soil from 0.98 to 1.23 in 28 years, but with little further increase during the next 40 years with all-grass leys given fertilizer nitrogen (N). In this second period, OC inputs were balanced by losses, suggesting that about 1.3% OC might be near the equilibrium content for this rotation. Including 3-year lucerne (Medicago sativa) leys had little effect on%OC over 28 years, but after changing to grass + clover leys,%OC increased to 1.24 during the next 40 years. Eight-year leys (all grass with N or grass + clover) in 10-year rotations with arable crops were started in the 1970s, and after three rotations%OC had increased to ca. 1.40 in 2000-2009. Over 70 years,%OC declined from 0.98 to 0.94 in an all-arable rotation with mainly cereals and to 0.82 with more root crops. Applications of 38 t ha<sup>-1</sup> farmyard manure (FYM) every fifth year increased%OC by 0.13% by the mid-1960s when applications ceased. Soil treated with FYM still contained 0.10% more OC in 2000-2009. Changes in the amount of OC have been modelled with RothC-26.3 and estimated inputs of C for selected rotations. Little of the OC input during the 70 years has been retained; most was retained in the grazed ley rotation, but 9 t ha<sup>-1</sup> only of a total input of 189 t ha<sup>-1</sup>. In other rotations more than 98% of the total OC input was lost. Despite large losses of C, annual increases in OC of 4 per mil are possible on this soil type with the inclusion of grass or grass + clover leys or the application of FYM, but only for a limited period. Such increases in SOC might help to limit increases in atmospheric CO<sub>2</sub>. Highlights: Can leys sequester significant amounts of atmospheric CO<sub>2</sub> in SOM and contribute to the 4 per mil initiative Changes in the percentage and amount of OC were measured and modelled over 70 years and OC losses estimated. Three-year grass or grass + clover leys increased%OC, but only to an equilibrium level that was then maintained. Despite large losses, sequestering CO<sub>2</sub>-C at 4 per mil year<sup>-1</sup> by growing grass or grass + clover leys is possible."	European Journal of Soil Science	68	3	305-316			Calculated bulk density from total soil mass in main text	Ley-arable (LA)	"Baseline SOC present, errors missing"	England	Woburn	52.015	-0.596	Blocked	5	12	16-25 	4	1938	2007	70	Table 2	Table S1
2020UPDTCCLA074a	2020UPDTCCLA074	T. Kautz; C. Stumm; R. Kosters; U. Koepke	2010	Effects of perennial fodder crops on soil structure in agricultural headlands	"In agricultural headlands, rooting and yield of crops may be limited because of soil-structure changes as a consequence of multiple passes Of turning machinery We hypothesized that perennial forage crops can substantially alter soil structure in agricultural headlands. On one experimental field and two commercial farms on Haplic Luvisols from respectively loess and sandy loess in the Lower Rhine Bay (Germany), we investigated how 4 y of continuously grown grass/clover or alfalfa affected soil structure and the performance of subsequent spring wheat Compared with a crop rotation with annual plowing to 30 cm soil depth, perennial forage crops led to increased soil C content (+1 3% to +22 8%) and N content (+4 2% to +15.1%), higher densities of medium and coarse biopores at a depth of 35 cm, more large water-stable soil macro-aggregates, higher biomass and abundance of anecic earthworms, and higher grain yield and grain protein content of spring wheat grown as the following crop Root-length density of spring wheat in the subsoil was not affected by the preceding perennial fodder crops in two of the three field trials We concluded that besides increasing N input to the soil, perennial cropping of grass/clover or alfalfa has effects on soil structure that may substantially reduce yield losses in agricultural headlands"	Journal of Plant Nutrition and Soil Science	173	4	490-501				Ley-arable (LA)	"Errors present, baseline SOC missing"	Germany	Klein-Altendorf	50.619	6.994	Randomised block	4	1	4	3	2004	2008	5	Table 2	Table 4
2020UPDTCCLA074b	2020UPDTCCLA074	T. Kautz; C. Stumm; R. Kosters; U. Koepke	2010	Effects of perennial fodder crops on soil structure in agricultural headlands	"In agricultural headlands, rooting and yield of crops may be limited because of soil-structure changes as a consequence of multiple passes Of turning machinery We hypothesized that perennial forage crops can substantially alter soil structure in agricultural headlands. On one experimental field and two commercial farms on Haplic Luvisols from respectively loess and sandy loess in the Lower Rhine Bay (Germany), we investigated how 4 y of continuously grown grass/clover or alfalfa affected soil structure and the performance of subsequent spring wheat Compared with a crop rotation with annual plowing to 30 cm soil depth, perennial forage crops led to increased soil C content (+1 3% to +22 8%) and N content (+4 2% to +15.1%), higher densities of medium and coarse biopores at a depth of 35 cm, more large water-stable soil macro-aggregates, higher biomass and abundance of anecic earthworms, and higher grain yield and grain protein content of spring wheat grown as the following crop Root-length density of spring wheat in the subsoil was not affected by the preceding perennial fodder crops in two of the three field trials We concluded that besides increasing N input to the soil, perennial cropping of grass/clover or alfalfa has effects on soil structure that may substantially reduce yield losses in agricultural headlands"	Journal of Plant Nutrition and Soil Science	173	4	490-501				Ley-arable (LA)	"Errors present, baseline SOC missing"	Germany	Kaarst	51.191	6.611	Randomised block	3	1	4	3	2004	2008	5	Table 2	Table 4
