Paper ID	Publication Year	Author	Title	Journal / Secondary Title	DOI	Abstract	Volume	Issue	Pages	Multiple Studies? (LocatioNos/Proxies)	Study ID	Language	Country	Name of Site	LatDD	LonDD	Type of Archive	Proxy	Proxy interpretation	Cross Cutting Lens	Preparation of sample method	Unit of Proxy	Evidence of Agriculture	Stratigraphic	Radiocarbon	OSL	Pb210	Cs137	U_Th	Dendrochro	Tephra	Material_Dated	Oldest Date (C.E)	Newest Date (C.E)	Top and bottom of sequence dated?	Is the record continuous?	Calibration data set	Hard Water Error?	Other Chronology Notes	Depositional archive plotted against depth or time?	Raw data available	Average Annual Rainfall (mm)	Wettest Month (mm)	Wettest Quarter (mm)	Dryest Month (mm)	Driest Quarter (mm)	Coefficient of Variance	DEM 30m	ECO_NAME	BIOME_NAME
Rue2002_161	2002	"Rue, D.; Webster, D.; Traverse, A."	"Late Holocene fire and agriculture in the Copan Valley, Honduras"	Ancient Mesoamerica	10.1017/S095653610213210X	"Pollen and charcoal analysis of a 5.3-m sediment core from Aguada Petapilla, a peat bog, provides evidence of late Holocene vegetation and fire history in the Copan Valley, Honduras. Low concentration and preservation problems characterized the pollen flora, but there are taxa present indicative of major agricultural trends, including Zea mays. Microscopic charcoal fragments are well represented and record continued burning in the region since the lowest level of the core (5700 B.P. [3750 B.C.l). Presence of Zea indicates that maize farming was initiated by as early as 2300 B.C. Three peaks in charcoal-fragment frequencies occur in periods centered approximately at 900 B.C., 400 B.C., and A.D. 600. Fires in this relatively dry region of the southern Maya Lowlands (whose mean annual rainfall is about 1,400 mm) could have resulted from natural forest fires or human agricultural clearing at any time in the Holocene. This contrasts with wetter areas of tropical Central and South America (mean annual rainfall of about 2,500-4,000 mm) where significant climatic drying is required to ignite primary tropical forest."	13	2	267-272	Yes	Rue2002_161.i	English	Honduras	Aguada Petapilla	14.867	-89.125	Peat Sediment Core	Pollen	Vegetation;Agriculture	Forests;Land Use Change	"HCI, HF, ZnCI-2, Glycerin"	%	Agricultural Taxa;Decrease in Arboreal Taxa		8							Not Reported	-3637	1989	Bottom	Not Reported	Stuiver and Reimer 1993	Not Reported		Depth	No	1510	1510	719	20	74	7799	784	Central American pine-oak forests	Tropical & Subtropical Coniferous Forests
Rue2002_161	2002	"Rue, D.; Webster, D.; Traverse, A."	"Late Holocene fire and agriculture in the Copan Valley, Honduras"	Ancient Mesoamerica	10.1017/S095653610213210X	"Pollen and charcoal analysis of a 5.3-m sediment core from Aguada Petapilla, a peat bog, provides evidence of late Holocene vegetation and fire history in the Copan Valley, Honduras. Low concentration and preservation problems characterized the pollen flora, but there are taxa present indicative of major agricultural trends, including Zea mays. Microscopic charcoal fragments are well represented and record continued burning in the region since the lowest level of the core (5700 B.P. [3750 B.C.l). Presence of Zea indicates that maize farming was initiated by as early as 2300 B.C. Three peaks in charcoal-fragment frequencies occur in periods centered approximately at 900 B.C., 400 B.C., and A.D. 600. Fires in this relatively dry region of the southern Maya Lowlands (whose mean annual rainfall is about 1,400 mm) could have resulted from natural forest fires or human agricultural clearing at any time in the Holocene. This contrasts with wetter areas of tropical Central and South America (mean annual rainfall of about 2,500-4,000 mm) where significant climatic drying is required to ignite primary tropical forest."	13	2	267-272	Yes	Rue2002_161.ii	English	Honduras	Aguada Petapilla	14.867	-89.125	Peat Sediment Core	Charcoal (Microscopic)	Fire;Agriculture	Forests;Land Use Change	From Pollen Prep	No. of	Burning		8							Not Reported	-3637	1989	Bottom	Not Reported	Stuiver and Reimer 1993	Not Reported		Depth	No	1510	1510	719	20	74	7799	784	Central American pine-oak forests	Tropical & Subtropical Coniferous Forests
Smyth2017_173	2017	"Smyth, M. P.; Dunning, N. P.; Weaver, E. M.; van Beynen, P.; Zapata, D. O."	The perfect storm: climate change and ancient Maya response in the Puuc Hills region of Yucatan	Antiquity	10.15184/aqy.2016.266	"Climatic fluctuation is often cited as a major factor in the collapse of Maya civilisation during the Terminal Classic Period (e.g. Luzzadder-Beach et al. 2016). Evidence of how people dealt or failed to deal with it has only recently become a more widespread focus for archaeologists. Investigations at Xcoch in the Puuc Hills show the various ways in which resident populations sought to manage water stores when faced with a climate prone to drought and other meteorological extremes. The study also presents results from the analysis of nearby speleothem laminae, which indicate that severe episodes of flooding and droughts may have contributed to a collapse in the population around AD 850. Copyright © 2017 Antiquity Publications Ltd."	91	356	490-509	No	Smyth2017_173	English	Mexico	La Vaca Perdida	20.372967	-89.569194	Speleothem	δ18O	Climate;Precipitation	Water	"Smyth et al. (2011, in press)."	VPDB ‰	No	1									500	1500	Neither	Not Reported	Not Reported	Not Applicable		Time	No	1104	1104	530	24	89	7058	77	Yucatán dry forests	Tropical & Subtropical Dry Broadleaf Forests
Horn2001_86	2001	"Horn, S. P.; Kennedy, L. M."	"Pollen evidence of maize cultivation 2700 B.P. at La Selva Biological Station, Costa Rica"	Biotropica	https://doi.org/10.1646/0006-3606(2001)033[0191:PEOMCB]2.0.CO;2	Unraveling long-term forest history and its possible links to modern patterns and processes may be particularly important at well established research stations that are sources of large numbers of publications in tropical ecology. This paper discusses additional evidence of the long-term human history of La Selva Biological Station in Costa Rica based on pollen evidence of maize cultivation much earlier than previously indicated.	33		191-196	No	Horn2001_86	English	Costa Rica	La Selva Biological Station	10.433333	-83.983333	Swamp Sediment Core	Pollen	Agriculture	Land Use Change	"HF, HCl, KOH, Acetolysis, Silicone Oil"	No. of	Agricultural Taxa		1							Not Reported	-770	1992	Not Reported	Not Reported	Pearson & Stuiver 1993	Not Reported		Depth	No	3724	3724	1231	127	471	3850	50	Isthmian-Atlantic moist forests	Tropical & Subtropical Moist Broadleaf Forests
Acosta2018_1	2018	"Acosta, G.; Beramendi, L. E.; Gonzalez, G.; Rivera, I.; Eudave, I.; Hernandez, E.; Sanchez, S.; Morales, P.; Cienfuegos, E.; Otero, F."	Climate change and peopling of the Neotropics during the Pleistocene-Holocene transition	Boletin de la Sociedad Geologica Mexicana	10.18268/BSGM2018v70n1a1	"Santa Marta cave, Chiapas, is a unique archaeological site with high-resolution chronological control and continuous human occupation since 12500 cal BP. In this work we report a correlation between human activity and climate conditions inferred from sedimentological, palynological, archaeozoological and stable isotopic analyses with the aim of assessing the late Pleistocene and early Holocene environmental conditions faced by the first settlers in tropical America. Results suggest that the late Pleistocene and early Holocene periods of abrupt climatic change (ACC), the Younger Dryas and the 8.2 ka event, are recorded in the rock shelter, and coincide with the two main periods of human occupation. The data suggest that these ACC periods were both cold and moist. Human activity had a limited impact at the local or regional level, over a changing environment during the Pleistocene-Holocene transition, though there is some evidence for the introduction of exotic species."	70	1	Jan-19	Yes	Acosta2018_1.ii	English	Mexico	Santa Marta	16.859733	-93.398911	Cave Sediments	δ18O	Climate;Precipitation	Water	Not Reported	VPDB ‰	No		13							Not Reported	10440	-4590	Neither	No	INTCAL13	Not Reported		Time	No	1183	1183	569	18	65	7652	887	Petén-Veracruz moist forests	Tropical & Subtropical Moist Broadleaf Forests
Acosta2018_1	2018	"Acosta, G.; Beramendi, L. E.; Gonzalez, G.; Rivera, I.; Eudave, I.; Hernandez, E.; Sanchez, S.; Morales, P.; Cienfuegos, E.; Otero, F."	Climate change and peopling of the Neotropics during the Pleistocene-Holocene transition	Boletin de la Sociedad Geologica Mexicana	10.18268/BSGM2018v70n1a1	"Santa Marta cave, Chiapas, is a unique archaeological site with high-resolution chronological control and continuous human occupation since 12500 cal BP. In this work we report a correlation between human activity and climate conditions inferred from sedimentological, palynological, archaeozoological and stable isotopic analyses with the aim of assessing the late Pleistocene and early Holocene environmental conditions faced by the first settlers in tropical America. Results suggest that the late Pleistocene and early Holocene periods of abrupt climatic change (ACC), the Younger Dryas and the 8.2 ka event, are recorded in the rock shelter, and coincide with the two main periods of human occupation. The data suggest that these ACC periods were both cold and moist. Human activity had a limited impact at the local or regional level, over a changing environment during the Pleistocene-Holocene transition, though there is some evidence for the introduction of exotic species."	70	1	Jan-19	Yes	Acosta2018_1.iii	English	Mexico	Santa Marta	16.859733	-93.398911	Cave Sediments	δ13C	Climate;Precipitation	Water	Not Reported	VPDB ‰	No		13							Not Reported	10440	-4590	Neither	No	INTCAL13	Not Reported		Time	No	1183	1183	569	18	65	7652	887	Petén-Veracruz moist forests	Tropical & Subtropical Moist Broadleaf Forests
Acosta2018_1	2018	"Acosta, G.; Beramendi, L. E.; Gonzalez, G.; Rivera, I.; Eudave, I.; Hernandez, E.; Sanchez, S.; Morales, P.; Cienfuegos, E.; Otero, F."	Climate change and peopling of the Neotropics during the Pleistocene-Holocene transition	Boletin de la Sociedad Geologica Mexicana	10.18268/BSGM2018v70n1a1	"Santa Marta cave, Chiapas, is a unique archaeological site with high-resolution chronological control and continuous human occupation since 12500 cal BP. In this work we report a correlation between human activity and climate conditions inferred from sedimentological, palynological, archaeozoological and stable isotopic analyses with the aim of assessing the late Pleistocene and early Holocene environmental conditions faced by the first settlers in tropical America. Results suggest that the late Pleistocene and early Holocene periods of abrupt climatic change (ACC), the Younger Dryas and the 8.2 ka event, are recorded in the rock shelter, and coincide with the two main periods of human occupation. The data suggest that these ACC periods were both cold and moist. Human activity had a limited impact at the local or regional level, over a changing environment during the Pleistocene-Holocene transition, though there is some evidence for the introduction of exotic species."	70	1	Jan-19	Yes	Acosta2018_1.iv	English	Mexico	Santa Marta	16.859733	-93.398911	Cave Sediments	Pollen	Temperature;Vegetation	Forests;Water	Not Reported	%	No		13							Not Reported	10440	-4590	Neither	No	INTCAL13	Not Reported		Time	No	1183	1183	569	18	65	7652	887	Petén-Veracruz moist forests	Tropical & Subtropical Moist Broadleaf Forests
Temoltzin-Loranca2018_180	2018	"Temoltzin-Loranca, Y.; Isabel Velez, M.; Moreno, E.; Escobar, J.; Velez, M. I.; Moreno, E.; Escobar, J."	Late Holocene environmental change in Lake Boquete and its watershed: human or natural causes?	Boletin de la Sociedad Geologica Mexicana	10.18268/BSGM2018v70n1a7	"A paleolimnological and environmental reconstruction of the volcanic Lake Boquete, in the northern highlands of Panama, was produced based on diatom, sediment, and charcoal analyses. The main aim of this study is to contribute to the understanding of the long-term anthropogenic effect in Lake Boquete and its watershed, a unique space (Gran Chiriquí region) where human occupation and nature have interacted since ~7000 yr BP (years Before Present). Our results indicate two main periods of environmental change. In the first period, from ~2840 to 1740 cal yr BP (calibrated years Before Present), the lake was under the influence of high-energy flow regimes and high erosion rates. Water pH was gradually changing from neutral to alkaline. There's evidence of fires with four main events, some appear to be natural as indicated by the proxies, while others seem to be associated with anthropic causes most likely related to intense periods of cultivation; a particularly intense fire event is identified at ~2607 cal yr BP. We infer that during this period the lake and its watershed were under intense human impact. In the second period, from ~1740 to 197 cal yr BP, the lake was under a steady low-energy flow regime, submerged vegetation was more abundant, and pH became more acidic, fire events were less frequent. We infer that these conditions were the result of land abandonment due to human migration to the lowlands. Notwithstanding intense and frequent dry climate spells during the second period, Lake Boquete water levels were not affected, and thus, this record suggest that the main cause of environmental and limnological change in Lake Boquete and its watershed has been anthropogenic activities. © 2018, Instituto de Geologã-a, Universidad Nacional Autãnoma de Mã ©xico."	70	1	121-131	Yes	Temoltzin-Loranca2018_180.i	English	Panama	Boquete	8.88582	-82.499791	Lake Sediment Core	Diatoms	Water Level	Water	Zrax®	%	No		3							Bulk sediments	-892	1752	Top and Bottom	Not Reported	INTCAL13	Not Reported		Depth	No	3751	3751	1320	102	466	3973	1859	Talamancan montane forests	Tropical & Subtropical Moist Broadleaf Forests
Temoltzin-Loranca2018_180	2018	"Temoltzin-Loranca, Y.; Isabel Velez, M.; Moreno, E.; Escobar, J.; Velez, M. I.; Moreno, E.; Escobar, J."	Late Holocene environmental change in Lake Boquete and its watershed: human or natural causes?	Boletin de la Sociedad Geologica Mexicana	10.18268/BSGM2018v70n1a7	"A paleolimnological and environmental reconstruction of the volcanic Lake Boquete, in the northern highlands of Panama, was produced based on diatom, sediment, and charcoal analyses. The main aim of this study is to contribute to the understanding of the long-term anthropogenic effect in Lake Boquete and its watershed, a unique space (Gran Chiriquí region) where human occupation and nature have interacted since ~7000 yr BP (years Before Present). Our results indicate two main periods of environmental change. In the first period, from ~2840 to 1740 cal yr BP (calibrated years Before Present), the lake was under the influence of high-energy flow regimes and high erosion rates. Water pH was gradually changing from neutral to alkaline. There's evidence of fires with four main events, some appear to be natural as indicated by the proxies, while others seem to be associated with anthropic causes most likely related to intense periods of cultivation; a particularly intense fire event is identified at ~2607 cal yr BP. We infer that during this period the lake and its watershed were under intense human impact. In the second period, from ~1740 to 197 cal yr BP, the lake was under a steady low-energy flow regime, submerged vegetation was more abundant, and pH became more acidic, fire events were less frequent. We infer that these conditions were the result of land abandonment due to human migration to the lowlands. Notwithstanding intense and frequent dry climate spells during the second period, Lake Boquete water levels were not affected, and thus, this record suggest that the main cause of environmental and limnological change in Lake Boquete and its watershed has been anthropogenic activities. © 2018, Instituto de Geologã-a, Universidad Nacional Autãnoma de Mã ©xico."	70	1	121-131	Yes	Temoltzin-Loranca2018_180.ii	English	Panama	Boquete	8.88582	-82.499791	Lake Sediment Core	Charcoal (Microscopic)	Fire	Forests;Land Use Change	Clark (1988)	mm-2;cm-3	Burning		3							Bulk sediments	-892	1752	Top and Bottom	Not Reported	INTCAL13	Not Reported		Depth	No	3751	3751	1320	102	466	3973	1859	Talamancan montane forests	Tropical & Subtropical Moist Broadleaf Forests
Franco-Gaviria2020_62	2020	"Franco-Gaviria, F.; Correa-Metrio, A.; Nunez-Useche, F.; Zawisza, E.; Caballero, M.; Prado, B.; Wojewodka, M.; Olivares, G.; Núñez-Useche, F.; Zawisza, E.; Caballero, M.; Prado, B.; Wojewódka, M.; Olivares, G."	Millennial-to-centennial scale lake system development in the mountains of tropical Mexico	Boreas	10.1111/bor.12430	"Rapid degradation of freshwater ecosystems threatens water supply for human populations and natural landscapes. At diverse time scales, this process has been clearly associated with climatic and anthropogenic forcings. The question remains, however, how tropical lakes have responded to these two sources of variability. We present a multiproxy record from Lake San Lorenzo, Lagunas de Montebello National Park, tropical Mexico, spanning the last 3400 years. We used multi-elemental concentrations, and Cladocera and pollen assemblages along the record to reconstruct regional and local environmental variability, aiming to infer the factors and processes involved in the evolution of the lacustrine system. A principal component analysis on the pooled biological and geochemical evidence allowed the inference of the main changes in lake level and productivity. At millennial scales, the development of the lake system has been closely associated with regional moisture availability, with wetter (drier) time intervals associated with high (low) lake stands. According to Ti concentrations, from 3400 to 1000 cal. a BP, regional conditions followed a trend towards drier conditions, with littoral cladoceran assemblages suggesting high lake productivity. The extreme regional droughts reportedly associated with the cultural collapse of the Maya civilization manifested in our study area through both high lake productivity and the lowest lake levels of the record. Through the last 800 years, the regional moisture availability has increased, with the water body becoming deeper and larger. Overall, our record offers evidence of a highly variable system strongly coupled with regional climates, but also very sensitive to local disturbances associated with human occupation. Lake San Lorenzo has been highly resilient to external pressures and has previously recovered from conditions probably alike those associated with the ongoing modern deterioration process. Nevertheless, such recovery involves a complex network of interactions amongst natural and human factors."	49	2	363-374	Yes	Franco-Gaviria2020_62.i	English	Guatemala	San Lorenzo	16.147314	-91.768701	Lake Sediment Core	Geochemistry	Catchment Erosion;Precipitation	Forests;Land Use Change;Water	Not Reported	ppm;%	Catchment Erosion		4							"Charcoal, Plant remains"	-1450	2013	Bottom	Not Reported	INTCAL13	Not Reported		Time	No	2150	2150	1038	35	132	7746	1497	Central American pine-oak forests	Tropical & Subtropical Coniferous Forests
