UID	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract	Volume	Issue	Pages	Publisher	Index Terms	State Code	LatDD	LonDD	Forest Type	Dominant Forest Tree Species	Age of Forest Area	Historical Forest Management	Forest Management Notes	Study Design	Multiple Studies?	Year of Study Start	Time Since Intervention	Study Duration	Replications	Controls	Management Intervention (High Level)	Managed for Wood Pellet Industry	Deadwood Extraction	Slash Extraction	Method of Sampling (High Level)	Type of Data Collected	Biodiversity Indicator	Negative Impact	Negative Impact by Species	Negative by Class
258	Journal article	2016	"Grodsky, S. M.; Moorman, C. E.; Fritts, S. R.; Hazel, D. W.; Homyack, J. A.; Castleberry, S. B.; Wigley, T. B."	Winter bird use of harvest residues in clearcuts and the implications of forest bioenergy harvest in the southeastern United States	Forest Ecology and Management		0378-1127	10.1016/j.foreco.2016.07.045	http://www.sciencedirect.com/science/article/pii/S0378112716304017	"Increased market viability of harvest residues gleaned for forest bioenergy feedstocks may intensify downed wood removal, particularly in intensively managed forests of the Southeast. Downed wood provides food and cover for many wildlife species, including birds, yet we are aware of no study that has examined winter bird response to experimentally manipulated, operational-scale woody biomass harvests. Further, little research has investigated avian use of downed wood following timber harvests. As such, our objectives were to: (1) evaluate effects of varying intensities of woody biomass harvest on the winter bird community and (2) document spatial associations between winter bird species and available habitat structure, including downed wood, in regenerating stands. In January and February of 2012-2014, we surveyed birds using a modified version of spot-mapping in six woody biomass removal treatments in North Carolina, USA (n=4 regenerating stands). Treatments included clearcut harvest followed by: (1) traditional woody biomass harvest with no biomass harvesting guidelines; (2) 15% retention with harvest residues dispersed; (3) 15% retention with harvest residues clustered; (4) 30% retention with harvest residues dispersed; (5) 30% retention with harvest residues clustered; and (6) no woody biomass harvest (i.e., reference). We tested for treatment-level effects on avian relative abundance (overall and individual species), species diversity and richness, and counts of winter birds detected near (~1 m from pile), in, or on branches of downed wood piles and calculated proportional avian habitat use of harvest residues and vegetation in regenerating stands. In 69 visits over three winters, we observed 3352 birds in treatments. In 2013, counts of birds detected in piles were greater in the no biomass harvest and 30% clustered treatments than the no biomass harvesting guidelines treatment. In 2012 and 2013 combined, mourning dove (Zenaida macroura) had greater relative abundance in the no biomass harvest treatment compared to the 15% dispersed treatment and was more often detected within 1 m of downed wood piles than in vegetation. We counted more winter birds in and near adjacent forest edge than in treatment interiors each year. Overall, we detected minimal treatment effects on winter bird relative abundance and no effects on species diversity and richness. Relative abundance of winter birds increased over time as vegetative cover established in regenerating stands. Our results suggest woody biomass harvests in intensively managed pine forests had no effect on the winter bird community, but winter birds used harvest residues. Further, vegetation structure and composition, rather than availability of harvest residues, primarily influenced winter bird use of regenerating stands."	379		91-101		habitats; biodiversity; ecology; species diversity; guidelines; trees; woody plants; forests; renewable energy; vegetation; biomass; effects; coniferous forests; viability; regeneration; branches; wildlife; silvicultural systems; harvesting; bioenergy; clear felling; pines; residues; feedstocks; raw materials; plant residues	NC	35.6104	-76.8613	Conifer	Pinus taeda	39	Sawtimber	"All four blocks [70.5 ¬¨¬± 6.1 (mean ¬¨¬± SE) ha] were inten- sively managed forests planted with loblolly pine (Pinus taeda) seedlings and managed by Weyerhaeuser Company. Blocks were managed for sawtimber production and were commercially thinned twice before final harvest at 32‚Äö√Ñ√¨39 years old. The study area primarily consisted of pine plantations of various ages (86%), and the surrounding area included agriculture, forest, and limited rural housing"	CI	N	2010	4	4	20	4	Clearcutting	N	N	N	Field observation;Spatial analysis;Transect	A	Birds	N		
307	Journal article	2014	"Homyack, J. A.; Lucia-Simmons, K. E.; Miller, D. A.; Kalcounis-Rueppell, M."	Rodent population and community responses to forest-based biofuel production	Journal of Wildlife Management		0022-541X	10.1002/jwmg.786	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1937-2817	"Intensively managed forests in the southeastern United States are a potential source of cellulosic bioenergy and, as conversion technologies improve and demand increases, a greater land area may be required to produce biofuel feedstocks. However, responses of wildlife to forest-based biofuel production are largely unknown. We examined the 4-year response of rodent populations and assemblages to a range of biofuel production regimes, including harvesting residual woody debris and intercropping switchgrass (Panicum virgatum), in an intensively managed loblolly pine (Pinus taeda) forest in eastern North Carolina, USA. We investigated abundance, demography, and community response of rodents in a randomized and replicated field experiment using mark-recapture techniques during 2009-2012. Whereas removal of downed woody biomass did not affect abundance, diversity, or demography of rodents, we detected species-specific effects of incorporating switchgrass. After switchgrass was well established, invasive house mice (Mus musculus) were most abundant in plots with switchgrass. In contrast, white-footed mice (Peromyscus leucopus) were commonly captured in plots without switchgrass and other rodents were not affected by biofuel treatments. Across the study, natural succession exerted greater effects on rodent species and the rodent community than biofuel production regimes. As remaining logs and stumps decay and become limiting, downed wood may become more important to rodents. Our results indicate that intercropping switchgrass and harvesting residual woody material had limited effects on rodents in the Coastal Plain of North Carolina, USA within 4 years of stand establishment."	78	8	1425-1435		invasive species; species diversity; trees; woody plants; forests; biofuels; renewable energy; renewable resources; species richness; forest management; intercropping; harvesting; bioenergy; pines; coastal plains	NC	35.2128521	-77.9011648	Conifer	Pinus taeda	38	former plantation	"nability. The study site, located in Lenoir County, North Carolina, USA, on land owned and managed by Weyerhaeuser Company, was established in 2008 on a 109-ha loblolly pine plantation planted in 1974. As was typical for the region, a series of linear drainage ditches, which improve the hydrologic conditions for pine growth and survival in plantations, were present. The surrounding landscape was a mixture of row-crop agriculture, forest, and rural housing."	CI	N	2008	5	4	16	4	Clearcutting	N	N	N	Live trapping	RA	Mammals	N		
307	Journal article	2014	"Homyack, J. A.; Lucia-Simmons, K. E.; Miller, D. A.; Kalcounis-Rueppell, M."	Rodent population and community responses to forest-based biofuel production	Journal of Wildlife Management		0022-541X	10.1002/jwmg.786	http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1937-2817	"Intensively managed forests in the southeastern United States are a potential source of cellulosic bioenergy and, as conversion technologies improve and demand increases, a greater land area may be required to produce biofuel feedstocks. However, responses of wildlife to forest-based biofuel production are largely unknown. We examined the 4-year response of rodent populations and assemblages to a range of biofuel production regimes, including harvesting residual woody debris and intercropping switchgrass (Panicum virgatum), in an intensively managed loblolly pine (Pinus taeda) forest in eastern North Carolina, USA. We investigated abundance, demography, and community response of rodents in a randomized and replicated field experiment using mark-recapture techniques during 2009-2012. Whereas removal of downed woody biomass did not affect abundance, diversity, or demography of rodents, we detected species-specific effects of incorporating switchgrass. After switchgrass was well established, invasive house mice (Mus musculus) were most abundant in plots with switchgrass. In contrast, white-footed mice (Peromyscus leucopus) were commonly captured in plots without switchgrass and other rodents were not affected by biofuel treatments. Across the study, natural succession exerted greater effects on rodent species and the rodent community than biofuel production regimes. As remaining logs and stumps decay and become limiting, downed wood may become more important to rodents. Our results indicate that intercropping switchgrass and harvesting residual woody material had limited effects on rodents in the Coastal Plain of North Carolina, USA within 4 years of stand establishment."	78	8	1425-1435		invasive species; species diversity; trees; woody plants; forests; biofuels; renewable energy; renewable resources; species richness; forest management; intercropping; harvesting; bioenergy; pines; coastal plains	NC	35.2128521	-77.9011648	Conifer	Pinus taeda	38	former plantation	"nability. The study site, located in Lenoir County, North Carolina, USA, on land owned and managed by Weyerhaeuser Company, was established in 2008 on a 109-ha loblolly pine plantation planted in 1974. As was typical for the region, a series of linear drainage ditches, which improve the hydrologic conditions for pine growth and survival in plantations, were present. The surrounding landscape was a mixture of row-crop agriculture, forest, and rural housing."	CI	N	2008	5	4	16	4	Clearcutting	N	N	N	Live trapping	RA	Invasive/exotic/non-native species	N		
45	Journal article	1997	"Ash, A. N."	Disappearance and return of plethodontid salamanders to clearcut plots in the southern Blue Ridge Mountains	Conservation Biology			10.1046/j.1523-1739.1997.96172.x	http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=caba4&AN=19980601038 http://oxfordsfx.hosted.exlibrisgroup.com/oxford?sid=OVID:cabadb&id=pmid:&id=doi:10.1046%2Fj.1523-1739.1997.96172.x&issn=0888-8892&isbn=&volume=11&issue=4&spage=983&	"The disappearance and return of plethodontid salamanders on clearcuts has been monitored since 1979 in the southern Blue Ridge Mountains at 3 sites near Highlands, North Carolina. Salamander abundance on 225-msuperscript 2 plots located on clearcuts and in nearby forest (Pinus strobus/mixed hardwood stands) was determined by nightly non-destructive searches. Numbers of salamanders on clearcut plots decreased to 30-50% of those on forested plots in the first year after logging and were almost zero by the second year. Decreases in standing crop and moisture content of leaf litter seem responsible for salamander disappearance. Salamanders returned to clearcuts 4-6 years after cutting, and their numbers increased rapidly. Linear regressions estimate that salamander numbers on clearcut plots will equal or exceed numbers on forested plots by 20-24 years after cutting. The pattern of salamander return to clearcuts appears closely correlated with the timing of litter layer reformation. All sex and age classes of the commonest species, Plethodon jordani, disappear from clearcuts at equal rates, whereas the earliest colonizers are predominantly large adults. Plethodon oconaluftee, a desiccation-resistant species, exists on regenerating clearcuts in disproportionately large numbers. Large adults of all species, including Plethodon oconaluftee, may be better able to withstand the drier, sparse litter cover of young, regenerating stands. Adults might move to clearcuts to avoid competition from smaller and immature salamanders restricted to mature forests with abundant, moist litter."	11		983-989		Forests and Forest Trees (Biology and Ecology) [KK	NC	35.03333333	-83.21666667	Mixed	Pinus strobus		Clearcut	"These two sites were identified in 1985 before logging occurred so that pre- logging litter samples could be taken from the area to be logged as well as from nearby forest not designated for harvest. The perimeter of areas to be logged had been marked by spray-painted trees, thus the boundaries of future clear- cuts were known. BC was logged in winter 1986-87 and RK was logged in winter 1985-86."	BACI	Y	1985	8	10	2	2	Clearcutting	N	N	N	Field observation	A	Amphibians	N		
45	Journal article	1997	"Ash, A. N."	Disappearance and return of plethodontid salamanders to clearcut plots in the southern Blue Ridge Mountains	Conservation Biology			10.1046/j.1523-1739.1997.96172.x	http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=caba4&AN=19980601038 http://oxfordsfx.hosted.exlibrisgroup.com/oxford?sid=OVID:cabadb&id=pmid:&id=doi:10.1046%2Fj.1523-1739.1997.96172.x&issn=0888-8892&isbn=&volume=11&issue=4&spage=983&	"The disappearance and return of plethodontid salamanders on clearcuts has been monitored since 1979 in the southern Blue Ridge Mountains at 3 sites near Highlands, North Carolina. Salamander abundance on 225-msuperscript 2 plots located on clearcuts and in nearby forest (Pinus strobus/mixed hardwood stands) was determined by nightly non-destructive searches. Numbers of salamanders on clearcut plots decreased to 30-50% of those on forested plots in the first year after logging and were almost zero by the second year. Decreases in standing crop and moisture content of leaf litter seem responsible for salamander disappearance. Salamanders returned to clearcuts 4-6 years after cutting, and their numbers increased rapidly. Linear regressions estimate that salamander numbers on clearcut plots will equal or exceed numbers on forested plots by 20-24 years after cutting. The pattern of salamander return to clearcuts appears closely correlated with the timing of litter layer reformation. All sex and age classes of the commonest species, Plethodon jordani, disappear from clearcuts at equal rates, whereas the earliest colonizers are predominantly large adults. Plethodon oconaluftee, a desiccation-resistant species, exists on regenerating clearcuts in disproportionately large numbers. Large adults of all species, including Plethodon oconaluftee, may be better able to withstand the drier, sparse litter cover of young, regenerating stands. Adults might move to clearcuts to avoid competition from smaller and immature salamanders restricted to mature forests with abundant, moist litter."	11		983-989		Forests and Forest Trees (Biology and Ecology) [KK	NC	35.08333333	-83.21666667	Mixed	Pinus strobus		Clearcut	"These two sites were identified in 1985 before logging occurred so that pre- logging litter samples could be taken from the area to be logged as well as from nearby forest not designated for harvest. The perimeter of areas to be logged had been marked by spray-painted trees, thus the boundaries of future clear- cuts were known. BC was logged in winter 1986-87 and RK was logged in winter 1985-86."	BACI	Y	1985	1	2	1	1	Clearcutting	N	N	N	Field observation	A	Amphibians	N		
45	Journal article	1997	"Ash, A. N."	Disappearance and return of plethodontid salamanders to clearcut plots in the southern Blue Ridge Mountains	Conservation Biology			10.1046/j.1523-1739.1997.96172.x	http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=caba4&AN=19980601038 http://oxfordsfx.hosted.exlibrisgroup.com/oxford?sid=OVID:cabadb&id=pmid:&id=doi:10.1046%2Fj.1523-1739.1997.96172.x&issn=0888-8892&isbn=&volume=11&issue=4&spage=983&	"The disappearance and return of plethodontid salamanders on clearcuts has been monitored since 1979 in the southern Blue Ridge Mountains at 3 sites near Highlands, North Carolina. Salamander abundance on 225-msuperscript 2 plots located on clearcuts and in nearby forest (Pinus strobus/mixed hardwood stands) was determined by nightly non-destructive searches. Numbers of salamanders on clearcut plots decreased to 30-50% of those on forested plots in the first year after logging and were almost zero by the second year. Decreases in standing crop and moisture content of leaf litter seem responsible for salamander disappearance. Salamanders returned to clearcuts 4-6 years after cutting, and their numbers increased rapidly. Linear regressions estimate that salamander numbers on clearcut plots will equal or exceed numbers on forested plots by 20-24 years after cutting. The pattern of salamander return to clearcuts appears closely correlated with the timing of litter layer reformation. All sex and age classes of the commonest species, Plethodon jordani, disappear from clearcuts at equal rates, whereas the earliest colonizers are predominantly large adults. Plethodon oconaluftee, a desiccation-resistant species, exists on regenerating clearcuts in disproportionately large numbers. Large adults of all species, including Plethodon oconaluftee, may be better able to withstand the drier, sparse litter cover of young, regenerating stands. Adults might move to clearcuts to avoid competition from smaller and immature salamanders restricted to mature forests with abundant, moist litter."	11		983-989		Forests and Forest Trees (Biology and Ecology) [KK	NC	35.037402	-83.1681727	Mixed	"Quercus velutina, Quercus prinus, Carya tomentosa"		Clearcut		CI	Y	1979	16	16	2	2	Clearcutting	N	N	N	Field observation	A	Amphibians	N		
58	Journal article	2001	"Bartman, C. E.; Parker, K. C.; Laerm, J.; McCay, T. S."	Short-term response of jordan's salamander to a shelterwood timber harvest in western north carolina	Physical Geography			10.1080/02723646.2001.10642735	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035207138&doi=10.1080%2F02723646.2001.10642735&partnerID=40&md5=d0d8fa1a19cfad95d931c2d799b2360a	"The effects of shelterwood cutting on the abundance of Jordan's salamander (Plethodon jordani) in western North Carolina were examined during 1997 and 1998. Terrestrial salamander assemblages were sampled before, immediately after, and one year after timber harvest on control and treatment plots to estimate abundance. We also surveyed salamanders immediately after the harvest along transects radiating out from cut plots to determine whether cutting triggered salamander emigration from disturbed plots. Both before and after timber harvest, the site was strongly dominated by Jordan's salamander. No significant effects of initial shelterwood cutting on Jordan's salamander abundance were apparent after timber harvest. Abundance of this species decreased from pre-cutting to post-cutting sampling on both control and treatment plots, which likely reflected the drought that characterized both post-cutting sampling periods, but not pre-cutting sampling. No emigration of salamanders from the cut plots was detected after timber harvest. These findings suggest that at a stand scale, shelterwood harvests may pose less of a short-term threat to salamander populations than clearcutting, but more study is necessary to assess broad-scale tradeoffs between harvest yield and biological impacts associated with alternative timber harvest methods. ¬¨¬© 2001 by V. H. Winston & Son, Inc. All rights reserved."	22	2	154-166		Plethodon jordani United States abundance amphibian ecological impact timber ha	NC	35.3	-83.93333333	Broadleaf	"Quercus prinus, Q. alba, Fagus grandifolia, Acer rubrum, Tsuga caroliniana"		Shelterwood Harvest	"The study site was 5.83 ha in size and occupied a north-fac- ing slope from 1370 to 1550 m in elevation. The site was cut during the summer of 1997 in the initial stage of a shelterwood harvest. This harvest involved felling 70- 85% of the overstory basal area, from an initial value of approximately 27 m*/ha to a residual value of 4-8 m*/ha. An effort was made to retain oaks (Quercus spp.) in the residual overstory to maintain hard mast production and the representation of this genus in subsequent regeneration. Residual trees were widely spaced, and all felled trees were retained at the site."	BA	N	1996	1	3	3	3	Shelterwood	N	N	N	Live trapping;Transect	A	Amphibians	N		
60	Journal article	2012	"Becker, D. A.; Wood, P. B.; Keyser, P. D."	Canada Warbler use of harvested stands following timber management in the southern portion of their range	Forest Ecology and Management			10.1016/j.foreco.2012.03.018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859704397&doi=10.1016%2Fj.foreco.2012.03.018&partnerID=40&md5=899a677638e7750f9ca05325300d591d	"We evaluated Canada Warbler (Cardellina canadensis) responses to changes in habitat characteristics (landscape metrics, landcover, and microhabitat features) at multiple spatial scales resulting from timber harvests (clear-cut, heavy partial, and light partial) between 1996 and 2009. Relative abundance of Canada Warblers decreased over time on our West Virginia study area (Wildlife and Ecosystem Research Forest) and within the Appalachian Bird Conservation Region. Initially, relative abundance was greater closer to roads, but as timber harvests became more common, relative abundance became positively associated with amount of light partial harvests at the local scale. Nest survival was 45.6 +/- 18.3% during 1996-1998 and 24.9 +/- 14.6% during 2007-2009, but did not differ (P = 0.38) between these periods. Areas around nests in 2007-2009 (n = 17) had less intermediate canopy cover and fewer residual trees but more green cover, woody debris, and pole trees than areas around nests in 1996-1998 (n = 10). Successful nests had more low cover, less vertical diversity, more woody debris, more saplings, and greater edge density than failed nests. We found a positive association between relative abundance and all three types of timber harvests and an improvement in habitat through understory development and retention of residual trees. Our research finds preliminary support for use of timber harvests, particularly light partial harvests, as a management tool for Canada Warblers in the southern portion of their range with the need for extended research using treatments and controls to confirm successful management. (C) 2012 Elsevier B.V. All rights reserved."	276				Canada Warbler Timber management Light partial har	WV	38.7520419	-80.3751512	Mixed	"Picea rubens, Tsuga canadensis, Acer rubrum, Fagus grandifolia, Prunus serotina, Quercus rubra, Betula lenta, Liriodendron tulipifera, Quercus velutina, Quercus coccinea, Carya spp."	90	"Clearcutting, sheltewood cutting, single tree select harvest"	"The WERF in 1996 was primarily a 70-90 year old even-aged, mature forest resulting from extensive logging that occurred from 1916 to 1928 (Keyser and Ford, 2005). By 2009, it consisted of a mix of mature and successional forests from recent timber har- vests. Forest management during the study included even-aged timber harvesting such as clear-cutting, shelterwood cuts, and deferment cuts, and uneven-age or partial harvesting via single- tree selection harvests of mature sawtimber (Dellinger et al., 2007). Limited early successional habitat was created by other dis- turbance including logging roads and a few gas wells."	CI	N	1996	Continuous	13	20		Clearcutting;Shelterwood;Selective methods	N	N	N	Field observation;Spatial analysis;Transect	A	Birds	N		
61	Journal article	2011	"Becker, D. A.; Wood, P. B.; Keyser, P. D.; Wigley, T. B.; Dellinger, R.; Weakland, C. A."	Threshold responses of songbirds to long-term timber management on an active industrial forest	Forest Ecology and Management			10.1016/j.foreco.2011.04.011	http://www.sciencedirect.com/science/article/pii/S037811271100226X	"Forest managers often seek to balance economic benefits from timber harvesting with maintenance of habitat for wildlife, ecosystem function, and human uses. Most research on the relationship between avian abundance and active timber management has been short-term, lasting one to two years, creating the need to investigate long-term avian responses and to identify harvest thresholds when a small change in habitat results in a disproportionate response in relative abundance and nest success. Our objectives were to identify trends in relative abundance and nest success and to identify landscape-scale disturbance thresholds for avian species and habitat guilds in response to a variety of harvest treatments (clear-cuts, heavy and light partial harvests) over 14 years. We conducted point counts and monitored nests at an industrial forest in the central Appalachians of West Virginia during 1996-1998, 2001-2003, and 2007-2009. Early successional species increased in relative abundance across all three time periods, whereas interior-edge and forest-interior guilds peaked in relative abundance mid-study after which the forest-interior guild declined. Of 41 species with >10 detections, four (10%) declined significantly, 13 (32%) increased significantly (only three species among all periods), and 9 (22%) peaked in abundance mid-study (over the entire study period, four species had no significant change in abundance, four declined, and one increased). Based on piecewise linear models, forest-interior and interior-edge guilds' relative abundance harvest thresholds were 28% total harvests (all harvests combined), 10% clear-cut harvests, and 18% light partial harvests, after which abundances declined. Harvest thresholds for the early successional guild were 42% total harvests, 11% clear-cut harvest, and 10% light partial harvests, and relative abundances increased after surpassing thresholds albeit at a reduced rate of increase after the clear-cut threshold. Threshold confidence intervals for individual species overlapped their guild threshold intervals 91% of the time. Even though relative abundance of most species (80%) did not decline as the area affected by timber management increased, implementing management at or below our approximate forest-interior and interior-edge harvest thresholds would reduce the number of declining species by half, maintain higher relative abundances of four species with a net decline in abundance but that peaked in abundance mid-study, and maintain higher relative abundances of ten additional species. In contrast, this management strategy also would prevent the increase in relative abundance of seven species and limit the increase in abundance of three species that increased throughout the study."	262	3	449-460		biodiversity clear felling economic analysis forest management forest plantations forests habitats linear models logging profits species diversity species richness timbers wildlife	WV	38.7520419	-80.3751512	Mixed	"Picea rubens, Tsuga canadensis, Acer rubrum, Fagus grandifolia, Prunus serotina, Quercus rubra, Betula lenta, Liriodendron tulipifera, Quercus velutina, Quercus coccinea, Carya spp."	90	"Clearcutting, sheltewood cutting, single tree select harvest"	"At the study's inception, the WERF was primarily a 70- to 90- year-old even-aged mature forest that originated following logging during 1916-1928. Since that time, much of the WERF has been ac- tively managed using even-aged timber harvesting in the form of clear-cuts, shelterwood cuts, and deferment cuts, and uneven-age or partial harvesting via single-tree selection and high-grade harvests of mature sawtimber (Dellinger et al., 2007). Initial management included a balanced mixture of even and uneven- aged methods, and in 2007, shifted to primarily uneven-aged techniques."	CI	N	1996	Continuous	13	20		Clearcutting;Shelterwood;Selective methods	N	N	N	Field observation;Spatial analysis;Transect	RA	Birds	Y	"Vireo solitarius, Dendroica fusca, Wilsonia canadensis, Regulus satrapa, Picoides pubescens, Dendroica magnolia, Vireo olivaceus, Piranga olivacea"	Birds
62	Journal article	2012	"Belote, R. T.; Jones, R. H.; Wieboldt, T. F."	Compositional stability and diversity of vascular plant communities following logging disturbance in Appalachian forests	Ecological Applications			doi:10.1890/11-0925.1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859524102&doi=10.1890%2F11-0925.1&partnerID=40&md5=f9f4dbd3784da64d66dc710424febae9	"Human-caused changes in disturbance regimes and introductions of nonnative species have the potential to result in widespread, directional changes in forest community structure. The degree that plant community composition persists or changes following disturbances depends on the balance between local extirpation and colonization by new species, including nonnatives. In this study, we examined species losses and gains, and entry of native vs. exotic species to determine how oak forests in the Appalachian Mountains might shift in species composition following a gradient of pulse disturbances (timber harvesting). We asked (1) how compositional stability of the plant community (resistance and resilience) was influenced by disturbance intensity, (2) whether community responses were driven by extirpation or colonization of species, and (3) how disturbance intensity influenced total and functional group diversity, including the nonnative proportion of the flora through time. We collected data at three spatial scales and three times, including just before, one year post-disturbance, and 10 years post-disturbance. Resistance was estimated using community distance measures between pre- and one Year post-disturbance, and resilience using community distance between pre- and 10-year post-disturbance conditions. The number of colonizing and extirpated species between sampling times was analyzed for all species combined and for six functional groups. Resistance and resilience decreased with increasing timber-harvesting disturbance; compositional stability was lower in the most disturbed plots, which Was driven by colonization, but not extirpation, of species. Colonization of species also led to increases in diversity after disturbance that was typically maintained after 10 years following disturbance. Most of the community-level responses were driven by post-disturbance colonization of native forbs and graminoids. The nonnative proportion of plant species tended to increase following disturbance, especially at large spatial scales in the most disturbed treatments, but tended to decrease through time following disturbance due to canopy development. The results of this study are consistent with the theory that resources released by disturbance have strong influences on species colonization and community composition. The effects of management activities tested in this study, which span a gradient of timber-harvesting disturbance, shift species composition largely via an increase in species colonization and diversity."	22	2	502-516		Appalachian Mountains USA colonization compositional stability disturban	VA; WV	38.1010732	-79.8003512	Broadleaf	"Quercus spp., Acer rubrum, Liriodendron tulipifera, and Carya spp."		Experimentl forest plot	"The study sites are part of an experimental manipulation of canopy disturbance in Appalachian oak forests. Disturbances were applied to examine the influences of regeneration harvesting intensities on multiple system components including plant ( Wender 2000, Hood 2001) and animal diversity and composition (Knapp et al. 2003, Homyack and Haas 2009), invasions by nonnative species (Belote et al. 2008), oak regeneration (Atwood et al. 2009), and soil ecosystem processes (Sucre and Fox 2008)."	BACI	N	1992	1;2; 10	16	42	7	Clearcutting;Shelterwood;Selective methods	N	N	N	Cover estimates;Species inventories	RA	Trees	N		
