Comparison Arm ID	UID	LatDD	LonDD	Intervention (Study) Housing Type (HT1)	HT1 - Outdoor Access	Comparison Housing Type (HT2)	HT2 - Grazing Period	HT2 - Outdoor Access	Citation	Year of Publication	Author	Title	Journal/Main Resource Title/Academic Institution 	DOI	ISSN/ISBN	URL	Abstract	Volume	Issue	Pages	Language	Scale of Study	Number of Study Sites	Super National Area	Country	Sub National Region	Study Type	Study Data Type	Study BACI	Study Aim/Objective(s)	Study Duration (Years)	Study Date(s)	Number of Farms	Number of Herds	Number of Cattle	Breed(s) of Dairy Cattle	Data Suitable for Meta-Analysis (Number in sample, Mean, and Standard Error/Standard Deviation) 	HWB Measures	Presentation of Data	Risk of Bias Score
1163_Armbrecht_2017|S_G4_G1	1163_Armbrecht_2017	52.93157088	9.135606409	Cubicle	No	Cubicle	Seasonal grazing	Yes	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M., 2017. Does access to pasture affect claw condition and health in dairy cows?. Veterinary Record. 182(3). 79-79. 10.1136/vr.104554	2017	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M.	Does access to pasture affect claw condition and health in dairy cows?	Veterinary Record	10.1136/vr.104554		http://veterinaryrecord.bvapublications.com/archive/;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med15&NEWS=N&AN=29288238	The aim of this study was to examine effects of pasturing in dairy cows on claw condition (claw length, hardness) and on the prevalence of claw diseases. At claw trimming, a total of 240 Holstein-Friesian or Red-Holstein cows from 20 German farms were examined twice, at the end of the pasture and barn season. Each individual claw was trimmed at both assessments. Farms were classified based on animals' pasture access during pasture season into: group 1 (G1) >10 hours pasture access per day, group 2 (G2) 6-10 hours, group 3 (G3) <6 hours and group 4 (G4) without pasture access. Greater values for hardness were associated with lower scores (=prevalence severity level) of sole ulcers, white line disease, sole haemorrhage, heel horn erosion and interdigital hyperplasia. In pasture groups, heel horn erosion showed lower frequencies in summer compared with winter, while it was vice versa in G4. In G1 and G3, lower frequencies of white line disease were found in summer compared with winter. Overall, pasture access had positive effects in particular for claw diseases that are related to moist environments. Nevertheless, appropriate free-stall design and claw trimming routine might have a greater influence. Copyright © British Veterinary Association (unless otherwise stated in the text of the article) 2017. All rights reserved. No commercial use is permitted unless otherwise expressly granted.	182	3	79-79	English	Sub National	20		Germany	Lower Saxony	Empirical	Quantitative	CI	The aim of the present study was to investigate effects on claw health in relation to pasture access at differing intensity	1.25	Feb 2015-May 2016	NR	20	240	Holstein cross	N	Heel Horn erosion;Interdigital hyperplasia;Sole haemorrhages;Sole ulcer;White Line disease;Digital Dermatitis;Interdigital Dermatitis;Double Sole	%	7
1163_Armbrecht_2017|S_G4_G2	1163_Armbrecht_2017	52.93157088	9.135606409	Cubicle	No	Cubicle	Seasonal grazing	Yes	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M., 2017. Does access to pasture affect claw condition and health in dairy cows?. Veterinary Record. 182(3). 79-79. 10.1136/vr.104554	2017	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M.	Does access to pasture affect claw condition and health in dairy cows?	Veterinary Record	10.1136/vr.104554		http://veterinaryrecord.bvapublications.com/archive/;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med15&NEWS=N&AN=29288238	The aim of this study was to examine effects of pasturing in dairy cows on claw condition (claw length, hardness) and on the prevalence of claw diseases. At claw trimming, a total of 240 Holstein-Friesian or Red-Holstein cows from 20 German farms were examined twice, at the end of the pasture and barn season. Each individual claw was trimmed at both assessments. Farms were classified based on animals' pasture access during pasture season into: group 1 (G1) >10 hours pasture access per day, group 2 (G2) 6-10 hours, group 3 (G3) <6 hours and group 4 (G4) without pasture access. Greater values for hardness were associated with lower scores (=prevalence severity level) of sole ulcers, white line disease, sole haemorrhage, heel horn erosion and interdigital hyperplasia. In pasture groups, heel horn erosion showed lower frequencies in summer compared with winter, while it was vice versa in G4. In G1 and G3, lower frequencies of white line disease were found in summer compared with winter. Overall, pasture access had positive effects in particular for claw diseases that are related to moist environments. Nevertheless, appropriate free-stall design and claw trimming routine might have a greater influence. Copyright © British Veterinary Association (unless otherwise stated in the text of the article) 2017. All rights reserved. No commercial use is permitted unless otherwise expressly granted.	182	3	79-79	English	Sub National	20		Germany	Lower Saxony	Empirical	Quantitative	CI	The aim of the present study was to investigate effects on claw health in relation to pasture access at differing intensity	1.25	Feb 2015-May 2016	NR	20	240	Holstein cross	N	Heel Horn erosion;Interdigital hyperplasia;Sole haemorrhages;Sole ulcer;White Line disease;Digital Dermatitis;Interdigital Dermatitis;Double Sole	%	7
1163_Armbrecht_2017|S_G4_G3	1163_Armbrecht_2017	52.93157088	9.135606409	Cubicle	No	Cubicle	Seasonal grazing	Yes	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M., 2017. Does access to pasture affect claw condition and health in dairy cows?. Veterinary Record. 182(3). 79-79. 10.1136/vr.104554	2017	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M.	Does access to pasture affect claw condition and health in dairy cows?	Veterinary Record	10.1136/vr.104554		http://veterinaryrecord.bvapublications.com/archive/;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med15&NEWS=N&AN=29288238	The aim of this study was to examine effects of pasturing in dairy cows on claw condition (claw length, hardness) and on the prevalence of claw diseases. At claw trimming, a total of 240 Holstein-Friesian or Red-Holstein cows from 20 German farms were examined twice, at the end of the pasture and barn season. Each individual claw was trimmed at both assessments. Farms were classified based on animals' pasture access during pasture season into: group 1 (G1) >10 hours pasture access per day, group 2 (G2) 6-10 hours, group 3 (G3) <6 hours and group 4 (G4) without pasture access. Greater values for hardness were associated with lower scores (=prevalence severity level) of sole ulcers, white line disease, sole haemorrhage, heel horn erosion and interdigital hyperplasia. In pasture groups, heel horn erosion showed lower frequencies in summer compared with winter, while it was vice versa in G4. In G1 and G3, lower frequencies of white line disease were found in summer compared with winter. Overall, pasture access had positive effects in particular for claw diseases that are related to moist environments. Nevertheless, appropriate free-stall design and claw trimming routine might have a greater influence. Copyright © British Veterinary Association (unless otherwise stated in the text of the article) 2017. All rights reserved. No commercial use is permitted unless otherwise expressly granted.	182	3	79-79	English	Sub National	20		Germany	Lower Saxony	Empirical	Quantitative	CI	The aim of the present study was to investigate effects on claw health in relation to pasture access at differing intensity	1.25	Feb 2015-May 2016	NR	20	240	Holstein cross	N	Heel Horn erosion;Interdigital hyperplasia;Sole haemorrhages;Sole ulcer;White Line disease;Digital Dermatitis;Interdigital Dermatitis;Double Sole	%	7
1163_Armbrecht_2017|W_G4_G1	1163_Armbrecht_2017	52.93157088	9.135606409	Cubicle	No	Cubicle	Seasonal grazing	Yes	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M., 2017. Does access to pasture affect claw condition and health in dairy cows?. Veterinary Record. 182(3). 79-79. 10.1136/vr.104554	2017	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M.	Does access to pasture affect claw condition and health in dairy cows?	Veterinary Record	10.1136/vr.104554		http://veterinaryrecord.bvapublications.com/archive/;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med15&NEWS=N&AN=29288238	The aim of this study was to examine effects of pasturing in dairy cows on claw condition (claw length, hardness) and on the prevalence of claw diseases. At claw trimming, a total of 240 Holstein-Friesian or Red-Holstein cows from 20 German farms were examined twice, at the end of the pasture and barn season. Each individual claw was trimmed at both assessments. Farms were classified based on animals' pasture access during pasture season into: group 1 (G1) >10 hours pasture access per day, group 2 (G2) 6-10 hours, group 3 (G3) <6 hours and group 4 (G4) without pasture access. Greater values for hardness were associated with lower scores (=prevalence severity level) of sole ulcers, white line disease, sole haemorrhage, heel horn erosion and interdigital hyperplasia. In pasture groups, heel horn erosion showed lower frequencies in summer compared with winter, while it was vice versa in G4. In G1 and G3, lower frequencies of white line disease were found in summer compared with winter. Overall, pasture access had positive effects in particular for claw diseases that are related to moist environments. Nevertheless, appropriate free-stall design and claw trimming routine might have a greater influence. Copyright © British Veterinary Association (unless otherwise stated in the text of the article) 2017. All rights reserved. No commercial use is permitted unless otherwise expressly granted.	182	3	79-79	English	Sub National	20		Germany	Lower Saxony	Empirical	Quantitative	CI	The aim of the present study was to investigate effects on claw health in relation to pasture access at differing intensity	1.25	Feb 2015-May 2016	NR	20	240	Holstein cross	N	Heel Horn erosion;Interdigital hyperplasia;Sole haemorrhages;Sole ulcer;White Line disease;Digital Dermatitis;Interdigital Dermatitis;Double Sole	%	7
1163_Armbrecht_2017|W_G4_G2	1163_Armbrecht_2017	52.93157088	9.135606409	Cubicle	No	Cubicle	Seasonal grazing	Yes	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M., 2017. Does access to pasture affect claw condition and health in dairy cows?. Veterinary Record. 182(3). 79-79. 10.1136/vr.104554	2017	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M.	Does access to pasture affect claw condition and health in dairy cows?	Veterinary Record	10.1136/vr.104554		http://veterinaryrecord.bvapublications.com/archive/;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med15&NEWS=N&AN=29288238	The aim of this study was to examine effects of pasturing in dairy cows on claw condition (claw length, hardness) and on the prevalence of claw diseases. At claw trimming, a total of 240 Holstein-Friesian or Red-Holstein cows from 20 German farms were examined twice, at the end of the pasture and barn season. Each individual claw was trimmed at both assessments. Farms were classified based on animals' pasture access during pasture season into: group 1 (G1) >10 hours pasture access per day, group 2 (G2) 6-10 hours, group 3 (G3) <6 hours and group 4 (G4) without pasture access. Greater values for hardness were associated with lower scores (=prevalence severity level) of sole ulcers, white line disease, sole haemorrhage, heel horn erosion and interdigital hyperplasia. In pasture groups, heel horn erosion showed lower frequencies in summer compared with winter, while it was vice versa in G4. In G1 and G3, lower frequencies of white line disease were found in summer compared with winter. Overall, pasture access had positive effects in particular for claw diseases that are related to moist environments. Nevertheless, appropriate free-stall design and claw trimming routine might have a greater influence. Copyright © British Veterinary Association (unless otherwise stated in the text of the article) 2017. All rights reserved. No commercial use is permitted unless otherwise expressly granted.	182	3	79-79	English	Sub National	20		Germany	Lower Saxony	Empirical	Quantitative	CI	The aim of the present study was to investigate effects on claw health in relation to pasture access at differing intensity	1.25	Feb 2015-May 2016	NR	20	240	Holstein cross	N	Heel Horn erosion;Interdigital hyperplasia;Sole haemorrhages;Sole ulcer;White Line disease;Digital Dermatitis;Interdigital Dermatitis;Double Sole	%	7
1163_Armbrecht_2017|W_G4_G3	1163_Armbrecht_2017	52.93157088	9.135606409	Cubicle	No	Cubicle	Seasonal grazing	Yes	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M., 2017. Does access to pasture affect claw condition and health in dairy cows?. Veterinary Record. 182(3). 79-79. 10.1136/vr.104554	2017	Armbrecht, L., Lambertz, C., Albers, D. and Gauly, M.	Does access to pasture affect claw condition and health in dairy cows?	Veterinary Record	10.1136/vr.104554		http://veterinaryrecord.bvapublications.com/archive/;http://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=med15&NEWS=N&AN=29288238	The aim of this study was to examine effects of pasturing in dairy cows on claw condition (claw length, hardness) and on the prevalence of claw diseases. At claw trimming, a total of 240 Holstein-Friesian or Red-Holstein cows from 20 German farms were examined twice, at the end of the pasture and barn season. Each individual claw was trimmed at both assessments. Farms were classified based on animals' pasture access during pasture season into: group 1 (G1) >10 hours pasture access per day, group 2 (G2) 6-10 hours, group 3 (G3) <6 hours and group 4 (G4) without pasture access. Greater values for hardness were associated with lower scores (=prevalence severity level) of sole ulcers, white line disease, sole haemorrhage, heel horn erosion and interdigital hyperplasia. In pasture groups, heel horn erosion showed lower frequencies in summer compared with winter, while it was vice versa in G4. In G1 and G3, lower frequencies of white line disease were found in summer compared with winter. Overall, pasture access had positive effects in particular for claw diseases that are related to moist environments. Nevertheless, appropriate free-stall design and claw trimming routine might have a greater influence. Copyright © British Veterinary Association (unless otherwise stated in the text of the article) 2017. All rights reserved. No commercial use is permitted unless otherwise expressly granted.	182	3	79-79	English	Sub National	20		Germany	Lower Saxony	Empirical	Quantitative	CI	The aim of the present study was to investigate effects on claw health in relation to pasture access at differing intensity	1.25	Feb 2015-May 2016	NR	20	240	Holstein cross	N	Heel Horn erosion;Interdigital hyperplasia;Sole haemorrhages;Sole ulcer;White Line disease;Digital Dermatitis;Interdigital Dermatitis;Double Sole	%	7
120_Molina_2020|1_DL VS CU	120_Molina_2020	37.8896426	-4.781395854	Open Lounging	No	Cubicle	Zero grazing	No	Molina, L., Ag..era, E.I., P..rez-Mar..n, C.C. and Maroto-Molina, F., 2020. Comparing welfare indicators in dairy cattle under different loose housing systems (deep litter vs cubicle barns) using recycled manure solids for bedding. Spanish Journal of Agricultural Research. 18(1). . http://dx.doi.org/10.5424/sjar/2020181-15287	2020	Molina, L., Agüera, E.I., Pérez-Marín, C.C. and Maroto-Molina, F.	Comparing welfare indicators in dairy cattle under different loose housing systems (deep litter vs cubicle barns) using recycled manure solids for bedding	Spanish Journal of Agricultural Research	http://dx.doi.org/10.5424/sjar/2020181-15287		https://revistas.inia.es/index.php/sjar/article/view/15287	Aim of study: Dairy farmers in Southern Spain are continuously investing in the modernization of their facilities and frequently ask technicians about the type of housing they should choose for their farms. Although some studies have analysed the economic impact of different housing systems, there are no reports evaluating the impact of these systems on animal wellbeing. To remedy this deficit, a study was carried out to analyse animal welfare status in two types of loose housing conditions: deep litter (DL) and cubicle (CU) barns. Area of study: This study was conducted in Cordoba (Spain). Material and methods: A total of 1,597 cows from nineteen commercial dairy farms were involved in this study, of which twelve had CU barns and seven had DL barns. Welfare Quality assessment was used to evaluate animal wellbeing, inn order to compare both housing systems. Main results: The study found some weaknesses for feeding and health indicators of animal welfare in both types of housing systems. The overall welfare assessment based on feeding, housing and health indicators showed no differences between farms with DL or CU barns. Research highlights: A good welfare status could be reached under any type of housing system.	18	1		English	Sub National	19		Spain	Europe	Empirical	Quantitative	CI	The present study was conducted to compare welfare assessment based on feeding, housing and health principles in dairy cows reared under two different loose-housing systems: deep litter barns and cubicle barns.	0.08333333333	Oct 2015-Nov 2015	19	19	1597	NR	N	SCC/SCS;Clinical lameness;Dirty legs;Dirty udders;Very lean cows;Vaginal discharge;Coughs;Nasal discharge;severe integument alteration;Mild integument alteration;Bovine viral diarrhoea (BVD);Ocular discharge	%;SCC	8
1235_Micinski_2011|1_FS_T	1235_Micinski_2011	52.83512933	18.75009628	Open Lounging	No	Tiestall	Zero grazing	No	Micinski, J. and Pogorzelska, J., 2011. THE EFFECT OF DAIRY CATTLE MANAGEMENT SYSTEMS ON MILK YIELD, COMPOSITION AND SOMATIC CELL COUNT Jan Miciński, Janina Pogorzelska. Acta Scientiarum Polonorum. Zootechnica. 10(3). 55-64. 	2011	Micinski, J. and Pogorzelska, J.	THE EFFECT OF DAIRY CATTLE MANAGEMENT SYSTEMS ON MILK YIELD, COMPOSITION AND SOMATIC CELL COUNT Jan Miciński, Janina Pogorzelska	Acta Scientiarum Polonorum. Zootechnica			http://www.aqua.ar.wroc.pl/acta/pl/full/9/2011/000090201100010000030005500064.pdf	The study was conducted on two family farms (herds A and B). The experimental materials comprised Polish Holstein-Friesian cattle raised in 2006-2009. The objective of this study was to compare SCC, the yield and composition of milk from Holstein-Friesian Black-and-White cows kept in the tie-stall and free-stall system for four years. The analysis indicates that cows housed in a tie-stall barn (herd A) were characterized by higher milk performance than cows kept in a freestall barn (herd B). Milk yield was correlated with SCC in milk in both herds. Yield increase in the A herd was connected with the SCC decrease. Such dependence has not been found in the herd B.	10	3	55-64	English	Site Specific	2		Poland		Empirical	Quantitative	CI	The objective of this study was to compare SCC, the yield and composition of milk from Holstein-Friesian Black-and-White cows kept in the tie-stall and free-stall system for four years.	4	2006-2009	2	2	125	Holstein cross	N	SCC/SCS	kg;ml;SCC	8
1309_Rees_2016|1_2	1309_Rees_2016	52.25	13.36666667	Cubicle	NR	Cubicle	Zero grazing	NR	Rees, A., Fischer-Tenhagen, C. and Heuwieser, W., 2016. Effect of Heat Stress on Concentrations of Faecal Cortisol Metabolites in Dairy Cows. Reprod Domest Anim. 51(3). 392-399. 10.1111/rda.12691;10.1111/rda.12691. Epub 2016 Apr 19.	2016	Rees, A., Fischer-Tenhagen, C. and Heuwieser, W.	Effect of Heat Stress on Concentrations of Faecal Cortisol Metabolites in Dairy Cows	Reprod Domest Anim	10.1111/rda.12691;10.1111/rda.12691. Epub 2016 Apr 19.			The negative impact of heat stress on health and productivity of dairy cows is well known. Heat stress can be quantified with the temperature-humidity index (THI) and is defined as a THI ≥ 72. Additionally, animal welfare is affected in cows living under heat stress conditions. Finding a way to quantify heat stress in dairy cows has been of increasing interest over the past decades. Therefore, the objective of this study was to evaluate concentrations of faecal glucocorticoid metabolites [i.e. 11,17-dioxoandrostanes (11,17-DOA)] as an indirect stress parameter in dairy cows without heat stress (DOA 0), with heat stress on a single day (acute heat stress, DOA 1) or with more than a single day of heat stress (chronic heat stress, DOA 2). Cows were housed in five farms under moderate European climates. Two statistical approaches (approach 1 and approach 2) were assessed. Using approach 1, concentrations of faecal 11,17-DOA were compared among DOA 0, DOA 1 and DOA 2 samples regardless of their origin (i.e. cow, unpaired comparison with a one-way anova). Using approach 2, a cow was considered as its own control; that is 11,17-DOA was treated as a cow-specific factor and only paired samples were included in the analysis for this approach (paired comparison with t-tests). In approach 1 (p = 0.006) and approach 2 (p = 0.038), 11,17-DOA values of cows under acute heat stress were higher compared to those of cows without heat stress. Our results also indicate that acute heat stress has to be considered as a confounder in studies measuring faecal glucocorticoid metabolites in cows to evaluate other stressful situations.	51	3	392-399	English	Site Specific	5		Germany;Hungary;France		Empirical	Quantitative	CI	The overall objective of this study was to evaluate if acute and chronic heat stress in individual dairy cows is associated with concentrations of faecal 11,17-DOA. Specifically, the study set out to determine the relationship of acute and chronic heat stress and 11,17-DOA concentrations in faecal samples of late-lactating dairy cows housed in moderate European climates considering the effect of farm.	0.25	12 Jun-1 Sep 2012	5	5	115	Holstein cross	N		Temperature Humidity Index	7
1309_Rees_2016|1_3	1309_Rees_2016	51.96666667	11.46666667	Cubicle	NR	Cubicle	Zero grazing	NR	Rees, A., Fischer-Tenhagen, C. and Heuwieser, W., 2016. Effect of Heat Stress on Concentrations of Faecal Cortisol Metabolites in Dairy Cows. Reprod Domest Anim. 51(3). 392-399. 10.1111/rda.12691;10.1111/rda.12691. Epub 2016 Apr 19.	2016	Rees, A., Fischer-Tenhagen, C. and Heuwieser, W.	Effect of Heat Stress on Concentrations of Faecal Cortisol Metabolites in Dairy Cows	Reprod Domest Anim	10.1111/rda.12691;10.1111/rda.12691. Epub 2016 Apr 19.			The negative impact of heat stress on health and productivity of dairy cows is well known. Heat stress can be quantified with the temperature-humidity index (THI) and is defined as a THI ≥ 72. Additionally, animal welfare is affected in cows living under heat stress conditions. Finding a way to quantify heat stress in dairy cows has been of increasing interest over the past decades. Therefore, the objective of this study was to evaluate concentrations of faecal glucocorticoid metabolites [i.e. 11,17-dioxoandrostanes (11,17-DOA)] as an indirect stress parameter in dairy cows without heat stress (DOA 0), with heat stress on a single day (acute heat stress, DOA 1) or with more than a single day of heat stress (chronic heat stress, DOA 2). Cows were housed in five farms under moderate European climates. Two statistical approaches (approach 1 and approach 2) were assessed. Using approach 1, concentrations of faecal 11,17-DOA were compared among DOA 0, DOA 1 and DOA 2 samples regardless of their origin (i.e. cow, unpaired comparison with a one-way anova). Using approach 2, a cow was considered as its own control; that is 11,17-DOA was treated as a cow-specific factor and only paired samples were included in the analysis for this approach (paired comparison with t-tests). In approach 1 (p = 0.006) and approach 2 (p = 0.038), 11,17-DOA values of cows under acute heat stress were higher compared to those of cows without heat stress. Our results also indicate that acute heat stress has to be considered as a confounder in studies measuring faecal glucocorticoid metabolites in cows to evaluate other stressful situations.	51	3	392-399	English	Site Specific	5		Germany;Hungary;France		Empirical	Quantitative	CI	The overall objective of this study was to evaluate if acute and chronic heat stress in individual dairy cows is associated with concentrations of faecal 11,17-DOA. Specifically, the study set out to determine the relationship of acute and chronic heat stress and 11,17-DOA concentrations in faecal samples of late-lactating dairy cows housed in moderate European climates considering the effect of farm.	0.25	12 Jun-1 Sep 2012	5	5	115	Holstein cross	N		Temperature Humidity Index	7
