ID	Which of the following most accurately reflects your position?	LatDD	LonDD	What proportion of your woods are Ancient woodland (Semi-natural)?	What proportion of your woods are Ancient woodland (Plantations (PAWS))?	What proportion of your woods are Ancient woodland (Restored PAWS)?	What proportion of your woods are Secondary woods (Semi-natural)?	What proportion of your woods are Secondary woods (Plantations)?	What proportion of your woodland is mainly broadleaved stands? 	What proportion of your woodland is mainly conifer stands?	What proportion of your woodland is a mixture of both broadlead and conifer stands?	What proportion of stands in your woodland are even-aged?	What proportion of stands in your woodland are uneven-aged? 	What best describes your business or professional sector?	Region
11	Professional: I have a professional or personal interest in forests and forestry in the UK	51.74	-1.25448											University research	South East
14	Professional: I have a professional or personal interest in forests and forestry in the UK	51.11564	0.03141											University research	South East
15	Woodland owner: I own land containing woodland (a single woodland property)	51.05925	-3.19263	5	85	0	0	10	75	15	10	90	10		South West
19	Woodland owner: I own land containing woodland (a single woodland property)	53.9894	-1.41243		100				60	10	30	85	15		Yorkshire and The Humber
21	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.30848	-1.01418	0	0	0	60	40	30	30	40	60	40	Research institute	East Midlands
22	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.02386	-3.86375	20			40	40	100			40	60		South West
23	Woodland owner: I own land containing woodland (multiple woodland properties)	53.21484	-0.87698	0	0	0	0	100	50	10	40	100			East Midlands
24	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.96704	-1.34661	0	0	0	0	100	100	0	0	100	0	Other	Yorkshire and The Humber
25	Professional: I have a professional or personal interest in forests and forestry in the UK	50.69094	-3.2397											NGO/community organization	South West
26	Woodland owner: I own land containing woodland (a single woodland property)	52.7338	0.73334					100			100		100		East of England
31	Professional: I have a professional or personal interest in forests and forestry in the UK	57.07546	-2.78023											Forest industry	Scotland
32	Woodland owner: I own land containing woodland (a single woodland property)	52.7372	1.01902	50				50	30		70	100			East of England
34	Professional: I have a professional or personal interest in forests and forestry in the UK													Research institute	
35	Woodland owner: I own land containing woodland (a single woodland property)	53.00975	-2.85593	0	0	0	0	100	100	0	0	100	0		Wales
37	Woodland owner: I own land containing woodland (a single woodland property)	51.44834	-3.44516	95					100	0			50		Wales
40	Woodland owner: I own land containing woodland (a single woodland property)	52.50454	0.4559					100	100			95	5		East of England
42	Woodland owner: I own land containing woodland (multiple woodland properties)	54.42355	-3.34502				40	60	30	0	70	60	40		North West
43	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	57.45991	-4.39007			10	45	45	85	15		20	80	Forest industry	Scotland
44	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.45174	-4.48792					100	20				100		South West
48	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.98083	-0.11046	85				15	100				100	NGO/community organization	South East
50	Woodland owner: I own land containing woodland (a single woodland property)	54.30387	-2.19605				50	50	60	40		60	40		Yorkshire and The Humber
51	Professional: I have a professional or personal interest in forests and forestry in the UK	51.82098	-3.01743											Public sector - central/devolved government	Wales
55	Woodland owner: I own land containing woodland (multiple woodland properties)	55.0626	-3.1611	50	10		10	30	50	30	20	30	70		Scotland
56	Woodland owner: I own land containing woodland (a single woodland property)	50.68795	-3.22248				10	90	100			80	20		South West
57	Woodland owner: I own land containing woodland (a single woodland property)	53.5773	-0.55787	100					100			90	10		Yorkshire and The Humber
58	Woodland owner: I own land containing woodland (a single woodland property)	54.38506	-1.61671	0	0	0	10	90	20	80		80	20		Yorkshire and The Humber
60	Woodland owner: I own land containing woodland (multiple woodland properties)	50.9634	-0.68321	10			90		15	85		50	50		South East
61	Woodland owner: I own land containing woodland (a single woodland property)	50.96637	-0.64806					100	20	80		100			South East
63	Professional: I have a professional or personal interest in forests and forestry in the UK	52.44262	1.3623											Forest industry	East of England
65	Professional: I have a professional or personal interest in forests and forestry in the UK	53.20597	-1.08919											Public sector - central/devolved government	East Midlands
67	Woodland owner: I own land containing woodland (a single woodland property)	53.30793	-1.36462	60	30	10			60	30	10	60	40		East Midlands
69	Woodland owner: I own land containing woodland (a single woodland property)	53.2898	-2.09637				100		100			80	20		North West
71	Woodland owner: I own land containing woodland (multiple woodland properties)	55.8307	-3.7635					100	5	75		100			Scotland
75	Woodland owner: I own land containing woodland (a single woodland property)	50.28634	-5.03242					100	100			100			South West
76	Professional: I have a professional or personal interest in forests and forestry in the UK	51.24779	-0.06914											Other	South East
78	Woodland owner: I own land containing woodland (a single woodland property)	52.4309	-1.3266	5	45		50		5		95	95	5		West Midlands
80	Woodland owner: I own land containing woodland (a single woodland property)	51.99415	-3.79637					100	50	50		100			Wales
83	Woodland owner: I own land containing woodland (a single woodland property)	51.02671	-0.16033	70			30		100				100		South East
86	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.21644	-0.59875	80	15	5			90	10		60	40	Forest industry	East of England
88	Woodland owner: I own land containing woodland (a single woodland property)	50.52858	-3.61186	100					100				100		South West
91	Professional: I have a professional or personal interest in forests and forestry in the UK	55.12237	-3.52112											Other	Scotland
92	Woodland owner: I own land containing woodland (a single woodland property)	51.66148	-3.03635	60			40		100	0		0	100		Wales
93	Woodland owner: I own land containing woodland (a single woodland property)	50.8988	0.29581	100					100				100		South East
94	Woodland owner: I own land containing woodland (a single woodland property)	52.90968	-2.16422	40	60	0	0	0	100	0	0	75	25		West Midlands
95	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	51.85868	0.987	40			60		100			30	70	Public sector - local government	East of England
96	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.73213	-3.4013				20	80	30	70		90	10	No professional involvement in forestry (personal interest)	Wales
98	Woodland owner: I own land containing woodland (a single woodland property)	51.90505	-2.6326	100					100			75	25		West Midlands
102	Woodland owner: I own land containing woodland (a single woodland property)	51.76495	-4.08966	0	0	0	2	98	30	70		98	2		Wales
104	Woodland owner: I own land containing woodland (a single woodland property)	54.4177	-3.01841	100					100			90	10		North West
105	Woodland owner: I own land containing woodland (a single woodland property)	51.36578	-2.30095			100			60	10	30	60	40		South West
106	Woodland owner: I own land containing woodland (a single woodland property)	50.43969	-4.76532	100					100			100	0		South West
108	Woodland owner: I own land containing woodland (a single woodland property)	51.11781	0.01998	100	0	0	0	0	100	0	0		100		South East
109	Woodland owner: I own land containing woodland (a single woodland property)	51.88395	0.57252	100					100			100			East of England
110	Woodland owner: I own land containing woodland (multiple woodland properties)	53.65441	-1.94407	40	25			35	100	0		65	35		Yorkshire and The Humber
111	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	51.96035	-3.76282	0	0		70	30	0	0	100	100	0	Public sector - central/devolved government	Wales
112	Woodland owner: I own land containing woodland (a single woodland property)	50.6842	-4.29956	0	0	0	10	90	100			100			South West
113	Woodland owner: I own land containing woodland (a single woodland property)	51.77727	-2.12551	0	0	0	0	100	100			100			South West
114	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	52.14164	-2.79648				45	55	40		60	40	60		West Midlands
119	Woodland owner: I own land containing woodland (a single woodland property)	51.80936	-0.06789	0	0	0	0	100	100	0	0	100	0		East of England
123	Woodland owner: I own land containing woodland (a single woodland property)	52.30428	-1.56967					100	100			100			West Midlands
124	Woodland owner: I own land containing woodland (multiple woodland properties)	52.31746	-0.26436	85	2	2	3	8	98	1	1	80	20		East of England
125	Woodland owner: I own land containing woodland (a single woodland property)	51.78505	-2.67766		30			70	10	70	20	80	20		Wales
126	Woodland owner: I own land containing woodland (a single woodland property)	57.58061	-2.78542					100	15	75	10	100			Scotland
127	Woodland owner: I own land containing woodland (a single woodland property)	51.07371	0.01926	90		5		5	80	5		70	30		South East
128	Woodland owner: I own land containing woodland (a single woodland property)	50.98223	0.67263	100					100				100		South East
129	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	54.41667	-7.2				5	95	30	70		95	5	Research institute	Northern Ireland
130	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	56.80877	-2.55604	0	0	0	25	75	25	75		70	30	Forest industry	Scotland
131	Woodland owner: I own land containing woodland (a single woodland property)	53.292	-1.68503				80	20	60	20	20	30	70		East Midlands
134	Woodland owner: I own land containing woodland (multiple woodland properties)	52.96957	-0.02472	0	0	0	5	95	80	10	10	90	10		East Midlands
138	Woodland owner: I own land containing woodland (a single woodland property)	51.41184	-1.15494	100					100			70	30		South East
140	Woodland owner: I own land containing woodland (a single woodland property)	56.3192	-3.01223	75			25				100	50	50		Scotland
141	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	54.3259	-2.7441												North West
146	Professional: I have a professional or personal interest in forests and forestry in the UK	57.57622	-4.26003											Forest industry	Scotland
152	Woodland owner: I own land containing woodland (a single woodland property)	51.84548	-2.08842	100					99	1		60	40		South West
153	Woodland owner: I own land containing woodland (a single woodland property)	50.988	0.16801	100					99.9	0.1		70	30		South East
157	Woodland owner: I own land containing woodland (a single woodland property)	50.83647	-4.35059	100					100				100		South West
159	Woodland owner: I own land containing woodland (a single woodland property)	56.36639	-3.17522					100	100			100			Scotland
160	Woodland owner: I own land containing woodland (a single woodland property)	50.81892	-1.41586	100					100			25	75		South East
162	Woodland owner: I own land containing woodland (multiple woodland properties)	50.96509	0.25681	50	50				50		50		100		South East
167	Professional: I have a professional or personal interest in forests and forestry in the UK	51.89133	-1.38084											Forest industry	South East
172	Woodland owner: I own land containing woodland (a single woodland property)	50.95812	-0.19775	100					100			90	10		South East
173	Woodland owner: I own land containing woodland (a single woodland property)	57.24218	-3.55925	100					99	1		50	50		Scotland
176	Woodland owner: I own land containing woodland (multiple woodland properties)	50.96675	-3.59789				50	35	98	2		35	65		South West
178	Woodland owner: I own land containing woodland (multiple woodland properties)	51.84108	1.00834	20	65		15		95	5		50	50		East of England
184	Woodland owner: I own land containing woodland (a single woodland property)	50.77668	-3.05911				20	80	20	80		70	30		South West
186	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	51.90097	-2.07642	100					99.9	0.1		50	50		South West
188	Woodland owner: I own land containing woodland (multiple woodland properties)	54.95263	-2.04294					99	1	99		99			North East
