id	Which of the following most accurately reflects your position?	Lat_CON	Lon_CON	What proportion of your woods are Ancient woodland (Semi-natural)?	What proportion of your woods are Ancient woodland (Plantations (PAWS))?	What proportion of your woods are Ancient woodland (Restored PAWS)?	What proportion of your woods are Secondary woods (Semi-natural)?	What proportion of your woods are Secondary woods (Plantations)?	What proportion of your woodland is mainly broadleaved stands? 	What proportion of your woodland is mainly conifer stands?	What proportion of your woodland is a mixture of both broadlead and conifer stands?	What proportion of stands in your woodland are even-aged?	What proportion of stands in your woodland are uneven-aged? 	What best describes your business or professional sector?
11	Professional: I have a professional or personal interest in forests and forestry in the UK	51.74	-1.25448											University research
14	Professional: I have a professional or personal interest in forests and forestry in the UK	51.11564	0.03141											University research
15	Woodland owner: I own land containing woodland (a single woodland property)	51.05925	-3.19263	5	85	0	0	10	75	15	10	90	10	
19	Woodland owner: I own land containing woodland (a single woodland property)	53.9894	-1.41243		100				60	10	30	85	15	
21	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.30848	-1.01418	0	0	0	60	40	30	30	40	60	40	Research institute
22	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.02386	-3.86375	20			40	40	100			40	60	
23	Woodland owner: I own land containing woodland (multiple woodland properties)	53.21484	-0.87698	0	0	0	0	100	50	10	40	100		
24	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.96704	-1.34661	0	0	0	0	100	100	0	0	100	0	Other
25	Professional: I have a professional or personal interest in forests and forestry in the UK	50.69094	-3.2397											NGO/community organization
26	Woodland owner: I own land containing woodland (a single woodland property)	52.7338	0.73334					100			100		100	
31	Professional: I have a professional or personal interest in forests and forestry in the UK	57.07546	-2.78023											Forest industry
32	Woodland owner: I own land containing woodland (a single woodland property)	52.7372	1.01902	50				50	30		70	100		
34	Professional: I have a professional or personal interest in forests and forestry in the UK	53.38109	-6.3368											Research institute
35	Woodland owner: I own land containing woodland (a single woodland property)	53.00975	-2.85593	0	0	0	0	100	100	0	0	100	0	
37	Woodland owner: I own land containing woodland (a single woodland property)	51.44834	-3.44516	95					100	0			50	
40	Woodland owner: I own land containing woodland (a single woodland property)	52.50454	0.4559					100	100			95	5	
42	Woodland owner: I own land containing woodland (multiple woodland properties)	54.42355	-3.34502				40	60	30	0	70	60	40	
43	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	57.45991	-4.39007			10	45	45	85	15		20	80	Forest industry
44	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.45174	-4.48792					100	20				100	
