ID	Coder	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Study Aim	Country	Region	LatDD	LonDD	Rural/Urban/Peri-Urban	Unit Studied	Population affected by Intervention (N)	Units Sampled (n)	Primary Intervention Aim - Social (supporting data present)	Primary Intervention Aim - Economic (supporting data present)	Primary Intervention Aim - Environmental (supporting data present)	Funding Source	Implementer	Start Year of Intervention/Program	End Year of Intervention/Program	Sector	Baseline Technology (Transition From)	Target Technology (Transition To)	Study Design	Data Collection Details (Text from paper)	Study Date	Study Duration (Years)	Years Since Intervention (Sustainability Measure)	Measure of Uptake/Sustained Use (% of N)	Are Missing Data Accounted for?	Social	Economic	Environmental	Success Measure (Text from Report)	Drivers - Setting	Barriers - Setting	Drivers - Knowledge	Barriers - Knowledge	Drivers - Technology	Barriers - Technology	Drivers - Finance	Barriers - Finance	Drivers - Regulation	Barriers - Regulation	Drivers - Legislation	Barriers - Legislation	Drivers - Markets	Barriers - Markets	Drivers - Policy	Barriers - Policy	Drivers - Poverty	Barriers - Poverty	Drivers - Gender	Barriers - Gender
10	Will	Journal Article	2019	"Yasmin, N.; Grundmann, P."	Adoption and diffusion of renewable energy - The case of biogas as alternative fuel for cooking in Pakistan	Renewable & Sustainable Energy Reviews	1364-0321	10.1016/j.rser.2018.10.011	https://www.sciencedirect.com/science/article/abs/pii/S1364032118307111?via%3Dihub	"Alternative energy technologies such as biogas are being promoted, but despite the significant potential and efforts to implement these technologies, only small numbers of households have succeeded in the transition towards these alternative energy sources. Moreover, sustainability and the functionality of alternative energy technologies remain unknown. The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan and access the impact of biogas technology adoption on income, crop productivity and fuel consumption and drudgery. The study has also scrutinized the factors affecting the continuity of the biogas plants. Our analysis adds to the limited literature of adoption of biogas and the transition towards alternative fuel sources in the Global South. A multistage sampling procedure was used to collect data from 630 biogas adopters and non-adopters from three districts of Punjab. The empirical results from logit model and propensity score matching approach indicate that the older, wealthy farmers are more likely to adopt biogas technology. Cook's education, structure of house, location of kitchen and access to credit institutions also play positive role in this process. Poor operational methods, lack of maintenance and training facilities were the main reasons for the functional failure of existing plants and reason for the discontinuation. Moreover, biogas adoption has positive and significant impact on income and crop revenues and has negative impact on fuelwood expenditures and collection time. Due to the multidimensional nature of the problem, a comprehensive remedial approach addressing the socio-technical factors identified in the study and considering all stakeholders' cooperation could solve the existing lock-in situation in the ongoing implementation of biogas production and the transition towards alternative fuel sources."	101		255-264	Energy transition; Adoption; Biogas; Impact assessment; Pakistan; TECHNOLOGY ADOPTION; HOUSEHOLD BIOGAS; RURAL HOUSEHOLDS; IMPACT; CROP; DETERMINANT; BARRIERS; TIGRAY; HEALTH; FUTURE	The study aims to explore the socioeconomic constraints in the adoption and diffusion of biogas as alternative fuel for cooking in households in rural Pakistan.	Pakistan	Tehsil; Faisalabad; Samundari	31.456888;32.055;3.58	73.135297;72.63;71.65	Rural	Households	5630	624	"Reduces the burden upon women of collecting wood, reduces the number of flies and controls waste odor."			Government	The Pakistan Centre for Renewable Energy Technologies	1970	2006	Energy	Animal dung	Biogas	Quantatative survey	"The detailed information of 630 households (315 adopters and 315 non-adopters) was collected through a structured questionnaire. The group of adopters recorded those who had installed the biogas plants in their homes or farms, to use it mainly for cooking, while the non- adopters had not installed the biogas plants or were still waiting to get it installed. The non-adopters were selected from the proximity to adopter households in consideration of their similar socio-economic characteristics. Due to non-responsive and missing data, a sample group of 624 with equal proportions of adopters and non-adopters, was re- tained."	2014	0.08	8	NR	Y		Cost Saving+			"Biogas adopters had significantly greater monthly income and expenditure than those who had not adopted biogas. Moreover, adopters also had more residential and agricultural land as compared to non-adopters. Households with biogas plants had significantly greater amounts of dung and had more animals. Those who had more land were more likely to adopt biogas technology as compared to those who had less land. Kitchen location."	The more older households do not want to switch to modern sources of fuel	Majority of the people received their information from friends and relatives rather than from government advertising. It shows that the government is less effective in the information dissemination process than the other sources.			Households who had fuelwood as the only source of fuel for cooking at home were more likely to adopt biogas as compared to those who had other substitutes like LPG and natural gas.			Subsidy awarded to those households who have at least one cow/buffalo and one acre of land holdings.						Distance from bank showed significant but negative impact on the biogas technology adoption. Slurry used as fertilizer.				The reduction in time spent in the collection of fuelwood reduce the drudgery especially of women and promote gender equality.	
13.1	Leo	Journal Article	2012	"Yadoo, A.; Cruickshank, H."	"The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya"	Energy Policy	0301-4215	http://dx.doi.org/10.1016/j.enpol.2011.12.029	http://www.sciencedirect.com/science/article/pii/S0301421511010354; https://www.sciencedirect.com/science/article/pii/S0301421511010354?via%3Dihub	while it decreases with share of income stemming from remittances 	42		591-602	case studies; climate change; electricity; energy sources; renewable energy; sustainability	This paper will consider the advantages and disadvantages of using different renewable energy technologies to extend electricity access in developing countries.	Nepal	Pokhari Chauri	27.57	85.81	Rural	Households	239	239	The studies were performed to assess the extent to which the electrfication systems had produced sustainable welfare benefits for the rural poor	The studies were performed to assess the extent to which the electrfication systems had produced sustainable welfare benefits for the rural poor		United Nations; Community	"UNDP, Rural Energy Development Programme"	2000	2000	Energy	Candles;Kerosene	Electricity	Follow-up survey	NR	2009	1	9	NR	NA	Education+; Human Health and Wellbeing+; Time Savings-	Cost Saving+; Employment+	Environmental Pollution+			User financial contributions were not found to be as influential as the community mobilisation process with regard to generating local buy-in and commitment for a project																		
13.2	Leo	Journal Article	2012	"Yadoo, A.; Cruickshank, H."	"The role for low carbon electrification technologies in poverty reduction and climate change strategies: a focus on renewable energy mini-grids with case studies in Nepal, Peru and Kenya"	Energy Policy	0301-4215	http://dx.doi.org/10.1016/j.enpol.2011.12.029	http://www.sciencedirect.com/science/article/pii/S0301421511010354; https://www.sciencedirect.com/science/article/pii/S0301421511010354?via%3Dihub	"As a potential poverty reduction and climate change strategy, this paper considers the advantages and disadvantages of using renewable energy technologies for rural electrification in developing countries. Although each case must be considered independently, given a reliable fuel source, renewable energy mini-grids powered by biomass gasifiers or micro-hydro plants appear to be the favoured option due to their lower levelised costs, provision of AC power, potential to provide a 24 h service and ability to host larger capacity systems that can power a wide range of electricity uses. Sustainability indicators are applied to three case studies in order to explore the extent to which sustainable welfare benefits can be created by renewable energy mini-grids. Policy work should focus on raising awareness about renewable energy mini-grids, improving institutional, technical and regulatory frameworks and developing innovative financing mechanisms to encourage private sector investments. Establishing joint technology and community engagement training centres should also be encouraged."	42		591-602	case studies; climate change; electricity; energy sources; renewable energy; sustainability	This paper will consider the advantages and disadvantages of using different renewable energy technologies to extend electricity access in developing countries.	Peru	Tamborapo Pueblo	-5.2918	-79.1595	Rural	Households	218	218	The studies were performed to assess the extent to which the electrfication systems had produced sustainable welfare benefits for the rural poor	The studies were performed to assess the extent to which the electrfication systems had produced sustainable welfare benefits for the rural poor		"Bank, Practical Action/""Soluciones Practicas""; Community"	"Practical Action/""Soluciones Practicas"""	2000	2000	Energy	NR	Electricity	Follow-up survey	NR	2009	1	9	NR	NA	Safety+; Leisure+; Human Health and Wellbeing+; Education+					User financial contributions were not found to be as influential as the community mobilisation process with regard to generating local buy-in and commitment for a project																		
60	Gill	Journal Article	2019	"Troncoso, K.; Segurado, P.; Aguilar, M.; Soares da Silva, A."	"Adoption of LPG for cooking in two rural communities of Chiapas, Mexico"	Energy Policy	0301-4215	https://doi.org/10.1016/j.enpol.2019.110925	http://www.sciencedirect.com/science/article/pii/S0301421519305129; https://www.sciencedirect.com/science/article/pii/S0301421519305129?via%3Dihub	"In 2011, a government initiative provided Liquefied Petroleum Gas (LPG) stoves and cylinders to almost 1000 rural families in Chiapas, Mexico. In 2017, the Pan-American Health Organization (PAHO) conducted an evaluation of cooking practices among the beneficiaries of these stoves. Although almost 100% of households continue to use firewood for cooking, they cook an average of 58% of their food with LPG. Of the families that used to rely exclusively on firewood before 2011, 32% have now started to use LPG. Primary cooks ‚Äîalmost entirely women‚Äî recognize the advantages of cooking with LPG and the health Problems associated with firewood use, with the primary barrier to using LPG being its high cost. Women spend 35‚Äì65‚ÄØh a month preparing tortillas ‚Äîthe main food cooked with firewood. The alternative store-bought tortillas are up to three times costlier. When given the opportunity to cook with LPG, families recognize its advantages and are incentivized to continue using it, despite its cost. The higher the socioeconomic status, the higher LPG use is. The authors suggest that subsidizing tortilla production could facilitate the exclusive use of LPG, avoiding the negative health impacts of firewood use and saving more than 25% of women's productive time."	133		110925	Clean energy; LPG adoption; Firewood use; Subsidies; Mexico	evaluate the impact of the provision of an LPG stove and full cylinder to each household on the cooking practices in those communities provided with stoves and  implications for public policy	Mexico	Chiapas	17.294847	-93.0107957	Urban	Households	1000	190	Healthy housing			Government	Government of Chiapas	2011	2011	Cooking	Fuelwood	LPG	Mixed methods	42 questions in survey; 1 focus group	2017	0.08	6	NR	NA	Time saving+																							
164	Leo	Journal Article	2012	"Person, B.; Loo, J. D.; Owuor, M.; Ogange, L.; Jefferds, M. E. D.; Cohen, A. L."	It Is Good for My Family's Health and Cooks Food in a Way That My Heart Loves: Qualitative Findings and Implications for Scaling Up an Improved Cookstove Project in Rural Kenya	International Journal of Environmental Research and Public Health	1660-4601	10.3390/ijerph9051566	https://res.mdpi.com/d_attachment/ijerph/ijerph-09-01566/article_deploy/ijerph-09-01566.pdf	"The use of indoor, three-stone fire pits in resource-poor countries is a substantial burden on human health and the environment. We conducted a pilot intervention promoting the purchase and use of an improved cookstove in rural Kenya. The goals of this qualitative inquiry were to understand the motivation to purchase and use; perceived benefits and challenges of cookstove use; and the most influential promotion activities for scaling up future cookstove promotion. Purposive sampling was used to recruit 10 cookstove promoters and 30 cookstove purchasers in the Luo community. Qualitative semi-structured interviews were transcribed and a thematic analysis conducted. Women reported the need for less firewood, fuel cost savings, reduced smoke, improved cooking efficiency, reduced eye irritation, lung congestion and coughing as major benefits of the cookstove. Cost appeared to be a barrier to wider adoption. The most persuasive promotion strategies were interpersonal communication through social networks and cooking demonstrations. Despite this cost barrier, many women still considered the improved cookstove to be a great asset within their household. This inquiry provided important guidance for future cookstove implementation projects."	9	5	1566-1580	improved cookstoves; developing countries; indoor air pollution; formative research; INDOOR AIR-POLLUTION; INTERVENTION; WOMEN; PNEUMONIA; IMPACT; TRIAL	The goals of this qualitative inquiry were to understand the motivation to purchase and use; perceived benefits and challenges of cookstove use; and the most influential promotion activities for scaling up future cookstove promotion.	Kenya	Nyanza	-0.5	34.67	Rural	Individuals [Health promoters; Luo women]	NR	40	"The use of indoor, three-stone fire pits in resource–poor countries is a substantial burden on human health"	NR	"The use of indoor, three-stone fire pits in resource–poor countries is a substantial burden on the environment."	NR	Researcher	NR	NR	Energy	Cookstove	Improved cookstove	Follow-up survey	"Purposive sampling, a method of sampling in which participants are selected because of a certain characteristic, was used to recruit 10 SWAP health promoters who owned and were selling the new upesi jiko along with 30 Luo women who had purchased and were using the upesi jiko for in-depth, key informant interviews. Semi-structured, in-depth interviews were conducted in Dholou by two Luo bilingual qualitative research assistants from July 2008–March 2009. Data collection was facilitated by interview guides with pretested open-ended questions and probes. Bilingual project staff previously trained in qualitative data collection methods by a CDC senior qualitative researcher, translated questions and probes into Dholou. Questions were then pretested with local women to assure correspondence with the local dialect, cultural meanings, and women’s understanding. Interview guides focused on experiences with costs, decisions to purchase an improved cookstove, and benefits as well as challenges of using the cookstove. Verbatim notes were handwritten during interviews. Interviews were conducted over six months, allowing for constant comparison so that our preliminary data analysis could help guide subsequent interviews. The 40 interviews, approximately 1 hour in length, took place predominately in women’s homes in rural Kenya. Institutional and ethical review boards from the Centers for Disease Control and Prevention (CDC) and Kenya Medical Research Institute, Kisumu, Kenya, approved this study."	2008	1	NR	NR	NA																						"Cost of purchase and installationg of 'upesi jiko"" unaffordable to most families in their communities"		Several women said that they had no power to make any decision about purchasing improved cookstove
182.2	Will	Journal Article	2012	"Ortiz, W.; Dienst, C.; Terrapon-Pfaff, J."	Introducing modern energy services into developing countries: the role of local community socio-economic structures	Sustainability	2071-1050	http://dx.doi.org/10.3390/su4030341	http://www.mdpi.com/2071-1050/4/3/341/; https://res.mdpi.com/d_attachment/sustainability/sustainability-04-00341/article_deploy/sustainability-04-00341.pdf	"Sustainable energy technologies are widely sought-after as essential elements in facing global challenges such as energy security, global warming and poverty reduction. However, in spite of their promising advantages, sustainable energy technologies make only a marginal contribution to meeting energy related needs in both industrialised and developing countries, in comparison to the widespread use of unsustainable technologies. One of the most significant constraints to their adoption and broad diffusion is the socio-economic context in which sustainable energy technologies are supposed to operate. The same holds true for community-based energy projects in developing countries supported by the WISIONS initiative. Practical strategies dealing with these socio-economic challenges are crucial elements for project design and, particularly, for the implementation of project activities. In this paper experiences from implementing community-based projects are reviewed in order to identify the practical elements that are relevant to overcome socio-economic challenges. In order to systematise the findings, an analytical framework is proposed, which combines analytical tools from the socio-technical transition framework and insights from participative approaches to development."	4	3	341-358	community involvement; constraints; development projects; energy sources; participation; renewable energy; rural areas; services; socioeconomics; sustainability	To introduce innovative energy solutions to the socio-economic reality of communities	Peru	Cajamarca	-7.16	-78.51	Rural	NR	NR	NR	"To electrify a rural community, including a school and a medical centre in a village in Peru."	Socio-economic baseline survey of all households		WISIONS Initiative	ITDG Peru	2007	2009	Energy	NR	Wind	NR	NR	2007	3	NR	NR	N	Awareness+			NR	"The participation in certain activities (e.g., transporting materials or carrying out civil works) had further positive effects in the communities, e.g., strengthening their identification with the project, building practical skills and reducing cost"		To facilitate and improve the communication process it has proven to be helpful to work with local committees or similar associations.				"The participation in certain activities (e.g., transporting materials or carrying out civil works) had further positive effects in the communities, e.g., strengthening their identification with the project, building practical skills and reducing cost"	High initial costs 												
182.3	Will	Journal Article	2012	"Ortiz, W.; Dienst, C.; Terrapon-Pfaff, J."	Introducing modern energy services into developing countries: the role of local community socio-economic structures	Sustainability	2071-1050	http://dx.doi.org/10.3390/su4030341	http://www.mdpi.com/2071-1050/4/3/341/; https://res.mdpi.com/d_attachment/sustainability/sustainability-04-00341/article_deploy/sustainability-04-00341.pdf	"Sustainable energy technologies are widely sought-after as essential elements in facing global challenges such as energy security, global warming and poverty reduction. However, in spite of their promising advantages, sustainable energy technologies make only a marginal contribution to meeting energy related needs in both industrialised and developing countries, in comparison to the widespread use of unsustainable technologies. One of the most significant constraints to their adoption and broad diffusion is the socio-economic context in which sustainable energy technologies are supposed to operate. The same holds true for community-based energy projects in developing countries supported by the WISIONS initiative. Practical strategies dealing with these socio-economic challenges are crucial elements for project design and, particularly, for the implementation of project activities. In this paper experiences from implementing community-based projects are reviewed in order to identify the practical elements that are relevant to overcome socio-economic challenges. In order to systematise the findings, an analytical framework is proposed, which combines analytical tools from the socio-technical transition framework and insights from participative approaches to development."	4	3	341-358	community involvement; constraints; development projects; energy sources; participation; renewable energy; rural areas; services; socioeconomics; sustainability	To introduce innovative energy solutions to the socio-economic reality of communities	Laos	Xiengkhuang	19.45	103.19	Urban	NR	NR	NR	To introduce more efficient wood stoves to an area suffering from fuel wood shortage in Laos.			WISIONS Initiative	"Technology Research Institute, Prime Ministers Office of Lao PDR"	NR	NR	Cooking	Wood stoves	Improved cookstove	NR	NR	NR	NR	NR	NR	N	Awareness+			NR	"The participation in certain activities (e.g., transporting materials or carrying out civil works) had further positive effects in the communities, e.g., strengthening their identification with the project, building practical skills and reducing cost"	Effective communication between implementers and recipients	To facilitate and improve the communication process it has proven to be helpful to work with local committees or similar associations.				"The participation in certain activities (e.g., transporting materials or carrying out civil works) had further positive effects in the communities, e.g., strengthening their identification with the project, building practical skills and reducing cost"	High initial costs 												
216	Leo	Journal Article	2018	"Mudombi, S.; Nyambane, A.; von Maltitz, G. P.; Gasparatos, A.; Johnson, F. X.; Chenene, M. L.; Attanassov, B."	"User perceptions about the adoption and use of ethanol fuel and cookstoves in Maputo, Mozambique"	Energy for Sustainable Development	09730826 (ISSN)	10.1016/j.esd.2018.03.004	https://www.sciencedirect.com/science/article/pii/S0973082617305458?via%3Dihub	"Ethanol has been proposed as a clean cooking fuel to reduce the use of charcoal in urban and peri-urban households in sub-Saharan Africa (SSA). This could have the twin benefits of reduced impacts on human health and deforestation. The aim of this study is to better understand the barriers to the uptake of ethanol stove technologies by eliciting users' perception, adoption, and use patterns of ethanol stoves. The study was undertaken in Maputo, a city that was the focus of the first large-scale commercial ethanol stove project in Africa. A mixed-methods approach was adopted using both quantitative (N = 341 household interviews) and qualitative methods (5 focus group discussions, expert interviews). Ethanol stoves are currently used by about 17% of the surveyed households, while approximately 12% had discontinued its use and 71% never used it. While a large proportion of ethanol users compared the stove favourably against charcoal in terms of cooking time, convenience, cleanliness, and easiness to use, ethanol use seems to have diminished compared to charcoal. Ethanol seems to have replaced other clean cooking technologies such as electricity or LPG rather than charcoal. High ethanol fuel prices combined with low fuel quality and accessibility, as well as stove malfunctions due to poor design influenced many ethanol stove adopters to quit it. For the effective uptake of ethanol, it will be necessary to address the factors that tend to discourage its use, particularly its high initial and operational cost, poor fuel quality, unreliable fuel supply, and poor stove design. Although clean cooking fuels might not be attractive to users due to affordability and failure to meet user preferences, awareness raising campaigns that target potential users should emphasise the associated health and safety benefits of clean cooking fuels. ¬© 2018 International Energy Initiative"	44		97-108	Cookstove; Cookstove Adoption; Ethanol; Mozambique; Charcoal; Deforestation; Ethanol fuels; Cooking technology; Low fuel qualities; Qualitative method; Sub-saharan africa; Users' perception; Stoves; cooking appliance; fuel consumption; perception; technology adoption; Maputo [Maputo (PRV)]; Maputo [Mozambique]	"The aim of this study is to better understand the barriers to the uptake of ethanol stove technologies by eliciting users' perception, adoption, and use patterns of ethanol stoves."	Mozambique	Maputo	-25.9	32.54	Urban and Peri-Urban	Households	"30,000"	341	Programme involving promotion of ethanol stoves and ethanol fuel as an alternative to charcoal. Benefits of reduced impacts on human health	 	Programme involving promotion of ethanol stoves and ethanol fuel as an alternative to charcoal. Benefits of reduced impacts on deforestation	"Private Sector, Cleanstar"	"Private Sector, Cleanstar"	2012	2012	Energy	Charcoal	Ethanol	Mixed methods	"The data collection comprised of a household survey, focus group discussions and expert interviews. We undertook an extensive household survey in July 2015 in the city of Maputo. This survey targeted both users and non-users of ethanol stoves. In total, 341 households were selected from the neighbourhoods of Benfica (N = 72), Chamaculo (N = 61), Hulene (N = 60), Mavalane (N = 69), Maxaquene (N = 65), and Urbanizacao (N = 14). Household survey data was supplemented with qualitative semi- structured interviews with key participants in the ethanol and charcoal urban value chain. This included 48 charcoal vendors and senior person- nel that was involved in Cleanstar's operations. In addition, we undertook Focus Group Discussions (FGDs) with ethanol users (both current and past users). FGDs can allow for an in-depth understanding of user perceptions (Bender & Ewbank, 1994) and are considered an essential tool for understanding consumer behaviour (Folch-Lyon & Trost, 1981). FGDs have been used in the past to understand household energy choices in Mozambique (Risseeuw, 2012). They were used in this study to enrich the findings of the household survey by eliciting additional information through the interaction of ethanol stove users."	2015	0.08	3	17	NA	Hygiene+;Convenience+; Safety-;Time Savings+	Inflation-; Cost Saving-; Cost Saving+		"About 29% of the households reported that they have (or previously had) an ethanol stove. Of these, about 54% still used the stove, 4% indi- cated they only use it at times, and about 42% were no longer using the stove. Thus, considering the total household survey sample, the adoption profile is as follows: current adopters (17%), quitters (12%), and non-adopters (71%)."		Lack of fuel access cited as joint second most reason for discontinuation of use (12.3%)						"30% of Responders either would not use or would not buy ethanol burning stoves or ethanol fuel as ""both the stove and the fuel are expensive"". 47.4% Discontinued ethanol use due to economic reasons"						Stoves prone to breakdown cited as joint second most reason for discontinuation of use (12.3%)						
273	Leo	Journal Article	2015	"Lee, S. M.; Kim, Y. S.; Jaung, W. G.; Latifah, S.; Afifi, M.; Fisher, L. A."	"Forests, fuelwood and livelihoods-energy transition patterns in eastern Indonesia"	Energy Policy	0301-4215	10.1016/j.enpol.2015.04.030	https://www.sciencedirect.com/science/article/pii/S0301421515001809?via%3Dihub	"The central thesis of the energy ladder model is a unidirectional transition from primitive to advance fuel with increased affluence of households. Although now largely discredited, this assumption remains a foundation of laissez-faire policies that anticipate energy transition resulting spontaneous forest recovery with economic development. Our results suggest that such policies can undermine broader policy objectives and actually worsen forest conditions in rural Indonesia. Based on a case study of forest margin communities in eastern Indonesia, we demonstrate that fuel subsidy reform did little to reduce rural household demand for fuelwood, while dramatically increasing fuelwood demand for processing agricultural products. Our results show how household decisions related to fuel sources are affected by non-economic considerations and external factors, such as opportunities to sell fuelwood. We argue that policy interventions that encourage energy transition of households do not necessarily improve forest conditions, as household fuelwood use may be a symptom, rather than a driver of deforestation and forest degradation. Thus policies to improve forest conditions should focus more on addressing the market environment of forest-margin communities, providing energy alternatives to small industries that are often the larger consumers of fuelwood. (C) 2015 Elsevier Ltd. All rights reserved."	85		61-70	Fuelwood; Energy transition; Energy stacking; Forest management; Tobacco; curing; Indonesia; DEVELOPING-COUNTRIES; HOUSEHOLD; LADDER; CONSUMPTION; INDIA; SUBSTITUTION; CONVERSION; SUBSIDIES; ZIMBABWE; KEROSENE	"we ask in this paper: (1) if household energy transition in forest margin com- munities affects forest conditions, (2) to what extent their energy choices are due to the internal characteristics of household and external factors, including fuelwood markets, and (3) what are the extent of non-domestic fuelwood consumption and its potential effects on forest conditions."	Indonesia	Lombok	-8.49	116.23	Rural	Individuals; Households	NR	NR;418	NR	NR	what are the extent of non-domestic fuelwood consumption and its potential effects on forest conditions.	Government	Government	2010	2010	Energy	Fuelwood;Kerosene	LPG	Survey	"Primary data was collected in 14 locations in the study area through focus group discussions (FGD) and household surveys. During our FGDs, rained facilitators guided discussions among participants through the construction of shared village histories and participatory village mapping to estimate trend changes in terms of energy use, forest resources, livelihoods, consumption patterns, access to education and electricity, and to gauge community perceptions of livelihood needs and property rights. Each of the FGDs was attended by at least 25 participants, and we sought balanced representation in terms of age, livelihood activities and income levels, and local/indigenous people and migrants.4 We examined FGD results in terms of historical changes, and behavioral and cultural factors affecting fuelwood consumption.The questionnaires for the household surveys were developed based on FGD results, and used to quantitatively measure eco- nomic and non-economic characteristics of households and their use of forest resources, including fuelwood. We randomly selected 30 households from each site and collected 418 responses with all key demographic variables. "	NR	NR	NR	20.3	NA			Deforestation-	"- Our results demonstrate how such policies, based upon this simplistic energy ladder theory and implicit expectation of spontaneous forest recovery with economic development, can undermine broader policy objectives and lead to worsening forest conditions in rural Indonesia. The elimination of the kerosene subsidy was certainly successful in reducing kerosene demand. However, the program did little to reduce rural household demand for fuelwood, and actually re- sulted in a dramatic increase in fuelwood demand for processing agricultural products. -"	Our results show that better educated households were more likely to adopt the new and convenient energy sources	"More secure land tenure also encouraged uses of more mixed energy sources, rather than gas alone. The cultivation of dense biomass species that require regular pruning may provide enough fuelwood for domestic use, and less incentive to seek out other sources of energy. ; Small-scale fuelwood markets did not significantly affect household fuel choices. However, those communities with large-scale fuelwood markets were less likely to use gas as the only energy source and more likely to use mixed sources of energy."						"Our results revealed that recipients of social assistance programs (e.g., providing rice, health services assistance for education, and microloans) were more likely using mixed sources of energy than LPG alone"		"participants of government-led programs may not change their energy choice, but that programs may affect where they collect fuelwood"										
309	Will	Journal Article	2017	"Keese, J.; Camacho, A.; Chavez, A."	Follow-up study of improved cookstoves in the Cuzco region of Peru	Development in Practice	0961-4524	http://dx.doi.org/10.1080/09614524.2017.1257565	http://www.tandfonline.com/loi/cdip20; https://www.tandfonline.com/doi/full/10.1080/09614524.2017.1257565	"Approximately three billion people use traditional biomass cookstoves. These stoves contribute to indoor air pollution, notably affecting women and children, and to deforestation and climate change. Improved cookstoves have been offered as a solution, but low rates of adoption are common among stove programmes. This paper is a follow-up study of a stove programme run by the NGO Proworld Service Corps in Cuzco, Peru. A survey was administered in 43 households in three communities. The results indicate an adoption rate of 70% and identify the characteristics of the stoves that contribute to their adoption and sustained use."	27	1	26-36	cooking; development projects; innovation adoption; project appraisal; rural areas; stoves	Assess the adoption of the Proworld Cookstove	Peru	Cuzco	-13.53	-71.97	Urban and Rural	Households	130	43	Assess the adoption of the Proworld Cookstove			NR	Proworld Service Corps	2007	2015	Cooking	Cookstove	Improved cookstove	Survey	"A household survey was utilised to determine the factors that contribute to the adoption and sustained use of the Proworld improved stove. According to staff, the improved stove has a lifespan of five years. We gathered data from the three communities where Cal Poly students had installed stoves during the past four programme years, 2011–14, noting that students worked in community 1 in two separate years. Data on the adoption rate were gathered from 43 households in the three study communities. However, the complete survey was administered to only 41 households because two of the non-adopters refused to participate in the survey. Nevertheless, we still included them in the adoption data to accurately reflect the non-adoption rate. Quantitative and qualitative data were obtained through a combination of objective and open-ended questions. The survey questions were categorised into six sections that addressed stove use, mechanical issues, cultural issues, fuels and other stove devices, interviewee perceptions related to the benefits of improved stoves, and household demographics. The study also included observations and conclusions recorded in a field journal based on visual inspections of stoves, houses, and the communities. Additional information was gathered through interviews with Proworld field staff. The field team consisted of a Cal Poly faculty leader, two undergraduate research assistants, and two Quechua-speaking Proworld extensionists"	2015	4	4	70	Y	Convenience+; Time Saving+	Cost Saving+			"The stove must be able to cook all or most of the foods that people want to cook, in the quantity they need, to a similar taste, and with the pots and utensils that they normally use. If people have to change what they cook or the way they cook in order to use a new stove, they are not likely to adopt it as their primary cooking device."				"An improved stove must be as easy or easier to use than traditional stoves. A stove must be mechanically effective, meaning it produces sufficient heat to cook food in the same or less time as the traditional stove. Durability."	The primary reason for non-adoption in our study was breakage	"An improved stove must save fuel. If people believe that they will save money by buying less wood or save time collecting it, they will be more likely to adopt a new stove."													
